latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-32.052,151.387,328,1.6,1.2,2019-12-29,0025,T,59,6.0NRT,303.2,38.8,D
-32.054,151.402,327.2,1.6,1.2,2019-12-29,0025,T,54,6.0NRT,301.4,39.3,D
-32.149,151.337,327.1,1.6,1.2,2019-12-29,0025,T,32,6.0NRT,303.9,32.9,D
-32.153,151.37,331.4,1.6,1.2,2019-12-29,0025,T,62,6.0NRT,304.2,39.5,D
-32.16,151.334,335.5,1.6,1.2,2019-12-29,0025,T,76,6.0NRT,303.6,55.5,D
-32.162,151.353,335.5,1.6,1.2,2019-12-29,0025,T,76,6.0NRT,306.1,54.2,D
-32.15,151.349,331.1,1.6,1.2,2019-12-29,0025,T,55,6.0NRT,304.8,41,D
-32.161,151.347,346.5,1.6,1.2,2019-12-29,0025,T,90,6.0NRT,306.4,89.6,D
-32.568,150.48,332.1,1.4,1.2,2019-12-29,0025,T,52,6.0NRT,310,27.6,D
-32.575,150.542,325.5,1.4,1.2,2019-12-29,0025,T,31,6.0NRT,309.9,16,D
-32.577,150.557,325.3,1.4,1.2,2019-12-29,0025,T,24,6.0NRT,310.3,16,D
-32.578,150.572,330.9,1.4,1.2,2019-12-29,0025,T,70,6.0NRT,310.5,28,D
-32.58,150.587,330.2,1.4,1.2,2019-12-29,0025,T,63,6.0NRT,309.6,26.4,D
-32.582,150.602,339.6,1.4,1.2,2019-12-29,0025,T,84,6.0NRT,309.8,51.7,D
-32.594,150.616,340,1.4,1.2,2019-12-29,0025,T,84,6.0NRT,310.6,52.8,D
-32.596,150.632,345.5,1.4,1.2,2019-12-29,0025,T,89,6.0NRT,309.5,68.7,D
-32.564,150.252,335.8,1.4,1.2,2019-12-29,0025,T,61,6.0NRT,309.2,37.2,D
-32.607,150.631,330.6,1.4,1.2,2019-12-29,0025,T,55,6.0NRT,308.9,28.6,D
-32.608,150.646,335.6,1.5,1.2,2019-12-29,0025,T,79,6.0NRT,308.4,41.1,D
-32.61,150.662,327.1,1.5,1.2,2019-12-29,0025,T,30,6.0NRT,307.2,22.1,D
-32.621,150.756,328.4,1.5,1.2,2019-12-29,0025,T,45,6.0NRT,308.3,25.2,D
-32.573,150.235,347.4,1.4,1.2,2019-12-29,0025,T,91,6.0NRT,309.7,70,D
-32.594,150.415,335.5,1.4,1.2,2019-12-29,0025,T,73,6.0NRT,309.2,36.3,D
-32.595,150.43,344.9,1.4,1.2,2019-12-29,0025,T,89,6.0NRT,309.9,62.3,D
-32.597,150.446,340.3,1.4,1.2,2019-12-29,0025,T,85,6.0NRT,310.2,48.8,D
-32.604,150.413,331.5,1.4,1.2,2019-12-29,0025,T,57,6.0NRT,309.3,26.5,D
-32.644,150.768,337.3,1.5,1.2,2019-12-29,0025,T,81,6.0NRT,308.4,46.9,D
-32.646,150.784,341.1,1.5,1.2,2019-12-29,0025,T,85,6.0NRT,308.7,59.9,D
