url,weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart,year,month,day
http://www.billboard.com/charts/hot-100/1958-12-13,12/13/1958,83,RUN RUDOLPH RUN,Chuck Berry,Run Rudolph RunChuck Berry,1,,69,3,1958,12,13
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/1958,57,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,1,,29,19,1958,12,20
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/1958,73,RUN RUDOLPH RUN,Chuck Berry,Run Rudolph RunChuck Berry,1,83,69,3,1958,12,20
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/1958,86,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,1,,12,13,1958,12,20
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/1958,44,GREEN CHRI$TMA$,Stan Freberg,Green Chri$tma$Stan Freberg,1,,44,2,1958,12,27
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/1958,66,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,1,86,12,13,1958,12,27
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/1958,69,RUN RUDOLPH RUN,Chuck Berry,Run Rudolph RunChuck Berry,1,73,69,3,1958,12,27
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/1958,35,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,1,57,29,19,1958,12,27
http://www.billboard.com/charts/hot-100/1959-01-03,1/3/1959,45,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,1,35,29,19,1959,1,3
http://www.billboard.com/charts/hot-100/1959-01-03,1/3/1959,53,GREEN CHRI$TMA$,Stan Freberg,Green Chri$tma$Stan Freberg,1,44,44,2,1959,1,3
http://www.billboard.com/charts/hot-100/1959-01-10,1/10/1959,70,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,1,45,29,19,1959,1,10
http://www.billboard.com/charts/hot-100/1959-12-05,12/5/1959,83,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,,34,6,1959,12,5
http://www.billboard.com/charts/hot-100/1959-12-12,12/12/1959,89,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,1,,39,15,1959,12,12
http://www.billboard.com/charts/hot-100/1959-12-12,12/12/1959,80,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,83,34,6,1959,12,12
http://www.billboard.com/charts/hot-100/1959-12-19,12/19/1959,76,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,80,34,6,1959,12,19
