title	artist	songid	weekid	track_title	track_n	line	lyric
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	1	Jingle bell, jingle bell, jingle bell rock
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	2	Jingle bells swing and jingle bells ring
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	3	Snowin' and blowin' up bushels of fun
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	4	Now, the jingle hop has begun
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	5	Jingle bell, jingle bell, jingle bell rock
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	6	Jingle bells chime in jingle bell time
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	7	Dancin' and prancin' in Jingle Bell Square
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	8	In the frosty air
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	9	What a bright time, it's the right time
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	10	To rock the night away
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	11	Jingle bell time is a swell time
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	12	To go glidin' in a one-horse sleigh
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	13	Giddy-up jingle horse, pick up your feet
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	14	Jingle around the clock
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	15	Mix and a-mingle in the jinglin' feet
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	16	That's the jingle bell rock
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	17	Jingle bell, jingle bell, jingle bell rock
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	18	Jingle bells chime in jingle bell time
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	19	Dancin' and prancin' in Jingle Bell Square
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	20	In the frosty air
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	21	What a bright time, it's the right time
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	22	To rock the night away
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	23	Jingle bell time is a swell time
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	24	To go glidin' in a one-horse sleigh
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	25	Giddy-up jingle horse, pick up your feet
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	26	Jingle around the clock
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	27	Mix and a-mingle in the jinglin' feet
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	28	That's the jingle bell
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	29	That's the jingle bell
JINGLE BELL ROCK	Bobby Helms	Jingle Bell RockBobby Helms	12/20/1958	Jingle Bell Rock	1	30	That's the jingle bell rock
WHITE CHRISTMAS	Bing Crosby	White ChristmasBing Crosby	12/20/1958	Silent Night	1	1	Silent night, holy night all is calm, all is bright
WHITE CHRISTMAS	Bing Crosby	White ChristmasBing Crosby	12/20/1958	Silent Night	1	2	Round yon virgin, mother and child
WHITE CHRISTMAS	Bing Crosby	White ChristmasBing Crosby	12/20/1958	Silent Night	1	3	Holy infant so tender and mild
