id,episode_id,number,raw_text,timestamp_in_ms,speaking_line,character_id,location_id,raw_character_text,raw_location_text,spoken_words,normalized_text,word_count
132733,472,222,Lisa Simpson: (CHORTLE),1073000,FALSE,9,5,Lisa Simpson,Simpson Home,NA,NA,NA
132917,473,128,Fbi Supervisor: No.,607000,TRUE,5734,6,Fbi Supervisor,KITCHEN,No.,no,1
134285,478,198,Willis: Oh my.,1150000,TRUE,5816,2117,Willis,COTTAGE,Oh my.,oh my,2
134340,479,32,(GOLD MINE: Ext. Gold mine - day),218000,FALSE,NA,3878,NA,GOLD MINE,NA,NA,NA
139272,497,55,(Lotion Store: Ext. lotion store),378000,FALSE,NA,4019,NA,Lotion Store,NA,NA,NA
143138,511,187,(ROUTE 33: ext. route 33 - a little later),815000,FALSE,NA,4104,NA,ROUTE 33,NA,NA,NA
147724,528,54,(Kwik-E-Mart: Int. Kwik-E-Mart - day),357000,FALSE,NA,136,NA,Kwik-E-Mart,NA,NA,NA
153585,549,215,(Barn: INT. BARN - ANTEROOM - CONTINUOUS),1047000,FALSE,NA,1816,NA,Barn,NA,NA,NA
157670,566,64,(Theater: ext. theater - night),478000,FALSE,NA,561,NA,Theater,NA,NA,NA
126963,451,179,Homer Simpson: (MOAN OF PLEASURE),761000,FALSE,2,2498,Homer Simpson,Spa,NA,NA,NA
127110,452,61,Homer Simpson: Holy moly!,231000,TRUE,2,2,Homer Simpson,Car,Holy moly!,holy moly,2
126515,450,0,(Seaworld-type Park: EXT. SEAWORLD-TYPE PARK - DAY - establishing),40000,FALSE,NA,3656,NA,Seaworld-type Park,NA,NA,NA
126516,450,1,"Homer Simpson: Oh, I love going to aquatic parks -- they have worse rides than amusement parks, less fish than aquariums -- but the parking is ample!",40000,TRUE,2,3656,Homer Simpson,Seaworld-type Park,"Oh, I love going to aquatic parks -- they have worse rides than amusement parks, less fish than aquariums -- but the parking is ample!",oh i love going to aquatic parks -- they have worse rides than amusement parks less fish than aquariums -- but the parking is ample,25
126517,450,2,Homer Simpson: Now to seal you in for safety.,53000,TRUE,2,3656,Homer Simpson,Seaworld-type Park,Now to seal you in for safety.,now to seal you in for safety,7
126518,450,3,(Clam Stroller: int. clam stroller - continuous),58000,FALSE,NA,3657,NA,Clam Stroller,NA,NA,NA
126519,450,4,(Seaworld-type Park: Ext. seaworld-type park - continuous),58000,FALSE,NA,3656,NA,Seaworld-type Park,NA,NA,NA
126520,450,5,"Marge Simpson: Oh, there's so many photo ops, but I already filled up my camera in the parking lot...parking lot C sign... the tram... a license plate from Canada...",58000,TRUE,1,3656,Marge Simpson,Seaworld-type Park,"Oh, there's so many photo ops, but I already filled up my camera in the parking lot...parking lot C sign... the tram... a license plate from Canada...",oh theres so many photo ops but i already filled up my camera in the parking lotparking lot c sign the tram a license plate from canada,27
126550,450,35,"Grampa Simpson: (SAD) They'll cheer a dancing octopus, but not an old man complaining about everything.",204000,TRUE,31,354,Grampa Simpson,Amusement Park,"They'll cheer a dancing octopus, but not an old man complaining about everything.",theyll cheer a dancing octopus but not an old man complaining about everything,13
126634,450,119,Lisa Simpson: (SCREAMS),603000,FALSE,9,216,Lisa Simpson,Springfield,NA,NA,NA
126521,450,6,"Marge Simpson: A bird eating potato chips... my feet walking... that boy who got sick on the tram... Grampa talking to a mermaid hedge... the Park Rules in Spanish... a fat baby... Grampa telling a story to a trailer hitch... Oops, I erased them all!",64000,TRUE,1,3656,Marge Simpson,Seaworld-type Park,"A bird eating potato chips... my feet walking... that boy who got sick on the tram... Grampa talking to a mermaid hedge... the Park Rules in Spanish... a fat baby... Grampa telling a story to a trailer hitch... Oops, I erased them all!",a bird eating potato chips my feet walking that boy who got sick on the tram grampa talking to a mermaid hedge the park rules in spanish a fat baby grampa telling a story to a trailer hitch oops i erased them all,43
126522,450,7,Lisa Simpson: I wanna do that!,86000,TRUE,9,3656,Lisa Simpson,Seaworld-type Park,I wanna do that!,i wanna do that,4
