11,"t","Honey Bee Colonies: Released August 1, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
11,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2017 and January-March 2017"
11,"h","","","","","","","",""
11,"h","","January 1","January-March","January-March","January-March","January-March","January-March","January-March"
11,"h","State","","","","","","",""
11,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
11,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
11,"h","","","","","","","",""
11,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
11,"d","Alabama",7000,7000,1600,23,570,730,10
11,"d","Arizona",31000,32000,6000,19,2900,-,-
11,"d","Arkansas",18000,20000,3500,18,430,190,1
11,"d","California",1150000,1440000,172000,12,215000,92000,6
11,"d","Colorado",9500,21000,1100,5,100,-,-
11,"d","Connecticut",3100,3100,380,12,100,110,4
11,"d","Florida",260000,265000,30000,11,80000,33000,12
11,"d","Georgia",123000,125000,14000,11,36000,21000,17
11,"d","Hawaii",13000,13000,190,1,510,50,"(Z)"
11,"d","Idaho",95000,99000,8500,9,2000,280,"(Z)"
11,"d","",,,,,,,
11,"d","Illinois",11000,11000,2900,26,3100,150,1
11,"d","Indiana",7000,7500,1900,25,1700,70,1
11,"d","Iowa",10000,15500,3000,19,70,-,-
11,"d","Kansas",3800,3800,1000,26,930,380,10
11,"d","Kentucky",6500,7000,1300,19,950,430,6
11,"d","Louisiana",44000,47000,2700,6,11000,1900,4
11,"d","Maine",2700,3100,1000,32,100,-,-
11,"d","Maryland",9000,9000,2100,23,770,260,3
11,"d","Massachusetts",3300,3300,1500,45,120,110,3
11,"d","Michigan",29000,59000,5000,8,600,130,"(Z)"
11,"d","",,,,,,,
11,"d","Minnesota",27000,41000,3500,9,3300,-,-
11,"d","Mississippi",31000,68000,2600,4,23000,7500,11
11,"d","Missouri",6500,7500,1200,16,400,10,"(Z)"
11,"d","Montana",18500,46000,470,1,3100,6000,13
11,"d","Nebraska",7500,13000,750,6,120,-,-
11,"d","New Jersey",6000,6500,490,8,10,-,-
11,"d","New Mexico",5500,5500,2100,38,3600,-,-
11,"d","New York",32000,33000,6000,18,520,-,-
11,"d","North Carolina",16000,23000,2500,11,3700,1200,5
11,"d","North Dakota",50000,123000,640,1,1100,10,"(Z)"
11,"d","",,,,,,,
11,"d","Ohio",15500,17500,4400,25,1300,530,3
11,"d","Oklahoma",26000,26000,550,2,9500,1600,6
11,"d","Oregon",71000,90000,8000,9,7500,1400,2
11,"d","Pennsylvania",17000,18000,4200,23,810,410,2
11,"d","South Carolina",17000,17500,1600,9,4700,970,6
11,"d","South Dakota",21000,48000,2700,6,1500,440,1
11,"d","Tennessee",8500,8500,1600,19,1500,160,2
11,"d","Texas",270000,330000,35000,11,148000,68000,21
11,"d","Utah",16000,18500,2700,15,2900,60,"(Z)"
11,"d","Vermont",6500,6500,440,7,-,-,-
11,"d","",,,,,,,
11,"d","Virginia",8000,8000,1400,18,1900,280,4
11,"d","Washington",68000,104000,9000,9,8500,-,-
11,"d","West Virginia",5500,8000,800,10,450,100,1
11,"d","Wisconsin",17000,22000,4400,20,450,70,"(Z)"
11,"d","Wyoming",6500,17000,3600,21,1300,-,-
11,"d","",,,,,,,
11,"d","Other States 5/",6190,6490,1540,24,130,50,1
11,"d","",,,,,,,
11,"d","United States",2615590,"(X)",361850,14,586240,239580,9
11,"c",""
11,"f","-  Represents zero."
11,"f","(X)  Not applicable."
11,"f","(Z)  Less than half of the unit shown."
11,"f","1/ January 1 number of colonies plus all colonies moved into that state during the quarter."
11,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the January 1 number of colonies."
11,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
11,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the January 1 number of colonies."
11,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
