5,"t","Honey Bee Colonies: Released August 1, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2016 and January-March 2016"
5,"h","","","","","","","",""
5,"h","","January 1","January-March","January-March","January-March","January-March","January-March","January-March"
5,"h","State","","","","","","",""
5,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
5,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
5,"h","","","","","","","",""
5,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
5,"d","Alabama",7500,7500,1700,23,2100,90,1
5,"d","Arizona",30000,30000,4700,16,3500,150,1
5,"d","Arkansas",27000,27000,5000,19,5000,1100,4
5,"d","California",1130000,1410000,200000,14,210000,139000,10
5,"d","Colorado",5000,8500,750,9,1700,10,"(Z)"
5,"d","Connecticut",2700,2700,270,10,70,10,"(Z)"
5,"d","Florida",275000,295000,40000,14,49000,15500,5
5,"d","Georgia",100000,100000,15500,16,36000,3200,3
5,"d","Hawaii",15000,15000,280,2,570,530,4
5,"d","Idaho",91000,98000,8500,9,5500,3300,3
5,"d","",,,,,,,
5,"d","Illinois",8500,9500,1400,15,860,40,"(Z)"
5,"d","Indiana",6500,6500,770,12,30,-,-
5,"d","Iowa",13000,13000,2900,22,90,-,-
5,"d","Kansas",5000,5000,1100,22,1400,100,2
5,"d","Kentucky",6500,6500,1300,20,390,40,1
5,"d","Louisiana",54000,55000,11000,20,9500,2600,5
5,"d","Maine",2200,3700,170,5,-,-,-
5,"d","Maryland",7500,7500,820,11,1200,10,"(Z)"
5,"d","Massachusetts",3000,3000,370,12,1200,140,5
5,"d","Michigan",25000,42000,5000,12,2300,80,"(Z)"
5,"d","",,,,,,,
5,"d","Minnesota",36000,38000,5500,14,6000,-,-
5,"d","Mississippi",21000,50000,7500,15,48000,25000,50
5,"d","Missouri",10000,10000,1300,13,5500,420,4
