22,"t","Honey Bee Colonies: Released August 1, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
22,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2017 and April-June 2017"
22,"h","","","","","","","",""
22,"h","","April 1","April-June","April-June","April-June","April-June","April-June","April-June"
22,"h","State","","","","","","",""
22,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
22,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
22,"h","","","","","","","",""
22,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
22,"d","Alabama",6500,6500,440,7,1200,500,8
22,"d","Arizona",22000,22000,2600,12,12500,3000,14
22,"d","Arkansas",17000,17000,1900,11,5000,1300,8
22,"d","California",1140000,1180000,82000,7,210000,235000,20
22,"d","Colorado",16500,29000,3500,12,5500,7500,26
22,"d","Connecticut",3000,3000,140,5,2200,350,12
22,"d","Florida",245000,250000,25000,10,40000,50000,20
22,"d","Georgia",125000,142000,10500,7,21000,33000,23
22,"d","Hawaii",12000,12000,60,1,520,910,8
22,"d","Idaho",61000,78000,9500,12,24000,31000,40
22,"d","",,,,,,,
22,"d","Illinois",12000,12500,1200,10,3600,1600,13
22,"d","Indiana",7500,11000,1200,11,3000,510,5
22,"d","Iowa",12500,23000,2000,9,24000,3900,17
22,"d","Kansas",4400,4900,380,8,2500,890,18
22,"d","Kentucky",6500,7000,560,8,2900,600,9
22,"d","Louisiana",56000,56000,2600,5,4600,9000,16
22,"d","Maine",2200,40000,910,2,790,1400,4
22,"d","Maryland",8000,9500,190,2,3200,930,10
22,"d","Massachusetts",1900,8000,130,2,1900,490,6
22,"d","Michigan",55000,79000,4600,6,22000,11500,15
22,"d","",,,,,,,
22,"d","Minnesota",34000,128000,5000,4,18500,9000,7
22,"d","Mississippi",89000,89000,3800,4,5500,42000,47
22,"d","Missouri",7000,7500,260,3,1700,1000,13
22,"d","Montana",46000,134000,3800,3,15000,20000,15
22,"d","Nebraska",8500,63000,640,1,6000,39000,62
22,"d","New Jersey",6000,21000,430,2,1600,660,3
22,"d","New Mexico",7000,7500,1700,23,2300,3900,52
22,"d","New York",25000,41000,1300,3,16000,7500,18
22,"d","North Carolina",24000,25000,1600,6,3900,2700,11
22,"d","North Dakota",112000,385000,10500,3,19500,37000,10
22,"d","",,,,,,,
22,"d","Ohio",13500,14500,1100,8,8000,2500,17
22,"d","Oklahoma",25000,25000,200,1,6500,1600,6
22,"d","Oregon",84000,108000,5000,5,18000,24000,22
22,"d","Pennsylvania",15000,16500,510,3,7000,2200,13
22,"d","South Carolina",20000,20000,870,4,1900,3700,19
22,"d","South Dakota",34000,152000,6000,4,10000,20000,13
22,"d","Tennessee",8500,9000,1100,12,2600,1300,14
22,"d","Texas",345000,345000,18000,5,43000,148000,43
22,"d","Utah",19000,35000,2300,7,14500,10500,30
22,"d","Vermont",6000,8000,170,2,390,190,2
22,"d","",,,,,,,
22,"d","Virginia",8500,9000,1000,11,3100,1100,12
22,"d","Washington",89000,132000,6500,5,36000,21000,16
22,"d","West Virginia",7500,7500,340,5,3400,2500,33
22,"d","Wisconsin",18000,65000,2900,4,13000,6500,10
22,"d","Wyoming",15000,30000,1100,4,4800,4100,14
22,"d","",,,,,,,
22,"d","Other States 5/",5530,7040,150,2,870,840,12
22,"d","",,,,,,,
22,"d","United States",2886030,"(X)",225680,8,653470,806170,28
22,"c",""
22,"f","(X)  Not applicable."
22,"f","1/ April 1 number of colonies plus all colonies moved into that state during the quarter."
22,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 number of colonies."
22,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
22,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 number of colonies."
22,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
