1,"t","Honey Bee Colonies: Released August 1, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2016 and April-June 2016"
1,"h","","","","","","","",""
1,"h","","April 1","April-June","April-June","April-June","April-June","April-June","April-June"
1,"h","State","","","","","","",""
1,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
1,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
1,"h","","","","","","","",""
1,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
1,"d","Alabama",8000,8000,930,12,1200,690,9
1,"d","Arizona",22000,23000,3700,16,14000,1600,7
1,"d","Arkansas",24000,24000,3400,14,12000,1600,7
1,"d","California",1110000,1150000,108000,9,240000,185000,16
1,"d","Colorado",9500,29000,1800,6,9000,680,2
1,"d","Connecticut",2500,2500,100,4,390,60,2
1,"d","Florida",240000,240000,29000,12,43000,21000,9
1,"d","Georgia",108000,111000,11000,10,17500,3600,3
1,"d","Hawaii",13500,13500,830,6,870,-,-
1,"d","Idaho",60000,80000,6000,8,19000,5500,7
1,"d","",,,,,,,
1,"d","Illinois",9000,9000,740,8,2200,380,4
1,"d","Indiana",4300,7000,220,3,2700,900,13
1,"d","Iowa",10500,26000,2400,9,26000,760,3
1,"d","Kansas",4700,6000,960,16,3000,900,15
1,"d","Kentucky",5500,6000,450,8,2100,270,5
1,"d","Louisiana",52000,53000,4300,8,10000,9500,18
1,"d","Maine",3600,25000,4200,17,510,560,2
1,"d","Maryland",8000,9000,320,4,2800,400,4
1,"d","Massachusetts",4200,8500,300,4,1100,440,5
1,"d","Michigan",40000,103000,7500,7,13500,3200,3
1,"d","",,,,,,,
1,"d","Minnesota",27000,126000,13000,10,24000,4200,3
1,"d","Mississippi",85000,90000,3700,4,9000,61000,68
1,"d","Missouri",12000,12500,770,6,1800,730,6
1,"d","Montana",62000,157000,7000,4,25000,13500,9
1,"d","Nebraska",19500,43000,6000,14,8000,28000,65
1,"d","New Jersey",4200,18000,1500,8,1900,110,1
1,"d","New Mexico",6500,6500,1400,22,2700,100,2
1,"d","New York",31000,46000,4000,9,13500,1500,3
1,"d","North Carolina",23000,24000,1600,7,10000,550,2
1,"d","North Dakota",110000,530000,27000,5,23000,95000,18
1,"d","",,,,,,,
1,"d","Ohio",14000,16500,1700,10,6000,1100,7
1,"d","Oklahoma",12000,13000,310,2,4000,10000,77
1,"d","Oregon",77000,132000,4300,3,19000,16000,12
1,"d","Pennsylvania",11000,14000,1300,9,6500,1100,8
1,"d","South Carolina",12500,13500,1300,10,2200,410,3
1,"d","South Dakota",51000,182000,11000,6,15000,13000,7
1,"d","Tennessee",8000,8000,580,7,3900,200,3
1,"d","Texas",340000,350000,36000,10,74000,54000,15
1,"d","Utah",14500,25000,4800,19,12000,7000,28
1,"d","Vermont",5000,6500,20,"(Z)",480,30,"(Z)"
1,"d","",,,,,,,
1,"d","Virginia",6000,6500,230,4,2200,480,7
1,"d","Washington",91000,143000,6000,4,21000,11500,8
1,"d","West Virginia",7000,7000,990,14,2600,160,2
1,"d","Wisconsin",18500,78000,5500,7,17500,3600,5
1,"d","Wyoming",6500,27000,2600,10,7500,580,2
1,"d","",,,,,,,
1,"d","Other States 5/",7970,15530,1070,7,3270,270,2
1,"d","",,,,,,,
1,"d","United States",2801470,"(X)",329820,12,736920,561160,20
1,"c",""
1,"f","-  Represents zero."
1,"f","(X)  Not applicable."
1,"f","(Z)  Less than half of the unit shown."
1,"f","1/ April 1 number of colonies plus all colonies moved into that state during the quarter."
1,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 number of colonies."
1,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
1,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 number of colonies."
1,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
