iso3c,country,region,income,year,population,overall_score,data_use_score,data_services_score,data_products_score,data_sources_score,data_infrastructure_score
DNK,Denmark,Europe & Central Asia,High income,2023,5946952,95.25583333333334,100,98.46666666666664,90.7125,87.1,100
FIN,Finland,Europe & Central Asia,High income,2023,5584264,95.11541666666668,100,96.43333333333332,90.96875,88.175,100
POL,Poland,Europe & Central Asia,High income,2023,36685849,94.65375,100,97.29999999999998,84.54374999999999,91.425,100
SWE,Sweden,Europe & Central Asia,High income,2023,10536632,94.41,100,96,90.575,85.475,100
ESP,Spain,Europe & Central Asia,High income,2023,48373336,94.325,100,91.2,92.625,87.8,100
NLD,Netherlands,Europe & Central Asia,High income,2023,17879488,94.3225,100,96.9,91.0875,83.625,100
SVN,Slovenia,Europe & Central Asia,High income,2023,2120937,94.22041666666668,100,97.53333333333332,91.34375,82.22500000000001,100
PRT,Portugal,Europe & Central Asia,High income,2023,10525347,93.77833333333332,100,96.86666666666666,91.75,80.275,100
ITA,Italy,Europe & Central Asia,High income,2023,58761146,93.63875000000002,100,93,93.26875,81.925,100
NOR,Norway,Europe & Central Asia,High income,2023,5519594,93.55666666666669,100,97.23333333333332,86.7,83.85,100
CAN,Canada,North America,High income,2023,40097761,93.46166666666666,100,92.73333333333332,84.74999999999999,89.825,100
USA,United States,North America,High income,2023,334914895,93.43041666666667,100,93.13333333333334,88.39375000000001,85.625,100
FRA,France,Europe & Central Asia,High income,2023,68170228,92.82958333333332,100,92.26666666666664,91.23125,80.65,100
EST,Estonia,Europe & Central Asia,High income,2023,1366188,92.79458333333332,100,96.86666666666666,85.40625,81.7,100
AUT,Austria,Europe & Central Asia,High income,2023,9132383,92.64666666666668,100,89.53333333333333,92.75,80.95,100
DEU,Germany,Europe & Central Asia,High income,2023,84482267,92.47083333333336,100,94.86666666666666,85.8125,86.675,95
HUN,Hungary,Europe & Central Asia,High income,2023,9589872,92.22125,100,88.99999999999999,91.45625,80.65,100
MEX,Mexico,Latin America & Caribbean,Upper middle income,2023,128455567,91.63833333333336,100,93.56666666666666,92.725,86.9,85
LTU,Lithuania,Europe & Central Asia,High income,2023,2871897,91.48083333333336,90,91.16666666666666,94.3125,81.925,100
KOR,"Korea, Rep.",East Asia & Pacific,High income,2023,51712619,91.4525,100,93.4,83.91250000000001,84.95,95
LVA,Latvia,Europe & Central Asia,High income,2023,1881750,91.42708333333334,100,97.06666666666666,84.61874999999999,75.45,100
NZL,New Zealand,East Asia & Pacific,High income,2023,5223100,91.30958333333336,100,92.66666666666666,85.48125,78.4,100
CZE,Czechia,Europe & Central Asia,High income,2023,10873689,91.04125,100,89.1,85.03125,86.075,95
JPN,Japan,East Asia & Pacific,High income,2023,124516650,90.94375,100,90.3,85.36874999999999,84.05,95
AUS,Australia,East Asia & Pacific,High income,2023,26638544,90.86625,90,94,85.68124999999999,84.65,100
GRC,Greece,Europe & Central Asia,High income,2023,10361295,90.57541666666668,100,88.23333333333332,83.46875,81.17500000000001,100
BEL,Belgium,Europe & Central Asia,High income,2023,11822592,90.49291666666667,100,86.93333333333332,86.60624999999999,78.925,100
CHE,Switzerland,Europe & Central Asia,High income,2023,8849852,90.2925,100,88.39999999999999,88.8875,84.175,90
SVK,Slovak Republic,Europe & Central Asia,High income,2023,5426740,89.76833333333335,90,94.46666666666664,84.25,80.125,100
IRL,Ireland,Europe & Central Asia,High income,2023,5262382,89.41625000000002,90,96.29999999999998,83.73125000000002,77.05000000000001,100
GEO,Georgia,Europe & Central Asia,Upper middle income,2023,3760365,89.26750000000001,100,92.5,84.5875,79.25,90
LUX,Luxembourg,Europe & Central Asia,High income,2023,668606,88.94083333333333,100,93.56666666666666,81.13749999999999,70,100
GBR,United Kingdom,Europe & Central Asia,High income,2023,68350000,88.9025,100,90.3,89.9625,74.25,90
SGP,Singapore,East Asia & Pacific,High income,2023,5917648,88.76750000000001,100,100,69.66250000000001,94.175,80
ROU,Romania,Europe & Central Asia,High income,2023,19056116,88.61750000000002,100,94.2,83.8375,80.05,85
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,2023,5212173,88.51208333333334,100,86.66666666666667,90.69375,80.2,85
BGR,Bulgaria,Europe & Central Asia,High income,2023,6430370,88.35041666666669,100,91.33333333333331,80.51875000000001,79.9,90
CYP,Cyprus,Europe & Central Asia,High income,2023,1260138,88.00208333333333,100,90.56666666666666,79.29375,75.15,95
ISR,Israel,Middle East & North Africa,High income,2023,9756700,87.89041666666668,100,90.93333333333334,70.89375,77.625,100
COL,Colombia,Latin America & Caribbean,Upper middle income,2023,52085168,87.27250000000001,100,85.19999999999999,88.18750000000001,77.97500000000001,85
HRV,Croatia,Europe & Central Asia,High income,2023,3853200,87.02333333333334,100,87.36666666666666,75.925,76.82500000000002,95
CHL,Chile,Latin America & Caribbean,High income,2023,19629590,86.81708333333333,100,85.56666666666666,78.86875,74.65,95
TUR,Turkiye,Europe & Central Asia,Upper middle income,2023,85326000,86.67708333333334,90,86.79999999999998,90.66875,65.91666666666667,100
MDA,Moldova,Europe & Central Asia,Upper middle income,2023,2486891,86.07166666666669,100,95.4,76.97500000000001,67.98333333333333,90
MKD,North Macedonia,Europe & Central Asia,Upper middle income,2023,1811980,85.29875,100,87.7,81.01875000000001,77.77499999999999,80
PHL,Philippines,East Asia & Pacific,Lower middle income,2023,117337368,85.20375,100,92.66666666666666,85.24375,83.10833333333333,65
ALB,Albania,Europe & Central Asia,Upper middle income,2023,2745972,85.07708333333335,100,69.76666666666667,84.14375,76.47500000000001,95
ARM,Armenia,Europe & Central Asia,Upper middle income,2023,2777970,85.03458333333333,100,85.43333333333332,85.18124999999999,64.55833333333332,90
MLT,Malta,Middle East & North Africa,High income,2023,553214,84.8225,100,85.56666666666666,72.8375,80.70833333333333,85
SRB,Serbia,Europe & Central Asia,Upper middle income,2023,6618026,84.41208333333334,100,74.93333333333332,88.99375,73.13333333333333,85
MNG,Mongolia,East Asia & Pacific,Upper middle income,2023,3447157,84.03875000000001,100,97.16666666666669,83.56875000000001,74.45833333333334,65
RUS,Russian Federation,Europe & Central Asia,High income,2023,143826130,82.93583333333333,86.6,87.86666666666667,79.0875,71.125,90
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2023,60414495,82.37250000000002,80,86.19999999999999,83.1375,77.525,85
ISL,Iceland,Europe & Central Asia,High income,2023,393600,81.7425,100,53.400000000000006,79.33749999999999,75.97500000000001,100
SAU,Saudi Arabia,Middle East & North Africa,High income,2023,36947025,81.53333333333333,70,88.36666666666666,75.225,79.075,95
IDN,Indonesia,East Asia & Pacific,Upper middle income,2023,277534122,81.42333333333333,100,91.56666666666666,87,58.55,70
URY,Uruguay,Latin America & Caribbean,High income,2023,3423108,81.10041666666666,100,87.6,73.66875,69.23333333333333,75
THA,Thailand,East Asia & Pacific,Upper middle income,2023,71801279,81.06833333333334,100,81.3,88.39999999999999,50.64166666666667,85
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,2023,5165775,80.67750000000001,90,91.5,66.66250000000001,70.225,85
BRA,Brazil,Latin America & Caribbean,Upper middle income,2023,216422446,80.63916666666667,83.39999999999999,87.33333333333333,77.2875,85.175,70
MYS,Malaysia,East Asia & Pacific,Upper middle income,2023,34308525,80.41791666666668,80,87.7,85.38124999999998,74.00833333333333,75
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,2023,36412350,80.33208333333333,80,76.63333333333333,85.04374999999999,64.98333333333333,95
LKA,Sri Lanka,South Asia,Lower middle income,2023,22037000,80.19708333333334,100,82.03333333333333,79.34375,79.60833333333332,60
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,2023,112716598,80.12666666666668,90,77.1,84.7,73.83333333333334,75
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2023,19900177,79.80541666666667,90,88.99999999999999,85.04374999999999,69.98333333333333,65
ARG,Argentina,Latin America & Caribbean,Upper middle income,2023,46654581,79.53541666666666,90,80.13333333333333,86.91875,70.625,70
ECU,Ecuador,Latin America & Caribbean,Upper middle income,2023,18190484,79.14458333333334,100,89.1,85.60624999999999,61.016666666666666,60
UKR,Ukraine,Europe & Central Asia,Upper middle income,2023,37000000,78.74333333333334,100,54.03333333333333,85.15,59.53333333333333,95
BLR,Belarus,Europe & Central Asia,Upper middle income,2023,9178298,78.73125,86.6,53.8,84.50625000000001,73.75,95
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,2023,1261041,78.34625000000001,90,85.9,78.13125000000001,62.7,75
JOR,Jordan,Middle East & North Africa,Lower middle income,2023,11337052,78.12208333333334,80,90.36666666666666,81.61875,68.625,70
ARE,United Arab Emirates,Middle East & North Africa,High income,2023,9516871,77.635,90,79.5,71.14999999999999,62.525000000000006,85
SEN,Senegal,Sub-Saharan Africa,Lower middle income,2023,17763163,77.20875000000001,100,82.1,78.36875,50.575,75
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,2023,7100800,76.78083333333335,100,47.7,84.5875,66.61666666666667,85
PER,Peru,Latin America & Caribbean,Upper middle income,2023,34352719,76.54583333333335,100,87.33333333333333,89.8125,50.583333333333336,55.00000000000001
TUN,Tunisia,Middle East & North Africa,Lower middle income,2023,12458223,75.79458333333335,90,89.73333333333333,76.13125000000001,63.108333333333334,60
PRY,Paraguay,Latin America & Caribbean,Upper middle income,2023,6861524,75.61833333333333,90,68.16666666666666,83.7,61.224999999999994,75
MAR,Morocco,Middle East & North Africa,Lower middle income,2023,37840044,75.35083333333333,80,90.4,81.68749999999999,69.66666666666667,55.00000000000001
MNE,Montenegro,Europe & Central Asia,Upper middle income,2023,616177,74.94416666666667,90,70,73.36250000000001,61.358333333333334,80
SLV,El Salvador,Latin America & Caribbean,Upper middle income,2023,6364943,74.89083333333333,90,79.89999999999999,81.1875,53.36666666666666,70
