series,episode,uk_airdate,viewers_7day,viewers_28day,network_rank,channels_rank,bbc_iplayer_requests,episode_count,us_season,us_airdate
1,1,2010-08-17,2.24,7,NA,NA,NA,1,NA,NA
1,2,2010-08-24,3,3,NA,NA,NA,2,NA,NA
1,3,2010-08-31,3,2,NA,NA,NA,3,NA,NA
1,4,2010-09-07,2.6,4,NA,NA,NA,4,NA,NA
1,5,2010-09-14,3.03,1,NA,NA,NA,5,NA,NA
1,6,2010-09-21,2.75,1,NA,NA,NA,6,NA,NA
2,1,2011-08-16,3.1,2,NA,NA,NA,7,NA,NA
2,2,2011-08-23,3.53,2,NA,NA,NA,8,NA,NA
2,3,2011-08-30,3.82,1,NA,NA,NA,9,NA,NA
2,4,2011-09-06,3.6,1,NA,NA,NA,10,NA,NA
2,5,2011-09-13,3.83,1,NA,NA,NA,11,NA,NA
2,6,2011-09-20,4.25,1,NA,NA,NA,12,NA,NA
2,7,2011-09-27,4.42,1,NA,NA,NA,13,NA,NA
2,8,2011-10-04,5.06,1,NA,NA,NA,14,NA,NA
3,1,2012-08-14,3.85,1,NA,NA,NA,15,5,"June 22, 2018"
3,2,2012-08-21,4.6,1,NA,NA,NA,16,5,"June 22, 2018"
3,3,2012-08-28,4.53,1,NA,NA,NA,17,5,"June 29, 2018"
3,4,2012-09-04,4.71,1,NA,NA,NA,18,5,"July 6, 2018"
3,5,2012-09-11,4.609999999999999,1,NA,NA,NA,19,5,"July 13, 2018"
3,6,2012-09-18,4.819999999999999,1,NA,NA,NA,20,5,NA
3,7,2012-09-25,5.1,1,NA,NA,NA,21,5,NA
3,8,2012-10-02,5.35,1,NA,NA,NA,22,5,NA
3,9,2012-10-09,5.7,1,NA,NA,NA,23,5,NA
3,10,2012-10-16,6.74,1,NA,NA,NA,24,5,NA
4,1,2013-08-20,6.6,1,11,NA,NA,25,1,"December 28, 2014"
4,2,2013-08-27,6.6499999999999995,1,12,NA,NA,26,1,"January 4, 2015"
4,3,2013-09-03,7.17,1,13,NA,NA,27,1,"January 11, 2015"
4,4,2013-09-10,6.819999999999999,1,18,NA,NA,28,1,"January 18, 2015"
4,5,2013-09-17,6.95,1,17,NA,NA,29,1,"January 25, 2015"
4,6,2013-09-24,7.319999999999999,1,16,NA,NA,30,1,"February 1, 2015"
4,7,2013-10-01,7.76,1,13,NA,NA,31,1,"February 8, 2015"
4,8,2013-10-08,7.41,1,12,NA,NA,32,1,"February 15, 2015"
4,9,2013-10-15,7.41,1,18,NA,NA,33,1,"February 22, 2015"
4,10,2013-10-22,9.45,1,4,NA,NA,34,1,"March 1, 2015"
5,1,2014-08-06,8.51,1,1,NA,NA,35,2,"September 6, 2015"
5,2,2014-08-13,8.79,1,1,NA,NA,36,2,"September 13, 2015"
5,3,2014-08-20,9.28,1,1,NA,NA,37,2,"September 20, 2015"
5,4,2014-08-27,10.25,1,2,NA,NA,38,2,"September 27, 2015"
5,5,2014-09-03,9.95,1,2,NA,NA,39,2,"October 4, 2015"
