series,episode,baker,result,signature,technical,showstopper
1,1,Annetha,IN,Light Jamaican Black Cakewith Strawberries and Cream,2,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
1,1,David,IN,Chocolate Orange Cake,3,"Black Forest Floor Gateaux with Moulded Chocolate Leaves, Fallen Fruit and Chocolate Mushrooms Moulded from eggs"
1,1,Edd,IN,Caramel Cinnamon and Banana Cake,1,NA
1,1,Jasminder,IN,Fresh Mango and Passion Fruit Hummingbird Cake,NA,NA
1,1,Jonathan,IN,Carrot Cake with Lime and Cream Cheese Icing,9,Three Tiered White and Dark Chocolate with Almond and Cherry
1,1,Louise,IN,Carrot and Orange Cake,NA,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border"
1,1,Miranda,IN,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",8,Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations
1,1,Ruth,IN,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,NA,Classic Chocolate Sponge wrapped in a Chocolate Collar topped with Handmade White and Dark Chocolate Truffles
1,1,Lea,OUT,Cranberry and Pistachio Cakewith Orange Flower Water Icing,10,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit
1,1,Mark,OUT,Sticky Marmalade Tea Loaf,NA,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.
1,2,David,IN,Cheddar Cheese and Fresh Rosemary Biscuits,8,Choux Pastry Swans  Chocolate Profiteroles
1,2,Edd,IN,Oatmeal Raisin Cookie,6,Pink Macarons
1,2,Jasminder,IN,Millionaires' Shortbread,2,Meringues with Chocolate and Space DustCoffee flavoured Eclairs
1,2,Jonathan,IN,Honey and Candied Ginger Cookies,1,Meringues with Whiskey Cream
1,2,Miranda,IN,Fresh Vanilla Biscuits with Royal Icing,3,Pistachio Macarons
1,2,Ruth,IN,Peanut Shortbread withSalted Peanut Caramel,5,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs
1,2,Annetha,OUT,Rose Petal Shortbread,7,Pink Swirl Macarons / Eclairs
1,2,Louise,OUT,Stained Glass Window Shortbread,4,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons"
1,2,Lea,NA,NA,NA,NA
1,2,Mark,NA,NA,NA,NA
1,3,David,IN,Chilli Bread,4,Walnut and Seed RollRed Berry and Almond Bun
1,3,Edd,IN,Olive Bread,1,Tomato and Mozzarella
1,3,Jasminder,IN,Focaccia,5,Mango and Sultana BunsPan au Chocolat with Mars BarsTutti Frutti Wheel with Jelly Tots
1,3,Miranda,IN,Walnut and Apricot Bread,3,Lemon Iced BunsChocolate and Orange Buns
1,3,Ruth,IN,Maple and Pecan Bread,2,Chocolate and Orange PanettoneCranberry Bagels
1,3,Jonathan,OUT,"Anchovy, Sweet Paprika and Oregano Bread",6,"Sticky Lemon Honey Bun Olive and Anchovy RollSundried Tomatoes and Fresh Herbs RollStilton, Walnut and Apple RollCinnamon and Cardamom Chelsea Bun"
1,3,Annetha,NA,NA,NA,NA
1,3,Lea,NA,NA,NA,NA
1,3,Louise,NA,NA,NA,NA
1,3,Mark,NA,NA,NA,NA
1,4,Edd,IN,Apple and Plum Pudding,3,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer"
1,4,Jasminder,IN,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,2,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble"
1,4,Miranda,IN,Sticky Toffee Pudding,1,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble"
