series,baker,star_baker,technical_winner,technical_top3,technical_bottom,technical_highest,technical_lowest,technical_median,series_winner,series_runner_up,total_episodes_appeared,first_date_appeared,last_date_appeared,first_date_us,last_date_us,percent_episodes_appeared,percent_technical_top3,baker_full,age,occupation,hometown,baker_last,baker_first
1,Annetha,0,0,1,1,2,7,4.5,0,0,2,2010-08-17,2010-08-24,NA,NA,33.333333333333336,50,Annetha Mills,30,Midwife,Essex,Mills,Annetha
1,David,0,0,1,3,3,8,4.5,0,0,4,2010-08-17,2010-09-07,NA,NA,66.66666666666667,25,David Chambers,31,Entrepreneur,Milton Keynes,Chambers,David
1,Edd,0,2,4,1,1,6,2,1,0,6,2010-08-17,2010-09-21,NA,NA,100,66.66666666666667,"Edward ""Edd"" Kimber",24,Debt collector for Yorkshire Bank,Bradford,Kimber,Edward
1,Jasminder,0,0,2,2,2,5,3,0,0,5,2010-08-17,2010-09-14,NA,NA,83.33333333333333,40,Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham,Randhawa,Jasminder
1,Jonathan,0,1,1,2,1,9,6,0,0,3,2010-08-17,2010-08-31,NA,NA,50,33.333333333333336,Jonathan Shepherd,25,Research Analyst,St Albans,Shepherd,Jonathan
1,Lea,0,0,0,1,10,10,10,0,0,1,2010-08-17,2010-08-17,NA,NA,16.666666666666668,0,Lea Harris,51,Retired,"Midlothian, Scotland",Harris,Lea
1,Louise,0,0,0,1,4,4,4,0,0,2,2010-08-17,2010-08-24,NA,NA,33.333333333333336,0,Louise Brimelow,44,Police Officer,Manchester,Brimelow,Louise
1,Mark,0,0,0,0,NA,NA,NA,0,0,1,2010-08-17,2010-08-17,NA,NA,16.666666666666668,0,Mark Whithers,48,Bus Driver,South Wales,Whithers,Mark
1,Miranda,0,2,4,1,1,8,3,0,0,6,2010-08-17,2010-09-21,NA,NA,100,66.66666666666667,Miranda Gore Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Browne,Miranda
1,Ruth,0,0,2,2,2,5,3.5,0,0,6,2010-08-17,2010-09-21,NA,NA,100,33.333333333333336,Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",Clemens,Ruth
2,Ben,0,1,3,1,1,5,2.5,0,0,4,2011-08-16,2011-09-06,NA,NA,50,75,Ben Frazer,31,Graphic Designer,Northampton,Frazer,Ben
2,Holly,0,2,5,3,1,6,3,0,0,8,2011-08-16,2011-10-04,NA,NA,100,62.5,Holly Bell,31,Advertising executive,Leicester,Bell,Holly
2,Ian,0,0,1,2,2,10,10,0,0,3,2011-08-16,2011-08-30,NA,NA,37.5,33.333333333333336,Ian Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",Vallance,Ian
2,Janet,0,1,1,6,1,8,5,0,0,7,2011-08-16,2011-09-27,NA,NA,87.5,14.285714285714286,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Basu,Janet
2,Jason,0,1,2,3,1,7,6,0,0,5,2011-08-16,2011-09-13,NA,NA,62.5,40,Jason White,19,Civil Engineering Student,Croydon,White,Jason
2,Joanne,0,3,4,4,1,11,4.5,1,0,8,2011-08-16,2011-10-04,NA,NA,100,50,"Joanne ""Jo"" Wheatley",41,Housewife,"Ongar, Essex",Wheatley,Joanne
2,Keith,0,0,0,1,12,12,12,0,0,1,2011-08-16,2011-08-16,NA,NA,12.5,0,Keith Batsford,31,House husband,"Arlesey, Bedfordshire",Batsford,Keith
2,Mary-Anne,0,0,4,4,2,9,3.5,0,0,8,2011-08-16,2011-10-04,NA,NA,100,50,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",Boermans,Mary-Anne
2,Robert,0,0,2,3,3,7,4,0,0,5,2011-08-16,2011-09-13,NA,NA,62.5,40,Robert Billington,25,Photographer,London,Billington,Robert
2,Simon,0,0,0,2,9,11,10,0,0,2,2011-08-16,2011-08-23,NA,NA,25,0,Simon Blackwell,31,Rugby Coach,Norfolk,Blackwell,Simon
2,Urvashi,0,0,0,3,7,9,7,0,0,3,2011-08-16,2011-08-30,NA,NA,37.5,0,Urvashi Roe,40,Head of Marketing,"Enfield, London",Roe,Urvashi
2,Yasmin,0,0,2,4,2,6,5,0,0,6,2011-08-16,2011-09-20,NA,NA,75,33.333333333333336,Yasmin Limbert,43,Childminder,"West Kirby, The Wirral",Limbert,Yasmin
3,Brendan,0,2,6,4,1,10,3,0,0,10,2012-08-14,2012-10-16,NA,NA,100,60,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,Lynch,Brendan
3,Cathryn,0,1,4,4,1,8,4,0,0,8,2012-08-14,2012-10-02,NA,NA,80,50,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",Dresser,Cathryn
3,Danny,0,0,5,4,2,7,3,0,0,9,2012-08-14,2012-10-09,NA,NA,90,55.55555555555556,Danny Bryden,45,Intensive care consultant,Sheffield,Bryden,Danny
3,James,0,5,7,3,1,7,1.5,0,0,10,2012-08-14,2012-10-16,NA,NA,100,70,James Morton,21,Medical student,"Hillswick, Shetland Islands",Morton,James
3,John,0,1,6,4,1,11,3,1,0,10,2012-08-14,2012-10-16,NA,NA,100,60,John Whaite,22,Law student,Wigan,Whaite,John
3,Manisha,0,0,0,5,5,10,6,0,0,5,2012-08-14,2012-09-11,NA,NA,50,0,Manisha Parmar,27,Nursery nurse,Leicester,Parmar,Manisha
3,Natasha,0,0,0,1,12,12,12,0,0,1,2012-08-14,2012-08-14,NA,NA,10,0,Natasha Stringer,36,Midwife,"Tamworth, Staffordshire",Stringer,Natasha
3,Peter,0,0,1,1,3,11,7,0,0,2,2012-08-14,2012-08-21,NA,NA,20,50,Peter Maloney,43,Sales manager,"Windsor, Berkshire",Maloney,Peter
3,Ryan,0,0,0,7,5,8,6,0,0,7,2012-08-14,2012-09-25,NA,NA,70,0,Ryan Chong,38,Photographer,Bristol,Chong,Ryan
3,Sarah-Jane,0,1,1,6,1,10,4,0,0,7,2012-08-14,2012-09-25,NA,NA,70,14.285714285714286,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",Willis,Sarah-Jane
3,Stuart,0,0,0,4,7,9,8.5,0,0,4,2012-08-14,2012-09-04,NA,NA,40,0,Stuart Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",Marston-Smith,Stuart
3,Victoria,0,0,0,3,4,7,4,0,0,3,2012-08-14,2012-08-28,NA,NA,30,0,Victoria Chester,50,CEO of the charity Plantlife,Somerset,Chester,Victoria
4,Ali,0,0,0,4,5,11,8.5,0,0,4,2013-08-20,2013-09-10,NA,NA,40,0,Ali Imdad,25,Charity worker,"Saltley, Birmingham",Imdad,Ali
4,Beca,0,1,3,6,1,11,5,0,0,9,2013-08-20,2013-10-15,NA,NA,90,33.333333333333336,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Lyne-Pirkis,Beca
4,Christine,0,1,2,6,1,7,4,0,0,8,2013-08-20,2013-10-08,NA,NA,80,25,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",Wallace,Christine
4,Deborah,0,0,0,3,8,9,9,0,0,3,2013-08-20,2013-09-03,NA,NA,30,0,Deborah Manger,51,Dentist,Peterborough,Manger,Deborah
4,Frances,0,1,7,3,1,8,3,1,0,10,2013-08-20,2013-10-22,NA,NA,100,70,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Quinn,Frances
4,Glenn,0,1,3,4,1,9,4,0,0,7,2013-08-20,2013-10-01,NA,NA,70,42.857142857142854,Glenn Cosby,37,English Teacher,"Teignmouth, Devon",Cosby,Glenn
4,Howard,0,0,0,6,5,10,7,0,0,6,2013-08-20,2013-09-24,NA,NA,60,0,Howard Middleton,51,Council Worker,Sheffield,Middleton,Howard
4,Kimberley,0,3,5,5,1,10,3.5,0,0,10,2013-08-20,2013-10-22,NA,NA,100,50,Kimberley Wilson,30,Psychologist,London,Wilson,Kimberley
4,Lucy,0,0,1,1,2,12,7,0,0,2,2013-08-20,2013-08-27,NA,NA,20,50,Lucy Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",Bellamy,Lucy
4,Mark,0,0,0,3,5,11,6,0,0,3,2013-08-20,2013-09-03,NA,NA,30,0,Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,Onley,Mark
4,Robert,0,1,3,2,1,5,3,0,0,5,2013-08-20,2013-09-17,NA,NA,50,60,Robert Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",Smart,Robert
