region,council,swim_site,date,time,enterococci_cfu_100ml,water_temperature_c,conductivity_ms_cm,latitude,longitude
Western Sydney,Hawkesbury City Council,Windsor Beach,2025-04-28,11:00:00,620,20,248,-33.6044834,150.8170393
Sydney Harbour,North Sydney Council,Hayes Street Beach,2025-04-28,11:40:00,64,21,45250,-33.841715,151.219382
Sydney Harbour,Willoughby City Council,Northbridge Baths,2025-04-28,10:54:00,160,21,48930,-33.806043,151.222754
Sydney Harbour,Northern Beaches Council,Fairlight Beach,2025-04-28,09:28:00,54,21,52700,-33.800731,151.274778
Western Sydney,Hawkesbury City Council,Yarramundi Reserve,2025-04-28,10:35:00,720,18,64,-33.6091226,150.6978862
Sydney Harbour,Northern Beaches Council,Little Manly Cove,2025-04-28,09:19:00,230,21,39140,-33.807232,151.286808
Sydney Harbour,City of Canada Bay Council,Chiswick Baths,2025-04-28,13:06:00,120,21,4845,-33.847168,151.142892
Sydney Harbour,Inner West Council,Dawn Fraser Pool,2025-04-28,08:04:00,280,21,50600,-33.853237,151.172823
Sydney Harbour,Woollahra Municipal Council,Rose Bay Beach,2025-04-28,08:50:00,60,22,52900,-33.870027,151.265932
Sydney Harbour,Woollahra Municipal Council,Camp Cove,2025-04-28,09:09:00,100,22,53000,-33.839395,151.278758
Sydney Harbour,Inner West Council,Callan Park Seawall,2025-04-28,07:52:00,1300,20,44160,-33.862333,151.159306
Sydney Harbour,Lane Cove Council,Tambourine Bay,2025-04-28,12:09:00,3200,20,24280,-33.828066,151.161315
Sydney Harbour,Northern Beaches Council,Forty Baskets Pool,2025-04-28,09:31:00,180,22,48100,-33.803133,151.270604
Sydney Harbour,Mosman Municipal Council,Chinamans Beach,2025-04-28,11:13:00,26,21,51500,-33.814094,151.248971
Sydney Harbour,Lane Cove Council,Greenwich Baths,2025-04-28,11:51:00,48,21,45880,-33.84176,151.1829
Sydney Harbour,Woollahra Municipal Council,Parsley Bay,2025-04-28,09:01:00,540,22,51300,-33.849889,151.276441
Sydney Harbour,Woollahra Municipal Council,Watsons Bay,2025-04-28,09:06:00,460,21,50900,-33.845115,151.280546
Sydney Harbour,Northern Beaches Council,Gurney Crescent Baths,2025-04-28,10:05:00,460,22,29330,-33.793451,151.235278
Sydney Harbour,The City of Sydney,Darling Harbour,2025-04-28,08:20:00,690,20,21,-33.87129,151.20069
Sydney Harbour,Northern Beaches Council,Clontarf Pool,2025-04-28,09:44:00,140,22,52400,-33.80579,151.25172
Sydney Harbour,City of Canada Bay Council,Cabarita Beach,2025-04-28,12:29:00,180,21,48460,-33.841448,151.11863
Sydney Harbour,Mosman Municipal Council,Edwards Beach,2025-04-28,11:17:00,20,22,52900,-33.82138,151.25283
Sydney Harbour,Lane Cove Council,Woodford Bay,2025-04-28,12:01:00,200,21,48330,-33.831968,151.17254
Western Sydney,Penrith City Council,Penrith Beach,2025-04-28,10:00:00,170,20,41700,-33.694762,150.675921
Sydney Harbour,Mosman Municipal Council,Balmoral Baths,2025-04-28,11:20:00,59,22,52400,-33.826888,151.253476
Sydney Harbour,Northern Beaches Council,Manly Cove,2025-04-28,09:24:00,50,21,52600,-33.79944,151.282519
Sydney Harbour,The Council of the Municipality of Hunters Hill,Woolwich Baths,2025-04-28,12:14:00,320,21,NA,-33.83919,151.16949
Sydney Harbour,Northern Beaches Council,Davidson Reserve,2025-04-28,10:27:00,4300,19,13590,-33.767929,151.200343
Sydney Harbour,Mosman Municipal Council,Clifton Gardens,2025-04-28,11:30:00,26,22,50900,-33.839154,151.253349
Sydney Harbour,Woollahra Municipal Council,Murray Rose Pool,2025-04-28,08:42:00,90,21,47500,-33.871276,151.246974
Sydney Harbour,Woollahra Municipal Council,Nielsen Park,2025-04-28,08:57:00,24,22,53100,-33.849925,151.266231
Northern Sydney,Northern Beaches Council,Newport Beach,2025-04-24,07:47:00,0,22,53700,-33.653976,151.32375
Northern Sydney,Northern Beaches Council,Mona Vale Beach,2025-04-24,07:20:00,2,20,55000,-33.679704,151.313981
Northern Sydney,Northern Beaches Council,Avalon Beach,2025-04-24,10:17:00,2,23,54500,-33.635658,151.332569
Northern Sydney,Northern Beaches Council,Palm Beach,2025-04-24,10:50:00,0,23,53900,-33.598779,151.325824
Northern Sydney,Northern Beaches Council,Bilgola Beach,2025-04-24,07:58:00,1,22,53800,-33.645256,151.328774
Northern Sydney,Northern Beaches Council,Bungan Beach,2025-04-24,07:37:00,0,22,54100,-33.665919,151.320776
Northern Sydney,Northern Beaches Council,Whale Beach,2025-04-24,10:33:00,0,23,54100,-33.611207,151.332254
Southern Sydney,Sutherland Shire Council,South Cronulla Beach,2025-04-23,08:22:00,5,21,53600,-34.055497,151.155347
Southern Sydney,Sutherland Shire Council,Wanda Beach,2025-04-23,08:54:00,2,22,52300,-34.04393,151.1622
Southern Sydney,Sutherland Shire Council,Boat Harbour,2025-04-23,09:29:00,6,22,53600,-34.038723,151.200127
Southern Sydney,Sutherland Shire Council,North Cronulla Beach,2025-04-23,08:37:00,7,22,54200,-34.05101,151.15659
Southern Sydney,Sutherland Shire Council,Shelly Beach (Sutherland),2025-04-23,08:06:00,3,22,54200,-34.06412,151.15542
Southern Sydney,Sutherland Shire Council,Elouera Beach,2025-04-23,08:40:00,4,22,53400,-34.04661,151.15966
Southern Sydney,Sutherland Shire Council,Greenhills Beach,2025-04-23,09:21:00,0,22,53900,-34.03479,151.18418
Southern Sydney,Sutherland Shire Council,Oak Park Beach,2025-04-23,07:55:00,24,22,55400,-34.06984,151.156853
Sydney Harbour,Mosman Municipal Council,Edwards Beach,2025-04-22,08:46:00,1,22,53000,-33.82138,151.25283
Sydney Harbour,City of Canada Bay Council,Cabarita Beach,2025-04-22,07:37:00,6,21,49900,-33.841448,151.11863
Sydney Harbour,Northern Beaches Council,Clontarf Pool,2025-04-22,10:10:00,3,22,52300,-33.80579,151.25172
Sydney Harbour,The City of Sydney,Darling Harbour,2025-04-22,11:33:00,70,22,51000,-33.87129,151.20069
Sydney Harbour,Lane Cove Council,Woodford Bay,2025-04-22,08:03:00,10,21,50400,-33.831968,151.17254
Sydney Harbour,Mosman Municipal Council,Balmoral Baths,2025-04-22,08:43:00,1,22,53100,-33.826888,151.253476
Sydney Harbour,The Council of the Municipality of Hunters Hill,Woolwich Baths,2025-04-22,07:49:00,10,21,50200,-33.83919,151.16949
Sydney Harbour,Northern Beaches Council,Manly Cove,2025-04-22,10:27:00,5,22,53100,-33.79944,151.282519
Sydney Harbour,Northern Beaches Council,Davidson Reserve,2025-04-22,09:25:00,0,22,51400,-33.767929,151.200343
Sydney Harbour,Mosman Municipal Council,Clifton Gardens,2025-04-22,08:33:00,33,22,53500,-33.839154,151.253349
Sydney Harbour,Woollahra Municipal Council,Nielsen Park,2025-04-22,10:56:00,0,22,52700,-33.849925,151.266231
Sydney Harbour,Woollahra Municipal Council,Murray Rose Pool,2025-04-22,11:10:00,7,21,52300,-33.871276,151.246974
Sydney Harbour,Northern Beaches Council,Gurney Crescent Baths,2025-04-22,09:05:00,0,22,52700,-33.793451,151.235278
Sydney Harbour,Woollahra Municipal Council,Watsons Bay,2025-04-22,10:47:00,0,22,53100,-33.845115,151.280546
Sydney Harbour,Woollahra Municipal Council,Parsley Bay,2025-04-22,10:52:00,5,22,53700,-33.849889,151.276441
Sydney Harbour,Mosman Municipal Council,Chinamans Beach,2025-04-22,08:49:00,0,22,52100,-33.814094,151.248971
Sydney Harbour,Lane Cove Council,Greenwich Baths,2025-04-22,08:08:00,2,21,51100,-33.84176,151.1829
Sydney Harbour,Northern Beaches Council,Forty Baskets Pool,2025-04-22,10:22:00,4,22,53500,-33.803133,151.270604
Sydney Harbour,Lane Cove Council,Tambourine Bay,2025-04-22,07:56:00,4,21,49800,-33.828066,151.161315
Sydney Harbour,North Sydney Council,Hayes Street Beach,2025-04-22,08:21:00,23,21,52400,-33.841715,151.219382
Sydney Harbour,Willoughby City Council,Northbridge Baths,2025-04-22,09:49:00,1,22,52500,-33.806043,151.222754
Sydney Harbour,Northern Beaches Council,Fairlight Beach,2025-04-22,10:25:00,7,22,53000,-33.800731,151.274778
Sydney Harbour,Inner West Council,Dawn Fraser Pool,2025-04-22,11:49:00,0,22,51500,-33.853237,151.172823
