model,source_listing_labels,source_row_count,configurations_tracked,listed_price_low_usd,listed_price_high_usd,median_listed_price_usd,snapshot_date,release_quarter,observation_unit,quality_status,source_url,methodology_note,non_affiliation_note
DJI Mavic 3 Enterprise,DJI Mavic 3 Enterprise,1,1,16950.00,16950.00,16950.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic 3 Thermal,DJI Mavic 3 Thermal,1,1,16947.00,16947.00,16947.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Inspire 3,DJI Inspire 3,1,4,13358.00,20001.00,16603.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Matrice 4T,DJI Matrice 4T | DJI Matrice 4T (Customization),2,2,13500.00,13500.00,13500.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Matrice 30T,DJI Matrice 30T,1,1,12213.00,12213.00,12213.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic 2 Enterprise,DJI Mavic 2 Enterprise,1,1,3298.00,3298.00,3298.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic 3 Pro Cine,DJI Mavic 3 Pro Cine,1,8,2800.00,3936.00,3271.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic 4 Pro,DJI Mavic 4 Pro,1,8,2280.00,3301.00,2840.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic 3 Pro,DJI Mavic 3 Pro,1,10,1712.00,3354.00,2486.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic 3 Classic,DJI Mavic 3 Classic,1,10,2140.00,2721.00,2450.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic 3,DJI Mavic 3,1,10,1481.00,2601.00,1953.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic 3 Cine,DJI Mavic 3 Cine,1,8,1496.00,2751.00,1916.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Inspire 1 V2.0,DJI Inspire 1 V2.0,1,2,1351.00,1501.00,1426.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Inspire 2,DJI Inspire 2,1,4,1160.00,1800.00,1410.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mini 5 Pro,DJI Mini 5 Pro,1,10,850.00,1500.00,1070.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Air 3S,DJI Air 3S,1,10,790.00,1320.00,1066.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Avata 360,DJI Avata 360,1,5,623.00,1150.00,920.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Inspire 1 V1.0,DJI Inspire 1 V1.0,1,1,860.00,860.00,860.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Air 3,DJI Air 3,1,10,591.00,1129.00,828.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mini 4 Pro,DJI Mini 4 Pro,1,10,461.00,850.00,672.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Avata,DJI Avata,1,3,180.00,701.00,650.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Avata 2,DJI Avata 2,1,4,199.00,1000.00,649.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Lito X1,DJI Lito X1,1,5,410.00,730.00,570.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
