department,year,energy_spending
Office of Science R&D,1997,35933e5
Adv Sci Comp Res*,1997,2172e5
Basic Energy Sciences*,1997,9333e5
Bio and Env Research*,1997,5506e5
Fusion Energy Sciences*,1997,3314e5
High-Energy Physics*,1997,9688e5
Nuclear Physics*,1997,457e6
Energy Efficiency and Renew Energy,1997,82e7
Nuclear Energy,1997,1921e5
Fossil Energy,1997,4195e5
Atomic Energy Defense,1997,41418e5
Office of Science R&D,1998,36106e5
Adv Sci Comp Res*,1998,2138e5
Basic Energy Sciences*,1998,9493e5
Bio and Env Research*,1998,5763e5
Fusion Energy Sciences*,1998,3265e5
High-Energy Physics*,1998,9737e5
Nuclear Physics*,1998,4584e5
Energy Efficiency and Renew Energy,1998,8666e5
Nuclear Energy,1998,597e5
Fossil Energy,1998,2549e5
Atomic Energy Defense,1998,43727e5
Office of Science R&D,1999,38432e5
Adv Sci Comp Res*,1999,2208e5
Basic Energy Sciences*,1999,11263e5
Bio and Env Research*,1999,6125e5
Fusion Energy Sciences*,1999,3124e5
High-Energy Physics*,1999,979e6
Nuclear Physics*,1999,4705e5
Energy Efficiency and Renew Energy,1999,9593e5
Nuclear Energy,1999,105e6
Fossil Energy,1999,4243e5
Atomic Energy Defense,1999,45983e5
Office of Science R&D,2000,37508e5
Adv Sci Comp Res*,2000,1761e5
Basic Energy Sciences*,2000,1073599999.9999999
Bio and Env Research*,2000,5819e5
Fusion Energy Sciences*,2000,3409e5
High-Energy Physics*,2000,9707e5
Nuclear Physics*,2000,4903e5
Energy Efficiency and Renew Energy,2000,9538e5
Nuclear Energy,2000,93e6
Fossil Energy,2000,4086e5
Atomic Energy Defense,2000,451e7
Office of Science R&D,2001,41125e5
Adv Sci Comp Res*,2001,2215e5
Basic Energy Sciences*,2001,13402e5
Bio and Env Research*,2001,6563e5
Fusion Energy Sciences*,2001,333e6
High-Energy Physics*,2001,9576e5
Nuclear Physics*,2001,4843e5
Energy Efficiency and Renew Energy,2001,1098e6
Nuclear Energy,2001,605e5
Fossil Energy,2001,4843e5
Atomic Energy Defense,2001,4763e6
Office of Science R&D,2002,4109600000.0000005
