department,year,rd_budget,total_outlays,discretionary_outlays,gdp
DOD,1976,35696e6,3718e8,1756e8,179e10
NASA,1976,12513e6,3718e8,1756e8,179e10
DOE,1976,10882e6,3718e8,1756e8,179e10
HHS,1976,9226e6,3718e8,1756e8,179e10
NIH,1976,8025e6,3718e8,1756e8,179e10
NSF,1976,2372e6,3718e8,1756e8,179e10
USDA,1976,1837e6,3718e8,1756e8,179e10
Interior,1976,1152e6,3718e8,1756e8,179e10
DOT,1976,1142e6,3718e8,1756e8,179e10
EPA,1976,968e6,3718e8,1756e8,179e10
DOC,1976,819e6,3718e8,1756e8,179e10
DHS,1976,0,3718e8,1756e8,179e10
VA,1976,404e6,3718e8,1756e8,179e10
Other,1976,1191e6,3718e8,1756e8,179e10
DOD,1977,37967e6,4092e8,1971e8,2028e9
NASA,1977,12553e6,4092e8,1971e8,2028e9
DOE,1977,13741e6,4092e8,1971e8,2028e9
HHS,1977,9507e6,4092e8,1971e8,2028e9
NIH,1977,8214e6,4092e8,1971e8,2028e9
NSF,1977,2395e6,4092e8,1971e8,2028e9
USDA,1977,1796e6,4092e8,1971e8,2028e9
Interior,1977,1082e6,4092e8,1971e8,2028e9
DOT,1977,1095e6,4092e8,1971e8,2028e9
EPA,1977,966e6,4092e8,1971e8,2028e9
DOC,1977,837e6,4092e8,1971e8,2028e9
DHS,1977,0,4092e8,1971e8,2028e9
VA,1977,374e6,4092e8,1971e8,2028e9
Other,1977,128e7,4092e8,1971e8,2028e9
DOD,1978,37022e6,4587e8,2187e8,2278e9
NASA,1978,12516e6,4587e8,2187e8,2278e9
DOE,1978,15663e6,4587e8,2187e8,2278e9
HHS,1978,10533e6,4587e8,2187e8,2278e9
NIH,1978,8802e6,4587e8,2187e8,2278e9
NSF,1978,2446e6,4587e8,2187e8,2278e9
USDA,1978,1962e6,4587e8,2187e8,2278e9
Interior,1978,1125e6,4587e8,2187e8,2278e9
DOT,1978,1156e6,4587e8,2187e8,2278e9
EPA,1978,1175e6,4587e8,2187e8,2278e9
DOC,1978,871e6,4587e8,2187e8,2278e9
DHS,1978,0,4587e8,2187e8,2278e9
VA,1978,356e6,4587e8,2187e8,2278e9
Other,1978,1237e6,4587e8,2187e8,2278e9
DOD,1979,37174e6,504e9,24e10,257e10
NASA,1979,13079e6,504e9,24e10,257e10
DOE,1979,15612e6,504e9,24e10,257e10
HHS,1979,10127e6,504e9,24e10,257e10
NIH,1979,9243e6,504e9,24e10,257e10
NSF,1979,2404e6,504e9,24e10,257e10
USDA,1979,2054e6,504e9,24e10,257e10
Interior,1979,1176e6,504e9,24e10,257e10
DOT,1979,1004e6,504e9,24e10,257e10
EPA,1979,1102e6,504e9,24e10,257e10
DOC,1979,952e6,504e9,24e10,257e10
DHS,1979,0,504e9,24e10,257e10
VA,1979,353e6,504e9,24e10,257e10
Other,1979,2321e6,504e9,24e10,257e10
DOD,1980,37005e6,5909e8,2763e8,2797e9
NASA,1980,13837e6,5909e8,2763e8,2797e9
DOE,1980,15226e6,5909e8,2763e8,2797e9
HHS,1980,10045e6,5909e8,2763e8,2797e9
NIH,1980,9093e6,5909e8,2763e8,2797e9
NSF,1980,2407e6,5909e8,2763e8,2797e9
USDA,1980,1887e6,5909e8,2763e8,2797e9
Interior,1980,1082e6,5909e8,2763e8,2797e9
DOT,1980,1048e6,5909e8,2763e8,2797e9
EPA,1980,903e6,5909e8,2763e8,2797e9
DOC,1980,945e6,5909e8,2763e8,2797e9
DHS,1980,0,5909e8,2763e8,2797e9
VA,1980,359e6,5909e8,2763e8,2797e9
Other,1980,2468e6,5909e8,2763e8,2797e9
DOD,1981,41737e6,6782e8,3079e8,3138e9
NASA,1981,13276e6,6782e8,3079e8,3138e9
DOE,1981,14798e6,6782e8,3079e8,3138e9
HHS,1981,9644e6,6782e8,3079e8,3138e9
NIH,1981,858e7,6782e8,3079e8,3138e9
NSF,1981,23e8,6782e8,3079e8,3138e9
USDA,1981,1964e6,6782e8,3079e8,3138e9
Interior,1981,99e7,6782e8,3079e8,3138e9
DOT,1981,978e6,6782e8,3079e8,3138e9
EPA,1981,901e6,6782e8,3079e8,3138e9
DOC,1981,829e6,6782e8,3079e8,3138e9
DHS,1981,0,6782e8,3079e8,3138e9
VA,1981,382e6,6782e8,3079e8,3138e9
Other,1981,1925e6,6782e8,3079e8,3138e9
DOD,1982,46893e6,7457e8,3259e8,3314e9
NASA,1982,10322e6,7457e8,3259e8,3314e9
DOE,1982,1216e7,7457e8,3259e8,3314e9
HHS,1982,886e7,7457e8,3259e8,3314e9
NIH,1982,8314e6,7457e8,3259e8,3314e9
NSF,1982,2191e6,7457e8,3259e8,3314e9
USDA,1982,1867e6,7457e8,3259e8,3314e9
Interior,1982,866e6,7457e8,3259e8,3314e9
DOT,1982,702e6,7457e8,3259e8,3314e9
EPA,1982,641e6,7457e8,3259e8,3314e9
DOC,1982,693e6,7457e8,3259e8,3314e9
DHS,1982,0,7457e8,3259e8,3314e9
VA,1982,313e6,7457e8,3259e8,3314e9
Other,1982,1626e6,7457e8,3259e8,3314e9
DOD,1983,51008e6,8084e8,3533e8,3541e9
NASA,1983,5893e6,8084e8,3533e8,3541e9
DOE,1983,11129e6,8084e8,3533e8,3541e9
HHS,1983,9418e6,8084e8,3533e8,3541e9
NIH,1983,8733e6,8084e8,3533e8,3541e9
NSF,1983,2282e6,8084e8,3533e8,3541e9
USDA,1983,1907e6,8084e8,3533e8,3541e9
Interior,1983,835e6,8084e8,3533e8,3541e9
DOT,1983,8e8,8084e8,3533e8,3541e9
EPA,1983,501e6,8084e8,3533e8,3541e9
DOC,1983,7e8,8084e8,3533e8,3541e9
DHS,1983,0,8084e8,3533e8,3541e9
VA,1983,347e6,8084e8,3533e8,3541e9
Other,1983,1457e6,8084e8,3533e8,3541e9
DOD,1984,58139e6,8518e8,3794e8,3953e9
NASA,1984,6231e6,8518e8,3794e8,3953e9
DOE,1984,11731e6,8518e8,3794e8,3953e9
HHS,1984,10145e6,8518e8,3794e8,3953e9
NIH,1984,962e7,8518e8,3794e8,3953e9
NSF,1984,2597e6,8518e8,3794e8,3953e9
USDA,1984,2032e6,8518e8,3794e8,3953e9
Interior,1984,757e6,8518e8,3794e8,3953e9
DOT,1984,1018e6,8518e8,3794e8,3953e9
EPA,1984,518e6,8518e8,3794e8,3953e9
DOC,1984,755e6,8518e8,3794e8,3953e9
DHS,1984,0,8518e8,3794e8,3953e9
VA,1984,41e7,8518e8,3794e8,3953e9
Other,1984,1418e6,8518e8,3794e8,3953e9
DOD,1985,64416e6,9463e8,4158e8,427e10
NASA,1985,7174e6,9463e8,4158e8,427e10
DOE,1985,12043e6,9463e8,4158e8,427e10
HHS,1985,11083e6,9463e8,4158e8,427e10
NIH,1985,10606e6,9463e8,4158e8,427e10
NSF,1985,2859e6,9463e8,4158e8,427e10
USDA,1985,2018e6,9463e8,4158e8,427e10
Interior,1985,783e6,9463e8,4158e8,427e10
DOT,1985,885e6,9463e8,4158e8,427e10
EPA,1985,615e6,9463e8,4158e8,427e10
DOC,1985,789e6,9463e8,4158e8,427e10
DHS,1985,0,9463e8,4158e8,427e10
VA,1985,431e6,9463e8,4158e8,427e10
Other,1985,1116e6,9463e8,4158e8,427e10
DOD,1986,68931e6,9904e8,4385e8,4536e9
NASA,1986,7343e6,9904e8,4385e8,4536e9
DOE,1986,10911e6,9904e8,4385e8,4536e9
HHS,1986,11133e6,9904e8,4385e8,4536e9
NIH,1986,10659e6,9904e8,4385e8,4536e9
NSF,1986,2757e6,9904e8,4385e8,4536e9
USDA,1986,189e7,9904e8,4385e8,4536e9
Interior,1986,755e6,9904e8,4385e8,4536e9
DOT,1986,746e6,9904e8,4385e8,4536e9
EPA,1986,637e6,9904e8,4385e8,4536e9
DOC,1986,778e6,9904e8,4385e8,4536e9
DHS,1986,0,9904e8,4385e8,4536e9
VA,1986,365e6,9904e8,4385e8,4536e9
Other,1986,1326e6,9904e8,4385e8,4536e9
DOD,1987,71541e6,1004e9,4441e8,4782e9
NASA,1987,8346e6,1004e9,4441e8,4782e9
DOE,1987,10446e6,1004e9,4441e8,4782e9
HHS,1987,12847e6,1004e9,4441e8,4782e9
NIH,1987,12335e6,1004e9,4441e8,4782e9
NSF,1987,2942e6,1004e9,4441e8,4782e9
USDA,1987,2104e6,1004e9,4441e8,4782e9
Interior,1987,786e6,1004e9,4441e8,4782e9
DOT,1987,595e6,1004e9,4441e8,4782e9
EPA,1987,664e6,1004e9,4441e8,4782e9
DOC,1987,804e6,1004e9,4441e8,4782e9
DHS,1987,0,1004e9,4441e8,4782e9
