"id","chapter","title","date","location","year"
"296275584","rladies-st-louis","Save the date! Introduction to ChatGPT for R coding","2023-11-30","online",2023
"296277517","rladies-coventry","An basic introduction: Python for R Users","2023-11-30","online",2023
"295898711","rladies-baltimore","Holiday graphics and animations in R","2023-11-28","inperson",2023
"296346610","rladies-philly","TidyTuesday with R-Ladies Philly!","2023-11-14","online",2023
"296275461","rladies-st-louis","Save the date! Introduction to Network Analysis in R","2023-11-08","online",2023
"296424871","rladies-kathmandu","4 days workshop","2023-11-01","inperson",2023
"296239571","rladies-taipei","旅遊服務銜接 AIGC 的各種坑","2023-10-30","inperson",2023
"296559481","rladies-montreal","RLadies October Meetup - ""R-omics"": Using R for bioinformatics","2023-10-30","inperson",2023
"296677321","rladies-abuja","R-Ladies Abuja and Abuja R user Group Meet and Greet","2023-10-28","inperson",2023
"296720878","rladies-sao-paulo","Meetup R-Ladies São Paulo - Introdução ao R","2023-10-28","inperson",2023
"296693484","rladies-sancristobal","Introducción a R","2023-10-27","online",2023
"296671814","rladies-xalapa","Introducción a R","2023-10-27","online",2023
"295897476","rladies-baltimore","Visualization and analysis of spatial data","2023-10-27","online",2023
"296506186","rladies-ljubljana","DELAVNICA: Mešano","2023-10-26","inperson",2023
"296686744","rladies-salvador","5º Meetup Virtual R_Ladies Salvador","2023-10-25","online",2023
"296330423","rladies-zurich","Zero to Quarto: Build your first Quarto website","2023-10-23","inperson",2023
"291443779","rladies-rome","R-Ladies Rome - Meet and Greet, October 21st at 6:00 PM CET","2023-10-21","inperson",2023
"296536177","rladiesnyc","R-Ladies Coffe and Code Hangout","2023-10-21","inperson",2023
"296348641","rladies-ribeirao-preto","Trabalhando com R no Jornalismo de Dados","2023-10-21","online",2023
"296643869","rladies-milagro","Taller de Estadística Descriptiva en R ","2023-10-20","online",2023
"296623138","rladies-paris","Retour d'Expériences en Science des Données et en Consultation Scientifique","2023-10-19","inperson",2023
"296083625","rladies-dc","Data Happy Hour","2023-10-19","inperson",2023
"296527872","rladies-lima","Modelos de Machine Learning utilizando Tidymodels","2023-10-14","online",2023
"296252747","rladiesnyc","R-Ladies Book Club -In Person Only","2023-10-14","inperson",2023
"296647643","rladies-cuernavaca","Tidyverse","2023-10-12","online",2023
"296596831","rladies-milagro","""La estadística: ciencia que encuentra la magia en los números y la verdad en lo","2023-10-12","inperson",2023
