dataset_url,contact_name,contact_email,bureau_code,program_code,category,tags,publisher,public_access_level,footnotes,license,source_link,issued,geographic_coverage,temporal_applicability,update_frequency,described_by,homepage,geographic_unit_of_analysis,suggested_citation,geospatial_resolution,references,glossary_methodology,access_level_comment,analytical_methods_reference,language,collection
https://archive.org/download/20250128-cdc-datasets/1001-meta.csv,"Physical Effects Research Branch (PERB), National Institute for Occupational Safety and Health (NIOSH) Health Effects Laboratory Division (HELD)",sa-cin-webteam@cdc.gov,009:20,009:034,National Institute for Occupational Safety and Health,This dataset does not have any tags,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/1002-meta.csv,"Physical Effects Research Branch (PERB), National Institute for Occupational Safety and Health (NIOSH) Health Effects Laboratory Division (HELD)",sa-cin-webteam@cdc.gov,009:20,009:034,National Institute for Occupational Safety and Health,This dataset does not have any tags,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/1003-meta.csv,"Respiratory Health Division, Surveillance Branch",sa-cin-webteam@cdc.gov,009:20,009:034,National Institute for Occupational Safety and Health,This dataset does not have any tags,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/1004-meta.csv,"Division of Field Studies and Evaluation, Hazard Evaluation and Technical Assistance Branch",HHERequestHelp@cdc.gov,009:20,009:034,National Institute for Occupational Safety and Health,This dataset does not have any tags,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/1998-2022_Serotype_Data_for_Invasive_Pneumococcal_Disease_Cases_by_Age_Group_from_Active_Bacterial_Core_surveillance-meta.csv,Active Bacterial Core Surveillance,abcs@cdc.gov,009:20,009:020,Public Health Surveillance,"active bacterial core surveillance, ipd serotypes, invasive pneumococcal disease serotypes, ipd serotype frequencies, streptococcus pneumoniae serotypes, spn serotypes, abcs, bactfacts",Active Bacterial Core Surveillance,public,"*ABCs IPD Isolates were serotyped by Quellung, PCR, or whole genome sequencing (WGS). **Cases without an isolate available or with mixed serotypes reported are listed on the table as “MISS.” Additionally, non-typeable IPD cases are shown as “NT.” ***Zero cell rows were not included in this dataset. ****Minor changes to previous years' serotype data can occur as additional isolates and serotype data become available. *****Cases were excluded from this dataset if the ABCs site did not perform surveillance in the catchment area for a full calendar year. As a result, cases were excluded from the following sites: TN, 11 counties, Jul-Dec 1999; CO, 5 counties, Jul-Dec 2000; CA, 2 counties (aged <5 years), Oct-Dec 2000.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2013-2014_PHAP_Associates_by_State-meta.csv,CDC INFO,cdcinfo@cdc.gov,009:00,009:020,This dataset has not been categorized,"phap, associate, location, program, host site",NA,NA,NA,The license for this dataset is unspecified,http://www.cdc.gov/phap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2020-2021_Nationwide_Blood_Donor_Seroprevalence_Survey_Combined_Infection_and_Vaccination-Induced_Seroprevalence_Estimates-meta.csv,CDC-INFO,cdcinfo@cdcinquiry.onmicrosoft.com,009:20,009:020,Laboratory Surveillance,"covid, covid-19, covid19, coronavirus, laboratory, prevalence, sars-cov, seroprevalence, serosurveys, ncird-corvd",CDC,public,"Blank fields in the dataset represent insufficient sampling. Therefore, rates could not be calculated.",Public Domain U.S. Government,https://www.cdc.gov/coronavirus/2019-ncov/cases-updates/blood-bank-serosurvey.html,2021-10-01,US,2020-07-01/2021-12-14,monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2020-2021_Nationwide_Blood_Donor_Seroprevalence_Survey_Infection-Induced_Seroprevalence_Estimates-meta.csv,CDC-INFO,cdcinfo@cdcinquiry.onmicrosoft.com,009:20,009:020,Laboratory Surveillance,"covid, covid-19, covid19, coronavirus, laboratory, prevalence, sars-cov, seroprevalence, serosurveys, ncird-corvd",CDC,public,"Blank fields in the dataset represent insufficient sampling. Therefore, rates could not be calculated.",Public Domain U.S. Government,https://www.cdc.gov/coronavirus/2019-ncov/cases-updates/blood-bank-serosurvey.html,2021-10-01,US,2020-07-01/2021-12-14,monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2020_Final_Assisted_Reproductive_Technology_ART_Patient_and_Cycle_Characteristics-meta.csv,ARTINFO,ARTINFO@cdc.gov,009:20,009:020,Assisted Reproductive Technology (ART),"art, assisted reproductive technology, clinic, fertility, infertility, services, success rates",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/art/reports/index.html,7/27/2023,NA,NA,NA,https://chronicdata.cdc.gov/dataset/2020-Final-Assisted-Reproductive-Technology-ART-Pa/knu9-e7pg,https://www.cdc.gov/art/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2020_Final_Assisted_Reproductive_Technology_ART_Services_and_Profiles-meta.csv,ARTINFO,ARTINFO@cdc.gov,009:20,009:020,Assisted Reproductive Technology (ART),"art, assisted reproductive technology, clinic, fertility, infertility, services, success rates",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/art/reports/index.html,7/27/2023,NA,NA,NA,https://chronicdata.cdc.gov/dataset/2020-Final-Assisted-Reproductive-Technology-ART-Se/92ri-yjps,https://www.cdc.gov/art/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2020_Final_Assisted_Reproductive_Technology_ART_Success_Rates-meta.csv,ARTINFO,ARTINFO@cdc.gov,009:20,009:020,Assisted Reproductive Technology (ART),"art, assisted reproductive technology, clinic, fertility, infertility, services, success rates",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/art/reports/index.html,7/27/2023,NA,NA,NA,https://chronicdata.cdc.gov/dataset/2020-Final-Assisted-Reproductive-Technology-ART-Su/3x54-3thk,https://www.cdc.gov/art/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2020_Final_Assisted_Reproductive_Technology_ART_Summary-meta.csv,ARTINFO,cdcinfo@cdc.gov,009:20,009:020,Assisted Reproductive Technology (ART),"assisted reproductive technology, art, clinic, fertility, infertility, services, success rates",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/art/reports/index.html,7/27/2023,NA,NA,NA,https://chronicdata.cdc.gov/dataset/2020-Final-Assisted-Reproductive-Technology-ART-Su/4yy2-qa9v,https://www.cdc.gov/art/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2021_Final_Assisted_Reproductive_Technology_ART_Patient_and_Cycle_Characteristics-meta.csv,ARTINFO,ARTINFO@cdc.gov,009:20,009:020,Assisted Reproductive Technology (ART),"art, fertility, infertility, clinic, success rates, services, assisted reproductive technology",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/art/reports/index.html,2023,NA,NA,NA,https://data.cdc.gov/dataset/2021-Final-Assisted-Reproductive-Technology-ART-Pa/6ryw-hetw,https://www.cdc.gov/art/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
