agency_name,program_name,additional_information_optional,agency_code,program_code,program_code_pod_format
Department of Agriculture,Rural Business Loans,NA,005,005-001,005:001
Department of Agriculture,Rural Business Grants,NA,005,005-002,005:002
Department of Agriculture,Energy Assistance Loan Guarantees and Payments,NA,005,005-003,005:003
Department of Agriculture,Distance Learning Telemedicine and Broadband,NA,005,005-004,005:004
Department of Agriculture,Rural Electrification and Telecommunication Loans,NA,005,005-005,005:005
Department of Agriculture,Rural Water and Waste Loans and Grants,NA,005,005-006,005:006
Department of Agriculture,Single Family Housing,NA,005,005-007,005:007
Department of Agriculture,Multi-Family Housing,NA,005,005-008,005:008
Department of Agriculture,Farm labor Housing,NA,005,005-009,005:009
Department of Agriculture,Rental Assistance,NA,005,005-010,005:010
Department of Agriculture,Community Facilities,NA,005,005-011,005:011
Department of Agriculture,Farm Loans,NA,005,005-012,005:012
Department of Agriculture,"Commodity Programs, Commodity Credit Corporation",NA,005,005-013,005:013
Department of Agriculture,"Conservation Programs, Commodity Credit Corporation",NA,005,005-014,005:014
Department of Agriculture,Grassroots Source Water Protection Program,NA,005,005-015,005:015
Department of Agriculture,Reforestation Pilot Program,NA,005,005-016,005:016
Department of Agriculture,State Mediation Grants,NA,005,005-017,005:017
Department of Agriculture,Dairy Indemnity Payment Program (DIPP),NA,005,005-018,005:018
Department of Agriculture,Emergency Conservation Program,NA,005,005-019,005:019
Department of Agriculture,Emergency Forest Restoration Program,NA,005,005-020,005:020
Department of Agriculture,Noninsured Crop Disaster Assistance Program (NAP),NA,005,005-021,005:021
Department of Agriculture,Federal Crop Insurance Corporation Fund,NA,005,005-022,005:022
Department of Agriculture,Public Law 480 Title I Direct Credit and Food for Progress Program Account,NA,005,005-023,005:023
Department of Agriculture,Food for Peace Title II Grants,NA,005,005-024,005:024
Department of Agriculture,McGovern-Dole International Food for Education and Child Nutrition Program,NA,005,005-025,005:025
Department of Agriculture,Market Development and Food Assistance,NA,005,005-026,005:026
Department of Agriculture,Conservation Operations,NA,005,005-027,005:027
Department of Agriculture,Conservation Easements,NA,005,005-028,005:028
Department of Agriculture,Environmental Quality Incentives Program,NA,005,005-029,005:029
Department of Agriculture,Capital Improvement and Maintenance,NA,005,005-030,005:030
Department of Agriculture,Forest and Rangeland Research,NA,005,005-031,005:031
Department of Agriculture,Forest Service Permanent Appropriations and Trust Funds,NA,005,005-032,005:032
Department of Agriculture,Land Acquisition,NA,005,005-033,005:033
Department of Agriculture,National Forest System,NA,005,005-034,005:034
Department of Agriculture,State and Private Forestry,NA,005,005-035,005:035
Department of Agriculture,Wildland Fire Management,NA,005,005-036,005:036
Department of Agriculture,Research and Education,NA,005,005-037,005:037
Department of Agriculture,Extension,NA,005,005-038,005:038
Department of Agriculture,Integrated Activities,NA,005,005-039,005:039
Department of Agriculture,National Research,NA,005,005-040,005:040
Department of Agriculture,"Economic Research, Market Outlook, and Policy Analysis",NA,005,005-041,005:041
Department of Agriculture,Agricultural Estimates,NA,005,005-042,005:042
Department of Agriculture,Census of Agriculture,NA,005,005-043,005:043
Department of Agriculture,Grain Regulatory Program,NA,005,005-044,005:044
Department of Agriculture,Packers and Stockyards Program,NA,005,005-045,005:045
Department of Agriculture,Inspection and Grading of Farm Products,NA,005,005-046,005:046
Department of Agriculture,Marketing Services,NA,005,005-047,005:047
Department of Agriculture,Payments to States and Possessions,NA,005,005-048,005:048
Department of Agriculture,Perishable Agricultural Commodities Act,NA,005,005-049,005:049
Department of Agriculture,Commodity Purchases,NA,005,005-050,005:050
Department of Agriculture,Safeguarding and Emergency Preparedness/Response,NA,005,005-051,005:051
Department of Agriculture,Safe Trade and International Technical Assistance,NA,005,005-052,005:052
Department of Agriculture,Animal Welfare,NA,005,005-053,005:053
Department of Agriculture,Child Nutrition Programs,NA,005,005-054,005:054
Department of Agriculture,Commodity Assistance Programs,NA,005,005-055,005:055
Department of Agriculture,Supplemental Nutrition Assistance Program,NA,005,005-056,005:056
Department of Agriculture,Center for Nutrition Policy and Promotion,NA,005,005-057,005:057
Department of Agriculture,Food Safety and Inspection,NA,005,005-058,005:058
Department of Agriculture,Management Activities,NA,005,005-059,005:059
Department of Commerce,Management and Policy Coordination,NA,006,006-001,006:001
Department of Commerce,Export Administration,NA,006,006-002,006:002
Department of Commerce,Export Enforcement,NA,006,006-003,006:003
Department of Commerce,Current Surveys and Statistics,NA,006,006-004,006:004
Department of Commerce,Survey of Program Dynamics (mandatory),NA,006,006-005,006:005
Department of Commerce,State Children’s Health Insurance Program (mandatory),NA,006,006-006,006:006
Department of Commerce,Economic Statistics Programs,NA,006,006-007,006:007
Department of Commerce,Demographic Statistics Program,NA,006,006-008,006:008
Department of Commerce,Demographic Surveys Sample Redesign,NA,006,006-009,006:009
Department of Commerce,Geographic Support,NA,006,006-010,006:010
Department of Commerce,Data Processing,NA,006,006-011,006:011
Department of Commerce,Census Working Capital Fund (Centralized Services),NA,006,006-012,006:012
Department of Commerce,Executive Direction,NA,006,006-013,006:013
