Number,Name,Brand,Release_Year,Concentration,Rating_Value,Rating_Count,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,Perfumers,URL
455,Tabac Écarlate,Le Ré Noir,NA,NA,NA,NA,NA,NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/455-tabac-ecarlate
0071,Tidal Pool,CB I Hate Perfume,2004,NA,NA,NA,NA,Bergamot,French lavender,"Musk, Foulness",Harry Frémont,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/0071_Tidal_Pool
0154,Pumpkin Pie,CB I Hate Perfume,1998,NA,NA,NA,"Green, Leathery, Chypre, Animal",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/0154_Pumpkin_Pie
0162,Wet Stone,CB I Hate Perfume,2006,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/0162_Wet_Stone
0171,Chocolate Box,CB I Hate Perfume,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/0171-chocolate-box
0191,My Birthday Cake,CB I Hate Perfume,1975,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/0191-my-birthday-cake
02,Coco.Conut,W.Dressroom,NA,NA,NA,NA,NA,Coconut,"Milk, Tonka bean","Amber, Musk, Vanilla",NA,https://www.parfumo.com/Perfumes/W_Dressroom/02__Coco_Conut
03,Baby Green Tea,W.Dressroom,NA,NA,NA,NA,NA,"Basil, Bergamot, Lemon, Orange","Iris, Jasmine, Lily of the valley, Orchid, Rose","Amber, Musk",NA,https://www.parfumo.com/Perfumes/W_Dressroom/03-baby-green-tea
047,Beautiful Launderette,CB I Hate Perfume,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/Beautiful_Launderette
069,Wet Pavement London,CB I Hate Perfume,NA,NA,NA,NA,NA,"Aquatic notes, Lemon, Tangerine, Charcoal","Amber, Cedarwood, Floral notes, Acridity","Leather, Oakmoss, Patchouli, Tonka bean, Sewer",NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/069_Wet_Pavement_London
09,Gogo Mango,W.Dressroom,NA,NA,NA,NA,NA,"Mango, Orange, Peach","Jasmine, Rose","Balsam, Musk",NA,https://www.parfumo.com/Perfumes/W_Dressroom/09-gogo-mango
1,Green Apple Magnolia Cucumber,Prouvé,NA,NA,NA,NA,NA,"Grapefruit, Green apple, Magnolia","Cucumber, Lily of the valley, Rose, Violet","Amber, Sandalwood",NA,https://www.parfumo.com/Perfumes/prouve/1-green-apple-magnolia-cucumber
10,October Woody,W.Dressroom,NA,NA,NA,NA,NA,"Lavender, Melon, Neroli","Freesia, Lily of the valley, Marine notes, Orchid, Ozonic notes, Violet","Cedarwood, Musk, Sandalwood",NA,https://www.parfumo.com/Perfumes/W_Dressroom/10-october-woody
101,At The Beach 1966,CB I Hate Perfume,NA,NA,7.8,2,NA,"Frankincense, Orange zest, Pimento, Brine","Cypriol, Lavender, Saffron, Spices, Staleness","Amber, Benzoin, Cedarwood, Frankincense, Gaiac wood, Gurjum balsam, Oakmoss, Patchouli",NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/At_The_Beach_1966
102,Winter 1972,CB I Hate Perfume,NA,NA,7.5,2,"Green, Spicy, Earthy, Floral, Sweet",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/102__Winter_1972
103,Memory of Kindness,CB I Hate Perfume,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/Memory_of_Kindness
