artist_name,edition_number,year,artist_nationality,artist_nationality_other,artist_gender,artist_race,artist_ethnicity,book,space_ratio_per_page_total,artist_unique_id,moma_count_to_year,whitney_count_to_year,artist_race_nwi
Aaron Douglas,9,1991,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.3533657745,2,0,0,Non-White
Aaron Douglas,10,1996,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.3739470004,2,0,0,Non-White
Aaron Douglas,11,2001,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.3032593292,2,0,0,Non-White
Aaron Douglas,12,2005,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.3770489311,2,0,0,Non-White
Aaron Douglas,13,2009,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.3984096898,2,0,0,Non-White
Aaron Douglas,14,2013,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.4528685683,2,0,0,Non-White
Aaron Douglas,15,2016,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.4822638008,2,0,0,Non-White
Aaron Douglas,16,2020,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.543737727,2,0,0,Non-White
Adélaïde Labille-Guiard,14,2013,French,French,Female,White,Not Hispanic or Latino origin,Gardner,0.4093045475,4,0,0,White
Adélaïde Labille-Guiard,15,2016,French,French,Female,White,Not Hispanic or Latino origin,Gardner,0.4125560538,4,0,0,White
Adélaïde Labille-Guiard,16,2020,French,French,Female,White,Not Hispanic or Latino origin,Gardner,0.5344869907,4,0,0,White
Adolphe William Bouguereau,5,1970,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.2957539022,6,0,0,White
Adolphe William Bouguereau,6,1975,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.2980450807,6,0,0,White
Adolphe William Bouguereau,7,1980,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.4005417957,6,0,0,White
Adolphe William Bouguereau,8,1986,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.5319994471,6,0,0,White
Adolphe William Bouguereau,9,1991,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.3523114355,6,0,0,White
Adolphe William Bouguereau,10,1996,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.3898229938,6,0,0,White
Adolphe William Bouguereau,11,2001,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.2182185876,6,0,0,White
Adolphe William Bouguereau,12,2005,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.2714168415,6,0,0,White
Adolphe William Bouguereau,13,2009,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.293791318,6,0,0,White
Albert Bierstadt,11,2001,German-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.4561289561,7,2,0,White
Albert Bierstadt,12,2005,German-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.4572575495,7,2,0,White
Albert Bierstadt,13,2009,German-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.3675280847,7,2,0,White
Albert Bierstadt,14,2013,German-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.3738461776,7,2,0,White
Albert Bierstadt,15,2016,German-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.5057677439,7,2,0,White
Albert Bierstadt,16,2020,German-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.4063573883,7,2,0,White
Albert Pinkham Ryder,2,1936,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.3518634513,8,1,0,White
Albert Pinkham Ryder,3,1948,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.4685067233,8,1,0,White
Albert Pinkham Ryder,4,1959,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.3145704282,8,1,0,White
Albert Pinkham Ryder,7,1980,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.4652054602,8,1,0,White
Albert Pinkham Ryder,8,1986,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.4762250328,8,1,0,White
