tconst,title_type,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes
tt0011462,movie,Midsummer Madness,Midsummer Madness,1920,60,Drama,midsummer madness,7.4,19
tt0026714,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1935,133,"Comedy,Fantasy,Romance",a midsummer nights dream,6.8,3931
tt0033864,movie,The Teachers on Summer Vacation,Magistrarna på sommarlov,1941,86,Comedy,the teachers on summer vacation,5.5,78
tt0037325,movie,Summer Storm,Summer Storm,1944,106,"Crime,Drama,Film-Noir",summer storm,6.6,688
tt0038406,movie,Centennial Summer,Centennial Summer,1946,102,"History,Music,Romance",centennial summer,6.1,431
tt0038738,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,1946,150,"Drama,Fantasy",a midsummer nights dream,7.5,10
tt0039354,movie,One Swallow Does Not Make a Summer,En fluga gör ingen sommar,1947,88,Comedy,one swallow does not make a summer,5.8,40
tt0040848,movie,Summer Holiday,Summer Holiday,1948,93,Musical,summer holiday,5.7,668
tt0041507,movie,In the Good Old Summertime,In the Good Old Summertime,1949,102,"Comedy,Musical,Romance",in the good old summertime,7.1,4358
tt0042930,movie,Bountiful Summer,Shchedroe leto,1951,87,"Comedy,Drama,Musical",bountiful summer,5.7,112
tt0043012,movie,Summer Stock,Summer Stock,1950,108,"Musical,Romance",summer stock,7.1,4873
tt0043313,movie,Early Summer,Bakushû,1951,125,"Comedy,Drama,Romance",early summer,8.1,9793
tt0043652,movie,One Summer of Happiness,Hon dansade en sommar,1951,103,"Drama,Romance",one summer of happiness,6.8,900
tt0044060,movie,Summer Interlude,Sommarlek,1951,96,"Drama,Romance",summer interlude,7.5,6724
tt0046345,movie,Summer with Monika,Sommaren med Monika,1953,96,"Drama,Romance",summer with monika,7.5,16352
tt0047173,movie,The Last Summer,Der letzte Sommer,1954,110,"Action,Drama,Romance",the last summer,6.7,39
tt0047289,movie,Summer's Clouds,Nubes de verano,1955,88,"Comedy,Drama",summers clouds,6.2,15
tt0048641,movie,Smiles of a Summer Night,Sommarnattens leende,1955,109,"Comedy,Romance",smiles of a summer night,7.7,14782
tt0048673,movie,Summertime,Summertime,1955,100,"Comedy,Drama,Romance",summertime,7.1,10166
tt0048771,movie,The Summer Wind Blows,Ute blåser sommarvind,1955,90,Drama,the summer wind blows,5,13
tt0049439,movie,"Love, Summer and Music","Liebe, Sommer und Musik",1956,96,"Comedy,Music",love summer and music,5.8,13
tt0049613,movie,No Ordinary Summer,Pervye radosti,1957,103,Drama,no ordinary summer,7.2,27
tt0049632,movie,Passionate Summer,Les possédées,1956,90,Drama,passionate summer,6.5,36
tt0050524,movie,Hot Summer Night,Hot Summer Night,1957,86,"Crime,Drama,Film-Noir",hot summer night,6.1,436
