Entity,Code,Year,Cereal yield (tonnes per hectare),Nitrogen fertilizer use (kilograms per hectare)
Afghanistan,AFG,1961,1.1151,
Afghanistan,AFG,1962,1.079,
Afghanistan,AFG,1963,0.9858,
Afghanistan,AFG,1964,1.0828,
Afghanistan,AFG,1965,1.0989,
Afghanistan,AFG,1966,1.0123,
Afghanistan,AFG,1967,1.2245000000000001,
Afghanistan,AFG,1968,1.2875,
Afghanistan,AFG,1969,1.3104,
Afghanistan,AFG,1970,1.1051,
Afghanistan,AFG,1971,0.9762000000000001,
Afghanistan,AFG,1972,1.0069000000000001,
Afghanistan,AFG,1973,1.2796,
Afghanistan,AFG,1974,1.3019,
Afghanistan,AFG,1975,1.3164,
Afghanistan,AFG,1976,1.3624,
Afghanistan,AFG,1977,1.224,
Afghanistan,AFG,1978,1.2919,
Afghanistan,AFG,1979,1.3237,
Afghanistan,AFG,1980,1.349,
Afghanistan,AFG,1981,1.3383,
Afghanistan,AFG,1982,1.3302,
Afghanistan,AFG,1983,1.3556000000000001,
Afghanistan,AFG,1984,1.3341,
Afghanistan,AFG,1985,1.3317,
Afghanistan,AFG,1986,1.314,
Afghanistan,AFG,1987,1.3598000000000001,
Afghanistan,AFG,1988,1.2857,
Afghanistan,AFG,1989,1.2376,
Afghanistan,AFG,1990,1.2006000000000001,
Afghanistan,AFG,1991,1.1604,
Afghanistan,AFG,1992,1.0978,
Afghanistan,AFG,1993,1.1329,
Afghanistan,AFG,1994,1.1404,
Afghanistan,AFG,1995,1.2145000000000001,
Afghanistan,AFG,1996,1.2044000000000001,
Afghanistan,AFG,1997,1.3488,
Afghanistan,AFG,1998,1.3880000000000001,
Afghanistan,AFG,1999,1.2857,
Afghanistan,AFG,2000,0.8063,
Afghanistan,AFG,2001,1.0067000000000002,
Afghanistan,AFG,2002,1.6698000000000002,3.16
Afghanistan,AFG,2003,1.458,2.58
Afghanistan,AFG,2004,1.3348,2.82
Afghanistan,AFG,2005,1.7904,2.59
Afghanistan,AFG,2006,1.5517,2.59
Afghanistan,AFG,2007,1.9153,2.07
Afghanistan,AFG,2008,1.4554,1.82
Afghanistan,AFG,2009,2.0407,1.79
Afghanistan,AFG,2010,2.0111,1.63
Afghanistan,AFG,2011,1.6599000000000002,2.9
Afghanistan,AFG,2012,2.0296000000000003,2.16
Afghanistan,AFG,2013,2.0485,4.41
Afghanistan,AFG,2014,2.0175,9.34
Afghanistan,AFG,2015,2.1337,2.66
Afghanistan,AFG,2016,1.9819,12.22
Afghanistan,AFG,2017,2.0251,17.8
Afghanistan,AFG,2018,2.1649000000000003,
Africa,,1961,0.8102,
Africa,,1962,0.9107000000000001,
Africa,,1963,0.8993,
Africa,,1964,0.8550000000000001,
Africa,,1965,0.8429000000000001,
Africa,,1966,0.8165,
Africa,,1967,0.9603,
Africa,,1968,0.9158000000000001,
Africa,,1969,0.8752000000000001,
Africa,,1970,0.9075000000000001,
Africa,,1971,0.9857,
Africa,,1972,1.0064,
Africa,,1973,0.8695,
Africa,,1974,1.0774000000000001,
Africa,,1975,1.0809,
Africa,,1976,1.0383,
Africa,,1977,1.0325,
Africa,,1978,1.0922,
Africa,,1979,1.0608,
Africa,,1980,1.1309,
Africa,,1981,1.2414,
Africa,,1982,1.1617,
Africa,,1983,1.0266,
Africa,,1984,0.9961000000000001,
Africa,,1985,1.1414,
Africa,,1986,1.1560000000000001,
Africa,,1987,1.1121,
Africa,,1988,1.2058,
Africa,,1989,1.233,
Africa,,1990,1.181,
Africa,,1991,1.2372,
Africa,,1992,1.0425,
Africa,,1993,1.1895,
Africa,,1994,1.1948,
Africa,,1995,1.1151,
Africa,,1996,1.3237,
Africa,,1997,1.2008,
Africa,,1998,1.2278,
Africa,,1999,1.2713,
Africa,,2000,1.2655,
Africa,,2001,1.2923,
Africa,,2002,1.3144,11.91
Africa,,2003,1.3212000000000002,13.08
Africa,,2004,1.3988,13.18
Africa,,2005,1.3274000000000001,12.81
Africa,,2006,1.4435,11.61
Africa,,2007,1.3576000000000001,11.35
Africa,,2008,1.4556,13.1
Africa,,2009,1.5409000000000002,11.44
Africa,,2010,1.5261,13.95
Africa,,2011,1.4853,13.15
Africa,,2012,1.578,12.28
Africa,,2013,1.5287000000000002,13.32
Africa,,2014,1.5913000000000002,14.32
Africa,,2015,1.6256000000000002,13.28
Africa,,2016,1.4972,14.31
Africa,,2017,1.6039,15.09
Africa,,2018,1.6223,
Albania,ALB,1961,0.8452000000000001,
Albania,ALB,1962,0.9418000000000001,
Albania,ALB,1963,0.9823000000000001,
Albania,ALB,1964,1.0233,
Albania,ALB,1965,1.0373,
Albania,ALB,1966,1.3186,
Albania,ALB,1967,1.4641000000000002,
Albania,ALB,1968,1.5537,
Albania,ALB,1969,1.6398000000000001,
Albania,ALB,1970,1.6461000000000001,
Albania,ALB,1971,1.7536,
Albania,ALB,1972,1.7687000000000002,
Albania,ALB,1973,1.8430000000000002,
Albania,ALB,1974,1.9345,
Albania,ALB,1975,2.0289,
Albania,ALB,1976,2.4451,
Albania,ALB,1977,2.5501,
Albania,ALB,1978,2.6202,
Albania,ALB,1979,2.6348000000000003,
Albania,ALB,1980,2.3640000000000003,
Albania,ALB,1981,2.5006,
Albania,ALB,1982,2.7152000000000003,
Albania,ALB,1983,3.0460000000000003,
Albania,ALB,1984,2.9663,
Albania,ALB,1985,2.9006000000000003,
Albania,ALB,1986,2.9903,
Albania,ALB,1987,2.9656000000000002,
Albania,ALB,1988,2.875,
Albania,ALB,1989,2.9617,
Albania,ALB,1990,2.7944,
Albania,ALB,1991,2.0719000000000003,
Albania,ALB,1992,2.1586000000000003,
Albania,ALB,1993,2.685,
Albania,ALB,1994,2.4609,
Albania,ALB,1995,2.8415,
Albania,ALB,1996,2.4509000000000003,
Albania,ALB,1997,2.8333,
Albania,ALB,1998,2.8721,
Albania,ALB,1999,2.7981000000000003,
Albania,ALB,2000,3.1751,
Albania,ALB,2001,3.0308,
Albania,ALB,2002,3.2919,54.67
Albania,ALB,2003,3.1857,53.47
Albania,ALB,2004,3.4663000000000004,51.67
Albania,ALB,2005,3.4621,56.47
Albania,ALB,2006,3.6026000000000002,43.03
Albania,ALB,2007,3.7284,45.11
Albania,ALB,2008,4.0812,41.24
Albania,ALB,2009,4.315300000000001,48.76
Albania,ALB,2010,4.7618,44.96
Albania,ALB,2011,4.7507,53.01
Albania,ALB,2012,4.8838,50.21
Albania,ALB,2013,4.949800000000001,44.11
Albania,ALB,2014,4.8926,44.13
Albania,ALB,2015,4.8738,52.87
Albania,ALB,2016,4.7164,60.98
Albania,ALB,2017,4.813000000000001,56.7
Albania,ALB,2018,4.8405000000000005,
Algeria,DZA,1961,0.3462,
Algeria,DZA,1962,0.8140000000000001,
Algeria,DZA,1963,0.8038000000000001,
Algeria,DZA,1964,0.5302,
Algeria,DZA,1965,0.6063000000000001,
Algeria,DZA,1966,0.40390000000000004,
Algeria,DZA,1967,0.6314000000000001,
Algeria,DZA,1968,0.7052,
Algeria,DZA,1969,0.6149,
Algeria,DZA,1970,0.6375000000000001,
Algeria,DZA,1971,0.5878,
