ID,title,artist,year,gender,points,n,n1,n2,n3,n4,n5
1,Juicy,The Notorious B.I.G.,1994,male,140,18,9,3,3,1,2
2,Fight The Power,Public Enemy,1989,male,100,11,7,3,1,0,0
3,Shook Ones (Part II),Mobb Deep,1995,male,94,13,4,5,1,1,2
4,The Message,Grandmaster Flash & The Furious Five,1982,male,90,14,5,3,1,0,5
5,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,1992,male,84,14,2,4,2,4,2
6,C.R.E.A.M.,Wu-Tang Clan,1993,male,62,10,3,1,1,4,1
7,93 ’Til Infinity,Souls of Mischief,1993,male,50,7,2,2,2,0,1
8,Passin’ Me By,The Pharcyde,1992,male,48,6,3,2,0,0,1
9,N.Y. State Of Mind,Nas,1994,male,46,7,1,3,1,1,1
10,Dear Mama,2Pac,1995,male,42,6,2,1,1,2,0
11,Runaway,Kanye West ft. Pusha T,2010,male,38,5,2,0,3,0,0
12,Paid In Full,Eric B & Rakim,1987,male,36,5,1,1,3,0,0
13,Rapper’s Delight,Sugarhill Gang,1979,male,36,4,2,2,0,0,0
14,They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,1992,male,34,6,1,0,2,3,0
15,Fuck Tha Police,NWA,1988,male,32,5,1,1,2,0,1
16,Electric Relaxation,A Tribe Called Quest,1993,male,32,5,0,3,1,0,1
17,B.O.B.,OutKast,2000,male,32,4,2,1,0,1,0
18,It Was A Good Day,Ice Cube,1992,male,30,5,2,0,1,0,2
19,U.N.I.T.Y.,Queen Latifah,1993,female,30,5,1,1,1,1,1
20,Doo Wop (That Thing),Lauryn Hill,1998,female,28,5,1,1,1,0,2
21,Lose Yourself,Eminem,2002,male,28,5,1,1,0,2,1
22,International Players Anthem,UGK ft. OutKast,2007,male,28,4,1,1,1,1,0
23,Rosa Parks,OutKast,1998,male,26,4,0,2,1,1,0
24,Jesus Walks,Kanye West,2004,male,24,6,0,0,2,2,2
25,Alright,Kendrick Lamar,2015,male,22,5,0,1,1,1,2
26,Grindin’,Clipse,2002,male,22,4,1,0,1,1,1
27,Rebel Without A Pause,Public Enemy,1988,male,22,4,1,0,1,1,1
28,Ready Or Not,The Fugees,1996,mixed,22,4,0,0,3,1,0
29,Protect Ya Neck,Wu-Tang Clan,1992,male,22,3,2,0,0,0,1
30,Life’s A Bitch,Nas ft. A.Z.,1994,male,20,3,0,2,0,1,0
31,Triumph,Wu-Tang Clan,1997,male,18,3,1,0,0,2,0
32,Changes,2Pac ft. Talent,1998,male,18,3,0,2,0,0,1
33,Exhibit C,Jay Electronica,2009,male,18,2,1,1,0,0,0
34,Hit ’Em Up,2Pac,1996,male,18,2,1,1,0,0,0
35,Planet Rock,Afrika Bambaataa & The Soulsonic Force,1982,male,18,2,1,1,0,0,0
36,Sucker MCs,Run DMC,1984,male,18,2,1,1,0,0,0
37,Walk This Way,Run DMC,1986,male,18,2,1,1,0,0,0
38,Lost Ones,Lauryn Hill,1998,female,16,3,0,1,1,0,1
39,Work It,Missy Elliott,2002,female,16,3,0,0,2,1,0
40,California Love,2Pac ft. Dr Dre,1996,male,16,2,1,0,1,0,0
41,Hip Hop,Dead Prez,2000,male,16,2,1,0,1,0,0
42,I Am I Be,De La Soul,1993,male,16,2,1,0,1,0,0
43,All Of The Lights,Kanye West ft. Rihanna & Kid Cudi,2010,mixed,16,2,0,2,0,0,0
44,Blood On The Leaves,Kanye West,2013,male,14,2,1,0,0,1,0
45,If I Ruled The World (Imagine That),Nas ft. Lauryn Hill,1996,mixed,14,2,1,0,0,1,0
46,In Da Club,50 Cent,2003,male,14,2,1,0,0,1,0
47,Party Up (Up In Here),DMX,1999,male,14,2,1,0,0,1,0
48,The Rain (Supa Dupa Fly),Missy Elliott,1997,female,14,2,1,0,0,1,0
49,Codeine Crazy,Future,2014,male,14,2,0,1,1,0,0
50,Country Grammar,Nelly,2000,male,14,2,0,1,1,0,0
51,Hard Knock Life,JAY-Z,1998,male,14,2,0,1,1,0,0
52,The What,The Notorious B.I.G. ft. Method Man,1994,male,14,2,0,1,1,0,0
53,A Milli,Lil Wayne,2008,male,12,3,0,0,0,3,0
54,m.A.A.d. city,Kendrick Lamar,2012,male,12,2,1,0,0,0,1
55,Mind Playing Tricks On Me,Geto Boys,1991,male,12,2,1,0,0,0,1
56,Black Steel In The Hour Of Chaos,Public Enemy,1988,male,12,2,0,1,0,1,0
57,Excursions,A Tribe Called Quest,1991,male,12,2,0,1,0,1,0
58,Stan,Eminem ft. Dido,2000,mixed,12,2,0,1,0,1,0
59,Still D.R.E.,Dr Dre ft. Snoop Dogg,1999,male,12,2,0,0,2,0,0
60,Elevators (Me & You),OutKast,1996,male,10,3,0,0,1,0,2
61,Get Ur Freak On,Missy Elliott,2001,female,10,3,0,0,1,0,2
62,Ms Jackson,OutKast,2000,male,10,3,0,0,0,2,1
63,One Mic,Nas,2001,male,10,2,0,1,0,0,1
64,Bodak Yellow,Cardi B,2017,female,10,2,0,0,1,1,0
65,Hypnotize,The Notorious B.I.G.,1997,male,10,2,0,0,1,1,0
66,I Got 5 On It,Luniz,1995,male,10,2,0,0,1,1,0
67,SpottieOttieDopaliscious,Outkast,1998,male,10,2,0,0,1,1,0
68,Wu-Tang Clan Ain’t Nuthing Ta Fuck Wit,Wu-Tang Clan,1993,male,10,2,0,0,1,1,0
69,Aiiight Chill,Gang Starr,1994,male,10,1,1,0,0,0,0
70,All Of The Lights,Kanye West ft. Rihanna & Kid Cudi,2010,male,10,1,1,0,0,0,0
71,As The Rhyme Goes On,Eric B & Rakim,1987,male,10,1,1,0,0,0,0
72,Bling Bling,B.G.,1999,male,10,1,1,0,0,0,0
73,Brenda’s Got A Baby,2Pac,1991,male,10,1,1,0,0,0,0
74,D’Evils,JAY-Z,1996,male,10,1,1,0,0,0,0
75,Don’t Sweat The Technique,Eric B & Rakim,1992,male,10,1,1,0,0,0,0
76,Double Trouble At The Amphitheatre,Double Trouble,1983,male,10,1,1,0,0,0,0
77,Follow The Leader,Eric B & Rakim,1988,male,10,1,1,0,0,0,0
78,Guess Who’s Back,Rakim,1997,male,10,1,1,0,0,0,0
79,How To Rap About Africa,Black Vulcanite,2016,male,10,1,1,0,0,0,0
80,I Love The Dough,The Notorious B.I.G. ft. JAY-Z & Angela Winbush,1997,mixed,10,1,1,0,0,0,0
81,I Really Mean It,The Diplomats,2003,male,10,1,1,0,0,0,0
82,Kick Push,Lupe Fiasco,2006,male,10,1,1,0,0,0,0
83,Lose Control,Missy Elliot ft. Ciara and Fatman Scoop,2005,mixed,10,1,1,0,0,0,0
84,Memory Lane (Sittin’ in da Park),Nas,1994,male,10,1,1,0,0,0,0
85,Moment Of Truth,Gang Starr,1998,male,10,1,1,0,0,0,0
86,Mural,Lupe Fiasco,2015,male,10,1,1,0,0,0,0
87,Nature of the Threat,Ras Kass,1996,male,10,1,1,0,0,0,0
88,Never Change,JAY-Z,2001,male,10,1,1,0,0,0,0
89,Nutmeg,Ghostface Killah,2000,male,10,1,1,0,0,0,0
90,One Love,Nas,1994,male,10,1,1,0,0,0,0
91,Players,Slum Village,1997,male,10,1,1,0,0,0,0
92,Sideways,E-40 feat B-Legit & Mac Shon,1995,male,10,1,1,0,0,0,0
93,Straight Outta Compton (Extended Mix),NWA,1989,male,10,1,1,0,0,0,0
94,Terminator X To The Edge of Panic,Public Enemy,1998,male,10,1,1,0,0,0,0
95,That’s Not Me,Skepta ft. Jme,2014,male,10,1,1,0,0,0,0
96,They Want EFX,Das EFX,1992,male,10,1,1,0,0,0,0
97,Things Done Changed,The Notorious B.I.G.,1994,male,10,1,1,0,0,0,0
98,Top Billin’,Audio Two,1987,male,10,1,1,0,0,0,0
99,Umoya,Skwatta Kamp,2003,male,10,1,1,0,0,0,0
100,We Got It For Cheap (Intro),Clipse,2006,male,10,1,1,0,0,0,0
101,White Lines,Grandmaster Melle Mel,1983,male,10,1,1,0,0,0,0
102,Wot Do U Call It?,Wiley,2004,male,10,1,1,0,0,0,0
103,Bring Da Ruckus,Wu-Tang Clan,1993,male,8,2,0,0,1,0,1
104,Can’t Tell Me Nothing,Kanye West,2007,male,8,2,0,0,1,0,1
105,Monster,Kanye West,2010,male,8,2,0,0,1,0,1
106,Real,Lupe Fiasco,2006,male,8,2,0,0,1,0,1
107,Straight Outta Compton,NWA,1988,male,8,2,0,0,0,2,0
108,22 Two’s,JAY-Z,1996,male,8,1,0,1,0,0,0
109,4th Chamber,Gza ft. Ghostface Killah & Killah Priest & RZA,1995,male,8,1,0,1,0,0,0
110,Above The Clouds,Gang Starr ft. Inspectah Deck,1998,male,8,1,0,1,0,0,0
111,Ain’t No N*gga,JAY-Z ft. Foxy Brown,1996,mixed,8,1,0,1,0,0,0
112,Ain’t No Thang,Outkast,1994,male,8,1,0,1,0,0,0
113,Backseat Freestyle,Kendrick Lamar,2012,male,8,1,0,1,0,0,0
114,Black Cop,KRS-One,1993,male,8,1,0,1,0,0,0
115,Cannon,Lil Wayne,2006,male,8,1,0,1,0,0,0
116,Cherchez La Ghost,Ghostface Killah ft. Madam Majestic & U-God,2000,mixed,8,1,0,1,0,0,0
117,Da Rockwilder,Method Man and Redman,1999,male,8,1,0,1,0,0,0
118,Day 'N' Nite,Kid Cudi,2008,male,8,1,0,1,0,0,0
119,Dirt Off Your Shoulder,JAY-Z,2003,male,8,1,0,1,0,0,0
120,Flava,Rich Gang,2014,male,8,1,0,1,0,0,0
121,Flava In Ya Ear (Remix),Craig Mack,1994,male,8,1,0,1,0,0,0
122,Freaky Tales,Too $hort,1987,male,8,1,0,1,0,0,0
123,Fuck You,The LOX,2000,male,8,1,0,1,0,0,0
124,Ghetto Manifesto,The Coup,2001,male,8,1,0,1,0,0,0
125,God’s Eye,Stogie T,2018,male,8,1,0,1,0,0,0
126,Hip Hop,Mos Def,1999,male,8,1,0,1,0,0,0
127,How We Roll,Canibus,1998,male,8,1,0,1,0,0,0
128,Humble,Kendrick Lamar,2017,male,8,1,0,1,0,0,0
129,I Heard,Young Fathers,2013,male,8,1,0,1,0,0,0
130,I’ll Be Missing You,Puff Daddy ft. Faith Evans and 112,1997,mixed,8,1,0,1,0,0,0
131,Je Danse Le Mia,IAM,1994,male,8,1,0,1,0,0,0
132,Jonylah Forever,Lupe Fiasco,2013,male,8,1,0,1,0,0,0
133,Last Dayz,Onyx,1995,male,8,1,0,1,0,0,0
134,Liberation,OutKast,1998,male,8,1,0,1,0,0,0
135,Lucifer,JAY-Z,2003,male,8,1,0,1,0,0,0
136,Marcy Me,JAY-Z,2017,male,8,1,0,1,0,0,0
137,Murder,UGK,1996,male,8,1,0,1,0,0,0
138,New World Water,Yasiin Bey (Mos Def),1999,male,8,1,0,1,0,0,0
139,Scenario,A Tribe Called Quest,1991,male,8,1,0,1,0,0,0
140,Self Destruction,Stop The Violence Movement,1989,mixed,8,1,0,1,0,0,0
141,Slippin',DMX,1998,male,8,1,0,1,0,0,0
142,So Many Tears,2Pac,1995,male,8,1,0,1,0,0,0
143,Soweto,ProKid,2005,male,8,1,0,1,0,0,0
144,Super Bass,Nicki Minaj,2011,female,8,1,0,1,0,0,0
145,Takkies,YoungstaCPT,2016,male,8,1,0,1,0,0,0
146,The Black God,SpaceGhostPurrp,2012,male,8,1,0,1,0,0,0
147,The Bridge Is Over,BDP,1987,male,8,1,0,1,0,0,0
