season_title,episode_num,episode_title,air_date,IMDB_rating,total_votes,desc
Mighty Morphin (Season 1),0,The Lost Episode,5/22/1999,6.7,113,Original version of the premiere episode.
Mighty Morphin (Season 1),1,Day of the Dumpster,8/28/1993,7.4,687,"Following the accidental release of long-imprisoned evil space-sorceress Rita Repulsa, a benevolent sage known as Zordon drafts a group of five teenagers to help protect the planet as Dino-powered warriors of goodness."
Mighty Morphin (Season 1),2,High Five,9/4/1993,6.9,564,"Rita plans to trap the Rangers in a time trap like the one she trapped Zordon in and to do this she sends a fresh monster to the amusement park. Will the Power Rangers be able to defeat Bones, and will one of the Rangers overcome her fear of heights when a friend is in danger?"
Mighty Morphin (Season 1),3,Teamwork,9/8/1993,7.3,546,"Trini and Kimberly set up a petition to clean up pollution and there are plenty of people willing to sign but no one to help speak up against it, not even the other rangers. Rita seizes the opportunity to divide and conquer the rangers. The rangers have their hands full with a monster, Putties, and Goldar especially since none of their weapons have any effect on the monster."
Mighty Morphin (Season 1),4,A Pressing Engagement,9/9/1993,6.9,535,"Jason is trying to break the bench press record set by Bulk, but he keeps getting distracted and is unable to beat the record. First, his coach, the Juice Bar's owner Ernie, loses count. Then Kimberly blows an enormous bubble of bubble gum that draws the crowd's attention away from Jason, but then Zack skateboards and bumps into her by accident, which results in gum splattering on both of their faces and Jason losing his concentration. During a break from his attempt to break the bench press record, Jason admits that being unable to break the record has shaken his ..."
Mighty Morphin (Season 1),5,Different Drum,9/10/1993,6.6,516,Kimberly's deaf friend feels out of place in dance class because she has trouble following the movements since she can't hear the instructions or the music to follow along. Some of the girls in the dance class decide to hang out with her and are hypnotized by the haunting music that Rita's monster uses to lure them away. Kimberly's deaf friend is the only one unaffected and therefore is the only one that can help the girls.
Mighty Morphin (Season 1),6,Food Fight,9/4/1993,7.3,531,"There's a food festival at the juice bar and the rangers are doing their part to help run it to raise money. Everything goes well until Bulk and Skull start a food fight that wastes most of the food. To make things worse, Rita, who is feeling very ill, unleashes a monster with a voracious appetite for just about everything, including the Power Rangers weapons!"
Mighty Morphin (Season 1),7,Big Sisters,9/11/1993,6.4,510,"Kim & Trini get the task of being ""big sisters"" to a mischievous little girl named Maria. Rita kidnaps the bratty child, with intent of using her to open a magic trunk filled with Power Eggs. The Rangers end up facing the Chunky Chicken monster to save the annoying girl. All of this, plus, Billy unveils his specially modified VW Beetle, known as the RADBUG."
Mighty Morphin (Season 1),8,"I, Eye Guy",9/14/1993,7,504,"The rangers' young friend, Willie, has created his best invention yet and enters it into a science fair. Bulk and Skull happen upon the science fair and cause Willie to be disqualified! Disheartened, Willie flees to reflect on things when he's kidnapped by Eye Guy so that the monster can steal his vast intelligence."
Mighty Morphin (Season 1),9,For Whom the Bell Trolls,9/15/1993,6,494,"It's hobby week at Angel Grove High. The Ranger teens have all brought in various items reflective of their personalities. Trini brings in her doll collection, along with her favorite one of all, a blue elf named Mr. Ticklesneezer. Rita ends up stealing him, and turning him into a monster. Ticklesneezer goes around shrinking things and collecting them into bottles. This includes the Megazord, as the Rangers meet their first real defeat, only to have it turn out to all be just a dream of Trini'"
Mighty Morphin (Season 1),10,"Happy Birthday, Zack",9/16/1993,7.5,515,Zack worries that his friends have forgotten today is his birthday while Rita sends him an unwelcome present.
Mighty Morphin (Season 1),11,No Clowning Around,9/17/1993,6.2,505,The gang fights Rita's minions at a carnival in order to save Trini's cousin Sylvia.
Mighty Morphin (Season 1),12,Power Ranger Punks,9/20/1993,7.5,496,"With the Ranger teens distracted, Baboo sneaks to Earth and drugs their lemonade with a magical potion. Billy & Kimberly are the only two to take a sip, but the effects on them are quite odd. They both start acting like punks, picking on kids at the high school, and even scaring Bulk & Skull. The other 3 Rangers have more important issues to deal with, namely Rita's Terror Toad monster. Zordon traps the two out of control teens in the Command Center, and sends Alpha off on a dangerous mission alone to seek the Singing Squash, with which to restore Billy & Kim to ..."
Mighty Morphin (Season 1),13,"Peace, Love, and Woe",9/21/1993,7.5,499,Billy draws on the powers of his friends to rescue the girl of his dreams.
Mighty Morphin (Season 1),14,Foul Play in the Sky,9/22/1993,7.3,482,Kimberly is in trouble when her uncle Steve succumbs to a sleeping potion in the middle of flying an airplane with her on board.
Mighty Morphin (Season 1),15,Dark Warrior,9/28/1993,6.7,484,Billy is inspired by Trini's uncle Howard - a brilliant scientist and expert in martial arts.
Mighty Morphin (Season 1),16,Switching Places,10/4/1993,7.1,479,"Billy shows Kimberly a new machine he made that is supposed to transport people from one spot to another. Curious to see how well it works, they both get inside and end up switching bodies instead! Bulk and Skull show up and get inside later that day, unbeknown st to Billy or Kimberly and they switch bodies too and accidentally break the machine! Now Billy(in Kimberly's body) must fix the machine so that they can be restored."
Mighty Morphin (Season 1),17,Green with Evil: Part I,10/5/1993,8.7,557,"Tommy, a new kid in town with martial arts skills that rival even Jason's, catches Kimberly's eye. Not just her, but Rita Repulsa also sees potential in him. She has her Putties kidnap him, and bring him to the moon. There, Rita places a spell over Tommy, turning him into the evil Green Power Ranger! Using his Dragon Power Coin, Tommy infiltrates the Command Center, gives Alpha 5 a virus, and trashes most of the control consoles. Zordon attempts reasoning with him, but fails, and gets cut off from our dimension. The Green Ranger then fights the other Power Rangers in ..."
Mighty Morphin (Season 1),18,Green with Evil: Part II,10/6/1993,8.7,536,"With the Command Center still incapacitated from the Green Ranger's attack, Billy & Trini attempt to repair it and Alpha 5. Tommy returns to Earth, and acts cold & rude to Kimberly. Soon, after a successfully training run on the beach, Rita gives Tommy the Sword Of Darkness, which acts as a catalyst for keeping him under her evil spell permanently. Our heroes remain at a loss for a plan, but devote as much time into it as they can. Because of that, Jason informs Tommy at school that he'll be unable to work out with him later. Unbeknownst to Jason, the possessed Tommy ..."
Mighty Morphin (Season 1),19,Green with Evil: Part III,10/7/1993,8.6,538,"Jason continues battling Goldar in the Dark Dimension, and eventually, the Green Ranger as well. Luckily, in the nick of time, the Rangers & Alpha are able to lock on to his Communicator and teleport him out of there. But with Zordon still lost and the Command Center still in shambles, the victory is bittersweet, at best. To make things worse, Rita summons Scorpina, a female warrior long buried in a cave, with the ability to transform into a monstrous scorpion when in giant mode."
Mighty Morphin (Season 1),20,Green with Evil: Part IV,10/8/1993,8.8,540,"Goldar grows and attacks Angel Grove, and nearly eats Bulk & Skull. Meanwhile, the search for Zordon heats up, but while the Rangers are out, Green Ranger sneaks back into the Command Center, and attempts to sabotage it again. Alpha's prepared, capturing him in a stasis shield briefly. Rita frees him, and uses her Magic Wand to make him grow! He joins Goldar & Scorpina in fighting the Megazord, as Rita casts a spell to eclipse the sun and cut off its solar power reserves. Though the Power Sword helps add a boost of energy, the Megazord falls to the trio of evil. The ..."
Mighty Morphin (Season 1),21,Green with Evil: Part V,10/9/1993,8.8,545,"Kim confronts the evil Tommy in the Youth Center, but he simply informs her that she and the other Rangers will soon be destroyed. Utilizing his Dragon Dagger's flute mode, the Green Ranger summons forth the ancient Green Dragonzord from Angel Grove bay. It begins to rampage through the city, crushing & blowing up buildings. Zordon's transmission is finally reestablished with this dimension. The Megazord is recovered, and victoriously faces the Dragonzord. The Green Ranger's Sword Of Darkness is destroyed, freeing Tommy from the evil spell. He's disoriented, but ..."
Mighty Morphin (Season 1),22,The Trouble with Shellshock,10/11/1993,7.3,475,Squatt and Baboo create their own Shellshock monster to impress Rita.
Mighty Morphin (Season 1),23,Itsy Bitsy Spider,10/12/1993,7.2,468,Zack must overcome his fear of spiders to face Rita's newest monster.
Mighty Morphin (Season 1),24,The Spit Flower,10/19/1993,7.2,469,Rita and her evil Spit Flower monster set out to ruin Kimberly's design for a float in the world peace parade.
Mighty Morphin (Season 1),25,Gung Ho!,10/25/1993,7.7,478,"Jason and Tommy have entered a team competition but can't work together despite Billy and Zach's best efforts. The duo are even more troubled upon discovering that they have to go up against a couple of ninjas that appear to be professionals. Meanwhile, Finster creates Super-Putties that are nearly invincible. Tommy and Jason are charged with working together to find a weapon that will defeat the putties while the rest of the rangers must fend them off. The duo nearly succeed when they are faced with the guardian of what they seek."
Mighty Morphin (Season 1),26,Life's a Masquerade,10/30/1993,5.9,481,Rita's Frankenstein monster crashes the Power Rangers' costume party.
Mighty Morphin (Season 1),27,Wheel of Misfortune,11/1/1993,5.7,465,Rita turns Kimberly's grandmother's spinning wheel into her dangerous new weapon.
Mighty Morphin (Season 1),28,Island of Illusion: Part I,11/2/1993,6.6,468,Rita traps the Power Rangers on a mysterious island where not all is as it appears.
Mighty Morphin (Season 1),29,Island of Illusion: Part II,11/3/1993,6.7,471,The Rangers must overcome their own fears to escape Rita's Island of Illusion.
Mighty Morphin (Season 1),30,The Rockstar,11/4/1993,6.8,458,Jason and his cousin Jeremy find a map that leads to a powerful ancient mirror.
Mighty Morphin (Season 1),31,Calamity Kimberly,11/5/1993,7,460,"Poor Kimberly is having possibly the worst day of her life as she encounters misfortune after misfortune. Tommy tries to make her feel better and things are looking up, until Rita makes Kimberly's day go from bad to worse and Tommy is injured while trying to save her. The four remaining rangers race against time to rescue Kimberly before she is gone for good."
Mighty Morphin (Season 1),32,A Star Is Born,11/15/1993,6.9,451,"Tommy eagerly auditions for a karate commercial especially when he sees that he's up against a clueless Bulk. Meanwhile, the rest of the rangers are enjoying a day at the beach.....until Scorpina crashes the party and traps them in a cocoon from which they can't seem to escape. To make matters worse, no one can contact Tommy since he took off his communicator!"
Mighty Morphin (Season 1),33,The Yolk's on You!,11/16/1993,6.7,445,Rita tries to convince a monster to do her bidding after Squatt and Baboo eat the monster's eggs.
Mighty Morphin (Season 1),34,The Green Candle: Part I,11/17/1993,8.3,487,"Rita is fed up with way too many battles from the Power Rangers with the aide of the Green Ranger, she devises a plan to take down Tommy for turning against her."
Mighty Morphin (Season 1),35,The Green Candle: Part II,11/18/1993,8.4,485,"The rangers are not sure what to do when they realize that time's running out. Jason volunteers to go to the other dimension to get the candle before it burns out, and Billy manages to find a way. Jason runs into Goldar who stands in his way literally preventing him from getting it. As Jason and Goldar battle for the green candle, a monster attacks the city and the other rangers need Jason's help. Zach goes in after Jason and retrieves him. Jason follows reluctantly and helps the rangers in battle. With time not exactly on their side, things are beginning to look dim ..."
Mighty Morphin (Season 1),36,Birds of a Feather,11/19/1993,6.9,449,Zack teaches a young child to believe in himself while the Rangers battle the vicious Hatchasaurus and Cardiatron.
Mighty Morphin (Season 1),37,Clean-Up Club,11/23/1993,7.2,444,Trini and her friends pitch in to clean up Angel Grove while Rita attempts to cover the world in pollution.
Mighty Morphin (Season 1),38,A Bad Reflection on You,11/27/1993,7.9,458,Rita creates a team of evil duplicates of the Power Rangers to frame them.
Mighty Morphin (Season 1),39,Doomsday: Part I,11/29/1993,7.8,457,Rita unveils her own evil Zord as she brings her entire palace from the Moon to Angel Grove.
Mighty Morphin (Season 1),40,Doomsday: Part II,11/30/1993,7.8,455,"The Power Rangers fight to rescue the citizens of Angel Grove from Rita, Lokar and Cyclopsis."
Mighty Morphin (Season 1),41,Rita's Seed of Evil,2/7/1994,6.5,444,"While the Rangers plant trees in the park, Squatt plants an evil seed that grows into the Octoplant."
Mighty Morphin (Season 1),42,A Pig Surprise,2/8/1994,6.3,444,Rita casts a spell on a helpless pig turning him into the Pudgy Pig monster.
Mighty Morphin (Season 1),43,Something Fishy,2/9/1994,6.6,439,Billy must overcome his fear of fish to save his friends from Rita's fishy new monster.
Mighty Morphin (Season 1),44,Lions & Blizzards,2/10/1994,6.9,441,Zack finally gets a date with the girl of his dreams at the same time as Rita turns the Noble Lion Trophy into her latest monster.
