binomial_name,country,continent,group,year_last_seen,threat_AA,threat_BRU,threat_RCD,threat_ISGD,threat_EPM,threat_CC,threat_HID,threat_P,threat_TS,threat_NSM,threat_GE,threat_NA,action_LWP,action_SM,action_LP,action_RM,action_EA,action_NA,red_list_category
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,Extinct in the Wild
Acaena exigua,United States,North America,Flowering Plant,1980-1999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Extinct
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Extinct
Acer hilaense,China,Asia,Flowering Plant,1920-1939,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Extinct in the Wild
Achyranthes atollensis,United States,North America,Flowering Plant,1960-1979,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Adenophorus periens,United States,North America,Ferns and Allies,2000-2020,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Extinct
Adiantum lianxianense,China,Asia,Ferns and Allies,2000-2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Aechmea cymosopaniculata,Venezuela,South America,Flowering Plant,Before 1900,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Extinct
Aeranthes africana,Zimbabwe,Africa,Flowering Plant,2000-2020,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct in the Wild
Aeranthes albidiflora,Madagascar,Africa,Flowering Plant,1940-1959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Aeranthes parkesii,Zimbabwe,Africa,Flowering Plant,1960-1979,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Aeschynomene ruspoliana,Ethiopia,Africa,Flowering Plant,Before 1900,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Aetheolaena hypoleuca,Ecuador,South America,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Aetheolaena ledifolia,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Aetheolaena pichinchensis,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Agave lurida,Mexico,North America,Flowering Plant,2000-2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Agelanthus guineensis,Guinea,Africa,Flowering Plant,1940-1959,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Agelanthus rondensis,Tanzania,Africa,Flowering Plant,1900-1919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Alangium circulare,Malaysia,Asia,Flowering Plant,1960-1979,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Albizia verrucosa,Madagascar,Africa,Flowering Plant,1960-1979,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct in the Wild
Albuca nana,South Africa,Africa,Flowering Plant,1900-1919,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Alnus henryi,Taiwan,Asia,Flowering Plant,1900-1919,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Extinct
Amaranthus brownii,United States,North America,Flowering Plant,1980-1999,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,Extinct
Ammannia alternifolia,Madagascar,Africa,Flowering Plant,1900-1919,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Amorphophallus lewallei,Burundi,Africa,Flowering Plant,1960-1979,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Amsinckia marginata,Ecuador,South America,Flowering Plant,1900-1919,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Andropogon benthamianus,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Angraecopsis dolabriformis,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct
Angraecum astroarche,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct
Angraecum mahavavense,Madagascar,Africa,Flowering Plant,1920-1939,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Angraecum muscicolum,Madagascar,Africa,Flowering Plant,1920-1939,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Angraecum perhumile,Madagascar,Africa,Flowering Plant,1920-1939,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Angraecum potamophilum,Madagascar,Africa,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Angraecum rigidifolium,Madagascar,Africa,Flowering Plant,1920-1939,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Angraecum rubellum,Madagascar,Africa,Flowering Plant,1960-1979,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Angraecum serpens,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Angraecum sterrophyllum,Madagascar,Africa,Flowering Plant,1900-1919,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Anisopappus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Anisophyllea impressinervia,Malaysia,Asia,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Aponogeton dioecus,Madagascar,Africa,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Extinct
Arboa antsingyae,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Extinct
Argocoffeopsis lemblinii,Côte d'Ivoire,Africa,Flowering Plant,1900-1919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Argyroxiphium virescens,United States,North America,Flowering Plant,1980-1999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Artemisia kauaiensis,United States,North America,Flowering Plant,2000-2020,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Aspidostemon inconspicuus,Madagascar,Africa,Flowering Plant,1940-1959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Aster quitensis,Ecuador,South America,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Astragalus nitidiflorus,Spain,Europe,Flowering Plant,1900-1919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Athanasia imbricata,South Africa,Africa,Flowering Plant,Before 1900,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Baccharis fusca,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Basananthe cupricola,Congo,Africa,Flowering Plant,1980-1999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Baudouinia capuronii,Madagascar,Africa,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Begonia cladocarpoides,Madagascar,Africa,Flowering Plant,1900-1919,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Begonia eciliata,Trinidad and Tobago,South America,Flowering Plant,1900-1919,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Begonia eiromischa,Malaysia,Asia,Flowering Plant,Before 1900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Beilschmiedia neoletestui,Gabon,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Beilschmiedia pellegrinii,Gabon,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Beilschmiedia thollonii,Gabon,Africa,Flowering Plant,Before 1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
