binomial_name,country,continent,group,year_last_seen,red_list_category,action_type,action_taken
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Land & Water Protection,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Species Management,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Law & Policy,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Research & Monitoring,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Education & Awareness,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Unknown,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Land & Water Protection,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Species Management,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Law & Policy,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Research & Monitoring,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Education & Awareness,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Unknown,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,Extinct,Land & Water Protection,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,Extinct,Species Management,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,Extinct,Law & Policy,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,Extinct,Research & Monitoring,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,Extinct,Education & Awareness,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,Extinct,Unknown,1
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Species Management,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Unknown,1
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,Extinct,Land & Water Protection,0
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,Extinct,Species Management,0
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,Extinct,Law & Policy,0
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,Extinct,Research & Monitoring,0
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,Extinct,Education & Awareness,0
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,Extinct,Unknown,1
Acer hilaense,China,Asia,Flowering Plant,1920-1939,Extinct in the Wild,Land & Water Protection,0
Acer hilaense,China,Asia,Flowering Plant,1920-1939,Extinct in the Wild,Species Management,1
Acer hilaense,China,Asia,Flowering Plant,1920-1939,Extinct in the Wild,Law & Policy,0
Acer hilaense,China,Asia,Flowering Plant,1920-1939,Extinct in the Wild,Research & Monitoring,0
Acer hilaense,China,Asia,Flowering Plant,1920-1939,Extinct in the Wild,Education & Awareness,0
Acer hilaense,China,Asia,Flowering Plant,1920-1939,Extinct in the Wild,Unknown,0
Achyranthes atollensis,United States,North America,Flowering Plant,1960-1979,Extinct,Land & Water Protection,0
Achyranthes atollensis,United States,North America,Flowering Plant,1960-1979,Extinct,Species Management,0
Achyranthes atollensis,United States,North America,Flowering Plant,1960-1979,Extinct,Law & Policy,0
Achyranthes atollensis,United States,North America,Flowering Plant,1960-1979,Extinct,Research & Monitoring,0
Achyranthes atollensis,United States,North America,Flowering Plant,1960-1979,Extinct,Education & Awareness,0
Achyranthes atollensis,United States,North America,Flowering Plant,1960-1979,Extinct,Unknown,1
