binomial_name,country,continent,group,year_last_seen,red_list_category,threat_type,threatened
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Agriculture & Aquaculture,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Biological Resource Use,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Commercial Development,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Invasive Species,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Energy Production & Mining,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Climate Change,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Human Intrusions,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Pollution,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Transportation Corridor,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Natural System Modifications,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Geological Events,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Unknown,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Biological Resource Use,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Commercial Development,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Energy Production & Mining,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Climate Change,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Human Intrusions,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Pollution,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Transportation Corridor,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Natural System Modifications,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Geological Events,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Unknown,0
