story_number,writer
157,Russell T Davies
158,Russell T Davies
159,Mark Gatiss
160a,Russell T Davies
160b,Russell T Davies
161,Robert Shearman
162,Russell T Davies
163,Paul Cornell
164a,Steven Moffat
164b,Steven Moffat
165,Russell T Davies
166a,Russell T Davies
166b,Russell T Davies
167,Russell T Davies
168,Russell T Davies
169,Russell T Davies
170,Toby Whithouse
171,Steven Moffat
172a,Tom MacRae
172b,Tom MacRae
173,Mark Gatiss
174a,Matt Jones
174b,Matt Jones
175,Russell T Davies
176,Matthew Graham
177a,Russell T Davies
177b,Russell T Davies
178,Russell T Davies
179,Russell T Davies
180,Gareth Roberts
181,Russell T Davies
182a,Helen Raynor
182b,Helen Raynor
183,Stephen Greenhorn
184,Chris Chibnall
185a,Paul Cornell
185b,Paul Cornell
186,Steven Moffat
187a,Russell T Davies
187b,Russell T Davies
187c,Russell T Davies
188,Russell T Davies
189,Russell T Davies
190,James Moran
191,Keith Temple
192a,Helen Raynor
192b,Helen Raynor
193,Stephen Greenhorn
194,Gareth Roberts
195a,Steven Moffat
195b,Steven Moffat
196,Russell T Davies
197,Russell T Davies
198a,Russell T Davies
198b,Russell T Davies
199,Russell T Davies
200,Russell T Davies
200,Gareth Roberts
201,Russell T Davies
201,Phil Ford
202a,Russell T Davies
202b,Russell T Davies
203,Steven Moffat
204,Steven Moffat
205,Mark Gatiss
206a,Steven Moffat
206b,Steven Moffat
207,Toby Whithouse
208,Simon Nye
209a,Chris Chibnall
209b,Chris Chibnall
210,Richard Curtis
211,Gareth Roberts
212a,Steven Moffat
212b,Steven Moffat
213,Steven Moffat
214a,Steven Moffat
214b,Steven Moffat
215,Stephen Thompson
216,Neil Gaiman
217a,Matthew Graham
217b,Matthew Graham
218,Steven Moffat
219,Steven Moffat
220,Mark Gatiss
221,Tom MacRae
222,Toby Whithouse
223,Gareth Roberts
224,Steven Moffat
225,Steven Moffat
226,Steven Moffat
227,Chris Chibnall
228,Toby Whithouse
229,Chris Chibnall
230,Steven Moffat
231,Steven Moffat
232,Steven Moffat
233,Neil Cross
234,Mark Gatiss
235,Neil Cross
236,Stephen Thompson
237,Mark Gatiss
238,Neil Gaiman
239,Steven Moffat
240,Steven Moffat
241,Steven Moffat
242,Steven Moffat
243,Phil Ford and Steven Moffat
244,Mark Gatiss
245,Steven Moffat
246,Stephen Thompson and Steven Moffat
247,Gareth Roberts and Steven Moffat
248,Peter Harness
249,Jamie Mathieson
250,Jamie Mathieson
251,Frank Cottrell-Boyce
252a,Steven Moffat
252b,Steven Moffat
253,Steven Moffat
254a,Steven Moffat
254b,Steven Moffat
255a,Toby Whithouse
255b,Toby Whithouse
256,Jamie Mathieson
256,Steven Moffat
257,Catherine Tregenna
258a,Peter Harness
258b,Peter Harness
258b,Steven Moffat
259,Mark Gatiss
260,Sarah Dollard
261,Steven Moffat
262,Steven Moffat
263,Steven Moffat
264,Steven Moffat
265,Steven Moffat
266,Frank Cottrell-Boyce
267,Sarah Dollard
268,Mike Bartlett
269,Jamie Mathieson
270,Steven Moffat
271,Peter Harness
271,Steven Moffat
272,Toby Whithouse
273,Mark Gatiss
274,Rona Munro
275a,Steven Moffat
275b,Steven Moffat
276,Steven Moffat
277,Chris Chibnall
278,Chris Chibnall
279,Malorie Blackman
279,Chris Chibnall
280,Chris Chibnall
281,Chris Chibnall
282,Vinay Patel
283,Pete McTighe
284,Joy Wilkinson
285,Ed Hime
286,Chris Chibnall
287,Chris Chibnall
288a,Chris Chibnall
288b,Chris Chibnall
289,Ed Hime
290,Nina Metivier
291,Vinay Patel
291,Chris Chibnall
292,Pete McTighe
292,Chris Chibnall
293,Charlene James
293,Chris Chibnall
294,Maxine Alderton
295a,Chris Chibnall
295b,Chris Chibnall
296,Chris Chibnall
297a,Chris Chibnall
297b,Chris Chibnall
297c,Chris Chibnall
297d,Chris Chibnall
297d,Maxine Alderton
297e,Chris Chibnall
297f,Chris Chibnall
298,Chris Chibnall
299,Ella Road
299,Chris Chibnall
300,Chris Chibnall
