date,year,wreck_name,wreck_no,classification,description,descriptive_date,place_of_loss,latitude,longitude,source_of_co_ordinate
1894-12-28,1894,Actur,W00001,Schooner,"Schooner of Dublin, stranded en route to Cunninghamâs of Millboy. Crew and cargo of potatoes saved. Possibly refloated or salvaged later.",28/12/1894,"Carlingford Bar to Greencastle pier, Carlingford Lough",NA,NA,NA
1862-01-22,1862,Anne McLeod,W00007,Schooner,"71-ton, 6-year-old schooner. Captain was Darby.En route from Dundalk to Liverpool with cargo of Indian corn. Foundered during a SW force 9 gale on 22 January 1862, total loss. The boat of the Anne MâLeod washed ashore in Co. Down. A trunk which washed up on Cooley Point before 29 January 1862 may have come from this vessel.",22/01/1862,"Carlingford, near, Carlingford Lough",NA,NA,NA
1824-02-18,1824,Barbara & Jannette,W00008,Sloop,"Sloop en route from Irvine to Dundalk, struck a rock, sank. Crew drowned.",18/02/1824,"Carlingford Bar, outside, on a rock, Carlingford Lough",NA,NA,NA
1888-10-19,1888,Bee (SS),W00009,Iron Steamship,"88-ton, 18-year-old iron steamship. Owned by âBeeâ SS. Co. Ltd. of Liverpool, master was R. Jones. En route from Runcorn to Newry with six crew and cargo of salt. Sank at Helly Hunter Rock on 19 October 1888. Crew left vessel safely.",19/10/1888,Carlingford Lough entrance/ Helly Hunter Rock,NA,NA,NA
1838-10-23,1838,Bloom,W00010,Schooner,"Schooner valued at Â£600, became a total wreck, crew saved.",23/10/1838,"Carlingford Bar, Carlingford Lough",NA,NA,NA
1886-07-31,1886,Breadalbane,W00011,Brig,"115-ton, 23-year-old wooden brig of Irvine. Owned by A. Goldie, Kilmarnock. Master was G. McDowell. En route from Swansea to Newry, five crew, one passenger, cargo of coal. Stranded, wrecked during a variable force 2 wind at the entrance to Carlingford Lough on 1 August 1886.  The wreck was sold by auction in August 1886. All moveable materials were removed by the purchaser but the wreck was not expected to be refloated.",31/07/1886,"Carlingford Lough, entrance",NA,NA,NA
1824-10-30,1824,Brothers,W00012,Unknown,"Went ashore en route from Dublin to Liverpool, feared vessel would go to pieces. Crew saved.",30/10/1824,"Carlingford Bar, Carlingford Lough",NA,NA,NA
1826-09-16,1826,Brothers,W00013,Unknown,"En route from Bangor to Newry. Master was Rogers. Struck the Barrel Rocks, sank, expected to be refloated. Master drowned and was buried in Holy Trinity graveyard in Carlingford.",16/09/1826,"Barrel rocks, outside Carlingford, Carlingford Lough",NA,NA,NA
1819-01-08,1819,Catherine,W00014,Unknown,"Master was Owen. Driven ashore en route from Drogheda to Liverpool, expected to be lost. Cargo expected to be saved.",08/01/1819,"Belragan Point (sic. Ballagan), Carlingford Lough",NA,NA,NA
1875-08-23,1875,Cedar,W00015,Lugger,"20-ton, 8-year-old wooden fishing lugger of Campbeltown. Owned by W. McMullen of Campbeltown, master was D. Mure. Fishing in ballast, eight crew on board. Collided with the Neddy of Arklow during a SSW force 4 wind. Totally wrecked. Crew saved by the Neddy.",23/08/1875,Carlingford Lough,NA,NA,NA
