year,n_tree,europe_temp_index
2000,1.1,0.85
1999,0.39,0.79
1998,1.13,0.72
1997,0.97,0.87
1996,1.07,0.19
1995,0.6,0.49
1994,1.84,1.32
1993,0.53,0.32
1992,0.36,0.54
1991,0.79,0.69
1990,0.87,0.55
1989,1.06,0.43
1988,1.08,0.5
1987,-0.36,-0.26
1986,1.1,0.42
1985,0.49,0.03
1984,0.44,-0.45
1983,0.61,0.47
1982,0.63,0.31
1981,-0.06,-0.19
1980,0.87,0.02
1979,0.49,-0.1
1978,0.55,-0.54
1977,0.32,-0.52
1976,0.21,0.09
1975,-1.11,-0.39
1974,0.02,-0.18
1973,-0.08,0.1
1972,0.3,-0.01
1971,0.24,0.05
1970,0.64,0.47
1969,1.33,0.37
1968,-0.47,-0.24
1967,0.01,0.12
1966,-0.62,-0.24
1965,-0.29,-0.8
1964,0.2,-0.02
1963,0.03,-0.18
1962,-0.55,-0.33
1961,-0.21,-0.11
1960,-0.03,0.29
1959,0.05,0.69
1958,-0.23,0.15
1957,-0.17,-0.09
1956,0.13,-0.35
1955,0.54,0.17
1954,0.17,0.07
1953,0.78,0.62
1952,0.13,0.64
1951,0.39,0.53
1950,0.46,1.03
1949,-0.79,0.24
1948,-0.54,-0.1
1947,0.5,1.16
1946,0.15,0.55
1945,0.18,0.6
1944,-0.41,0.28
1943,0.24,0.51
1942,0.32,0.15
1941,-0.64,0.08
1940,0.38,-0.08
1939,1.01,0.36
1938,1.09,0.48
1937,1.64,0.86
1936,-0.09,0.05
1935,0,0.19
1934,-0.17,0.51
1933,0.19,0.21
1932,-0.43,0.08
1931,-0.33,-0.12
1930,0.44,0.71
1929,-0.45,0.11
1928,-0.24,0.15
1927,0.49,0.2
1926,0.07,-0.13
1925,0.31,0.15
1924,0.42,0.05
1923,-0.64,-0.67
1922,0.47,0.06
1921,-0.03,0.23
1920,-0.43,-0.16
1919,-0.85,-0.38
1918,-0.34,-0.18
1917,-0.48,0.21
1916,-1.39,-0.74
1915,-0.79,-0.47
1914,-1.02,-0.41
1913,-1.72,-0.86
1912,-1.09,-0.51
1911,-0.4,0.1
1910,-0.8,-0.39
1909,-0.78,-0.95
1908,-0.21,-0.02
1907,-0.77,-0.48
1906,-0.91,-0.27
1905,-1.04,-0.25
1904,-1.33,-0.21
1903,-1.47,-0.75
1902,-1.6,-1.05
1901,-0.02,0.4
1900,-0.95,-0.11
1899,-2.01,-0.71
1898,-0.31,-0.19
1897,-0.34,0.25
1896,-0.78,-0.31
1895,-0.22,0.28
1894,-0.53,0.08
1893,-1.36,-0.28
1892,-1.71,-0.56
1891,-1.59,-0.72
1890,-1.02,-0.45
1889,-0.82,-0.01
1888,-1.4,-0.88
1887,-1,-0.18
1886,-0.56,-0.3
1885,-1.65,-0.52
1884,-1.08,-0.32
1883,-0.01,0.18
1882,-0.62,-0.33
1881,-1.56,-0.47
1880,-1.15,-0.49
1879,0,0.12
1878,-0.31,-0.19
1877,-0.89,-0.27
1876,-0.38,0.07
1875,-0.22,0.45
1874,-0.65,-0.08
1873,-0.23,0.35
1872,-0.52,-0.04
1871,-1.33,-0.67
1870,0.08,0.2
1869,-0.99,-0.48
1868,-0.31,0.52
1867,-1.45,-0.45
1866,-0.67,-0.38
1865,-1.27,-0.12
1864,-1.06,-0.56
1863,-0.82,0
1862,-0.84,-0.14
1861,-0.21,0.4
1860,-0.62,-0.49
1859,-1.2,-0.06
1858,-0.55,0.11
1857,-1.29,-0.21
1856,-1.8,-0.69
1855,-1.19,-0.08
1854,-0.33,-0.01
1853,-0.54,-0.05
1852,-0.51,0
1851,-1.6,-0.75
1850,-0.76,-0.25
1849,-1.33,-0.37
1848,-0.91,-0.24
1847,-0.02,-0.08
1846,-0.28,0.52
1845,-0.74,-0.22
1844,-0.45,-0.31
1843,-1.64,-0.82
