year,neem,wdc
705.958,13.64,14.585
705.875,14.4,12.817
705.792,15.78,11.271
705.708,17.42,9.8681
705.625,18.29,8.7793
705.542,18.36,8.5262
705.458,17.83,8.5077
705.375,16.8,9.1211
705.292,15.63,10.294
705.208,15.07,11.818
705.125,15.21,12.678
705.042,16.22,13.653
704.958,16.02,13.717
704.875,14.23,12.887
704.792,12.46,11.284
704.708,11.06,9.9471
704.625,10.61,9.0934
704.542,11.19,8.0845
704.458,11.5,7.9594
704.375,11.67,8.3843
704.292,12.35,9.4849
704.208,13.62,11.12
704.125,14.73,13.514
704.042,14.51,15.313
703.958,14.08,16.213
703.875,12.93,16.235
703.792,11.89,14.291
703.708,11.09,11.84
703.625,10.64,9.8742
703.542,11.06,9.0508
703.458,12.05,8.6457
703.375,13.31,7.8141
703.292,14.93,15.556
703.208,16.15,14.623
703.125,17,13.258
703.042,17.4,11.496
702.958,16.89,9.6132
702.875,15.35,8.6202
702.792,13.8,8.6325
702.708,13.18,9.2305
702.625,13.08,10.835
702.542,13.17,12.803
702.458,13.39,14.591
702.375,13.85,16.652
702.292,14.54,17.388
702.208,15.11,16.316
702.125,15.13,13.909
702.042,14.7,10.88
701.958,13.92,9.1351
701.875,13.15,7.9909
701.792,12.16,7.7199
701.708,11.16,7.8739
701.625,10.28,8.3468
701.542,9.11,9.0129
701.458,8.49,10.763
701.375,8.02,13.879
701.292,7.9,17.256
701.208,7.64,19.978
701.125,7.6,21.323
701.042,7.64,19.809
700.958,7.97,15.914
700.875,8.69,11.941
700.792,10.43,9.9246
700.708,12.81,8.9612
700.625,15.81,9.4744
700.542,18.25,10.101
700.458,19.2,10.516
700.375,18.85,11.036
700.292,18.5,10.974
700.208,18.23,10.909
700.125,17.89,10.634
700.042,17.17,10.452
699.958,15.91,10.856
699.875,15.36,11.582
699.792,14,13.32
699.708,13.06,16.571
699.625,12.33,20.035
699.542,12.45,22.476
699.458,13.08,23.494
699.375,14.45,23.289
699.292,16.61,21.974
699.208,19.19,20.143
699.125,21.68,18.437
699.042,24.02,17.58
698.958,26.15,17.713
698.875,28.68,18.092
698.792,30.11,19.031
698.708,30.42,21.235
698.625,29.99,23.037
698.542,28.26,24.045
698.458,25.62,25.484
698.375,22.52,25.785
698.292,19.81,24.769
698.208,17.87,22.313
698.125,15.9,18.434
698.042,13.97,14.681
697.958,12.27,12.372
697.875,11.74,11.133
697.792,11.65,10.079
697.708,10.83,9.4613
697.625,9.63,9.3853
697.542,9.52,10.241
697.458,10.35,11.216
697.375,11.86,12.199
697.292,12.82,12.751
697.208,12.7,12.776
697.125,11.72,12.127
697.042,10.83,10.61
696.958,10.53,9.151
696.875,10.61,8.1954
696.792,10.71,8.0549
696.708,10.74,8.1067
696.625,10.98,8.4805
696.542,11.79,9.4279
696.458,12.89,10.335
696.375,13.9,11.273
696.292,14.28,11.778
696.208,14.05,11.914
696.125,13.04,10.955
696.042,11.49,9.6985
695.958,10.75,8.8014
695.875,10.93,8.3501
695.792,12.21,8.6414
695.708,14,9.2207
695.625,15.52,10.201
695.542,16.86,11.539
695.458,18.12,12.943
695.375,19.28,14.439
695.292,20.93,15.754
