"","country","confederation","population_share","tv_audience_share","gdp_weighted_share"
"1","United States","CONCACAF",4.5,4.3,11.3
"2","Japan","AFC",1.9,4.9,9.1
"3","China","AFC",19.5,14.8,7.3
"4","Germany","UEFA",1.2,2.9,6.3
"5","Brazil","CONMEBOL",2.8,7.1,5.4
"6","United Kingdom","UEFA",0.9,2.1,4.2
"7","Italy","UEFA",0.9,2.1,4
"8","France","UEFA",0.9,2,4
"9","Russia","UEFA",2.1,3.1,3.5
"10","Spain","UEFA",0.7,1.8,3.1
"11","South Korea","AFC",0.7,1.8,3
"12","Indonesia","AFC",3.5,6.7,2.9
"13","Mexico","CONCACAF",1.7,3.2,2.6
"14","Turkey","UEFA",1.1,2.3,2
"15","Thailand","AFC",1,2.4,1.6
"16","Argentina","CONMEBOL",0.6,1.5,1.6
"17","Netherlands","UEFA",0.2,0.6,1.5
"18","Poland","UEFA",0.6,1.2,1.3
"19","Saudi Arabia","AFC",0.4,0.5,1.2
"20","Taiwan","AFC",0.3,0.5,1
"21","Canada","CONCACAF",0.5,0.5,1
"22","Colombia","CONMEBOL",0.7,1.6,0.9
"23","Venezuela","CONMEBOL",0.4,1,0.9
"24","South Africa","CAF",0.7,1.3,0.8
"25","Malaysia","AFC",0.4,0.7,0.7
"26","Switzerland","UEFA",0.1,0.3,0.7
"27","Nigeria","CAF",2.3,2.6,0.7
"28","Belgium","UEFA",0.2,0.3,0.7
"29","Sweden","UEFA",0.1,0.3,0.7
"30","Vietnam","AFC",1.3,2.6,0.6
"31","Iran","AFC",1.1,0.7,0.6
"32","Chile","CONMEBOL",0.3,0.6,0.6
"33","Romania","UEFA",0.3,0.7,0.6
"34","Austria","UEFA",0.1,0.3,0.6
"35","Singapore","AFC",0.1,0.2,0.6
"36","Australia","AFC",0.3,0.3,0.5
"37","Greece","UEFA",0.2,0.3,0.5
"38","Portugal","UEFA",0.2,0.4,0.5
"39","India","AFC",17.6,2,0.5
"40","Czech Republic","UEFA",0.2,0.3,0.5
"41","Egypt","CAF",1.1,0.8,0.5
"42","Denmark","UEFA",0.1,0.2,0.5
"43","Norway","UEFA",0.1,0.1,0.4
"44","Peru","CONMEBOL",0.4,0.8,0.4
"45","Ukraine","UEFA",0.7,0.9,0.4
"46","Iraq","AFC",0.5,0.5,0.4
