era,season_number,serial_title,story_number,episode_number,episode_title,type,first_aired,production_code,uk_viewers,rating,duration
revived,1,NA,157,1,Rose,episode,2005-03-26,1.1,10.81,76,45
revived,1,NA,158,2,The End of the World,episode,2005-04-02,1.2,7.97,76,44
revived,1,NA,159,3,The Unquiet Dead,episode,2005-04-09,1.3,8.86,80,44
revived,1,NA,160a,4,Aliens of London,episode,2005-04-16,1.4,7.63,82,45
revived,1,NA,160b,5,World War Three,episode,2005-04-23,1.5,7.98,81,42
revived,1,NA,161,6,Dalek,episode,2005-04-30,1.6,8.63,84,45
revived,1,NA,162,7,The Long Game,episode,2005-05-07,1.7,8.01,81,44
revived,1,NA,163,8,Father's Day,episode,2005-05-14,1.8,8.06,83,45
revived,1,NA,164a,9,The Empty Child,episode,2005-05-21,1.9,7.11,84,45
revived,1,NA,164b,10,The Doctor Dances,episode,2005-05-28,1.1,6.86,85,45
revived,1,NA,165,11,Boom Town,episode,2005-06-04,1.11,7.68,82,45
revived,1,NA,166a,12,Bad Wolf,episode,2005-06-11,1.12,6.81,86,45
revived,1,NA,166b,13,The Parting of the Ways,episode,2005-06-18,1.13,6.91,89,45
revived,2,NA,167,NA,The Christmas Invasion,special,2005-12-25,2X,9.84,84,60
revived,2,NA,168,1,New Earth,episode,2006-04-15,2.1,8.62,85,45
revived,2,NA,169,2,Tooth and Claw,episode,2006-04-22,2.2,9.24,83,45
revived,2,NA,170,3,School Reunion,episode,2006-04-29,2.3,8.31,85,45
revived,2,NA,171,4,The Girl in the Fireplace,episode,2006-05-06,2.4,7.9,84,45
revived,2,NA,172a,5,Rise of the Cybermen,episode,2006-05-13,2.5,9.22,86,45
revived,2,NA,172b,6,The Age of Steel,episode,2006-05-20,2.6,7.63,86,45
revived,2,NA,173,7,The Idiot's Lantern,episode,2006-05-27,2.7,6.76,84,45
revived,2,NA,174a,8,The Impossible Planet,episode,2006-06-03,2.8,6.32,85,45
revived,2,NA,174b,9,The Satan Pit,episode,2006-06-10,2.9,6.08,86,45
revived,2,NA,175,10,Love & Monsters,episode,2006-06-17,2.10,6.66,76,45
revived,2,NA,176,11,Fear Her,episode,2006-06-24,2.11,7.14,83,45
revived,2,NA,177a,12,Army of Ghosts,episode,2006-07-01,2.12,8.19,86,45
revived,2,NA,177b,13,Doomsday,episode,2006-07-08,2.13,8.22,89,45
revived,3,NA,178,NA,The Runaway Bride,special,2006-12-25,3X,9.35,84,60
revived,3,NA,179,1,Smith and Jones,episode,2007-03-31,3.1,8.71,88,45
revived,3,NA,180,2,The Shakespeare Code,episode,2007-04-07,3.2,7.23,87,45
revived,3,NA,181,3,Gridlock,episode,2007-04-14,3.3,8.41,85,45
revived,3,NA,182a,4,Daleks in Manhattan,episode,2007-04-21,3.4,6.69,86,45
revived,3,NA,182b,5,Evolution of the Daleks,episode,2007-04-28,3.5,6.97,85,45
revived,3,NA,183,6,The Lazarus Experiment,episode,2007-05-05,3.6,7.19,86,45
revived,3,NA,184,7,42,episode,2007-05-19,3.7,7.41,85,45
revived,3,NA,185a,8,Human Nature,episode,2007-05-26,3.8,7.74,86,45
revived,3,NA,185b,9,The Family of Blood,episode,2007-06-02,3.9,7.21,86,45
revived,3,NA,186,10,Blink,episode,2007-06-09,3.10,6.62,87,45
revived,3,NA,187a,11,Utopia,episode,2007-06-16,3.11,7.84,87,45
revived,3,NA,187b,12,The Sound of Drums,episode,2007-06-23,3.12,7.51,87,45
revived,3,NA,187c,13,Last of the Time Lords,episode,2007-06-30,3.13,8.61,88,52
revived,4,NA,188,NA,Voyage of the Damned,special,2007-12-25,4X,13.31,86,72
revived,4,NA,189,1,Partners in Crime,episode,2008-04-05,4.1,9.14,88,50
revived,4,NA,190,2,The Fires of Pompeii,episode,2008-04-12,4.3,9.04,87,50
revived,4,NA,191,3,Planet of the Ood,episode,2008-04-19,4.2,7.5,87,45
revived,4,NA,192a,4,The Sontaran Stratagem,episode,2008-04-26,4.4,7.06,87,45
revived,4,NA,192b,5,The Poison Sky,episode,2008-05-03,4.5,6.53,88,45
revived,4,NA,193,6,The Doctor's Daughter,episode,2008-05-10,4.6,7.33,88,45
revived,4,NA,194,7,The Unicorn and the Wasp,episode,2008-05-17,4.7,8.41,86,45
revived,4,NA,195a,8,Silence in the Library,episode,2008-05-31,4.9,6.27,89,45
revived,4,NA,195b,9,Forest of the Dead,episode,2008-06-07,4.10,7.84,89,45
revived,4,NA,196,10,Midnight,episode,2008-06-14,4.8,8.05,86,45
revived,4,NA,197,11,Turn Left,episode,2008-06-21,4.11,8.09,88,50
revived,4,NA,198a,12,The Stolen Earth,episode,2008-06-28,4.12,8.78,91,45
revived,4,NA,198b,13,Journey's End,episode,2008-07-05,4.13,10.57,91,63
revived,NA,NA,199,1,The Next Doctor,special,2008-12-25,4.14,13.1,86,60
revived,NA,NA,200,2,Planet of the Dead,special,2009-04-11,4.15,9.75,88,60
revived,NA,NA,201,3,The Waters of Mars,special,2009-11-15,4.16,10.32,88,60
revived,NA,NA,202a,4,The End of Time – Part One,special,2009-12-25,4.17,12.04,87,60
revived,NA,NA,202b,5,The End of Time – Part Two,special,2010-01-01,4.18,12.27,89,75
revived,5,NA,203,1,The Eleventh Hour,episode,2010-04-03,1.1,10.09,86,65
revived,5,NA,204,2,The Beast Below,episode,2010-04-10,1.2,8.42,86,45
revived,5,NA,205,3,Victory of the Daleks,episode,2010-04-17,1.3,8.21,84,45
revived,5,NA,206a,4,The Time of Angels,episode,2010-04-24,1.4,8.59,87,45
revived,5,NA,206b,5,Flesh and Stone,episode,2010-05-01,1.5,8.5,86,45
revived,5,NA,207,6,The Vampires of Venice,episode,2010-05-08,1.6,7.68,86,50
revived,5,NA,208,7,Amy's Choice,episode,2010-05-15,1.7,7.55,84,45
revived,5,NA,209a,8,The Hungry Earth,episode,2010-05-22,1.8,6.49,86,45
revived,5,NA,209b,9,Cold Blood,episode,2010-05-29,1.9,7.49,85,45
revived,5,NA,210,10,Vincent and the Doctor,episode,2010-06-05,1.1,6.76,86,45
revived,5,NA,211,11,The Lodger,episode,2010-06-12,1.11,6.44,87,45
revived,5,NA,212a,12,The Pandorica Opens,episode,2010-06-19,1.12,7.57,88,50
revived,5,NA,212b,13,The Big Bang,episode,2010-06-26,1.13,6.7,89,55
revived,6,NA,213,NA,A Christmas Carol,special,2010-12-25,2.X,12.11,83,60
revived,6,NA,214a,1,The Impossible Astronaut,episode,2011-04-23,2.1,8.86,88,45
revived,6,NA,214b,2,Day of the Moon,episode,2011-04-30,2.2,7.3,87,45
revived,6,NA,215,3,The Curse of the Black Spot,episode,2011-05-07,2.9,7.85,86,45
revived,6,NA,216,4,The Doctor's Wife,episode,2011-05-14,2.3,7.97,87,45
revived,6,NA,217a,5,The Rebel Flesh,episode,2011-05-21,2.5,7.35,85,45
revived,6,NA,217b,6,The Almost People,episode,2011-05-28,2.6,6.72,86,45
revived,6,NA,218,7,A Good Man Goes to War,episode,2011-06-04,2.7,7.51,88,50
revived,6,NA,219,8,Let's Kill Hitler,episode,2011-08-27,2.8,8.1,85,50
revived,6,NA,220,9,Night Terrors,episode,2011-09-03,2.4,7.07,86,45
revived,6,NA,221,10,The Girl Who Waited,episode,2011-09-10,2.10,7.6,85,45
revived,6,NA,222,11,The God Complex,episode,2011-09-17,2.11,6.77,86,50
revived,6,NA,223,12,Closing Time,episode,2011-09-24,2.12,6.93,86,45
revived,6,NA,224,13,The Wedding of River Song,episode,2011-10-01,2.13,7.67,86,45
revived,7,NA,225,NA,"The Doctor, the Widow and the Wardrobe",special,2011-12-25,NA,10.77,84,60
revived,7,NA,226,1,Asylum of the Daleks,episode,2012-09-01,NA,8.33,89,50
revived,7,NA,227,2,Dinosaurs on a Spaceship,episode,2012-09-08,NA,7.57,87,45
revived,7,NA,228,3,A Town Called Mercy,episode,2012-09-15,NA,8.42,85,45
revived,7,NA,229,4,The Power of Three,episode,2012-09-22,NA,7.67,87,41
revived,7,NA,230,5,The Angels Take Manhattan,episode,2012-09-29,NA,7.82,88,45
revived,7,NA,231,NA,The Snowmen,special,2012-12-25,NA,9.87,87,60
revived,7,NA,232,6,The Bells of Saint John,episode,2013-03-30,NA,8.44,87,45
revived,7,NA,233,7,The Rings of Akhaten,episode,2013-04-06,NA,7.45,84,44
revived,7,NA,234,8,Cold War,episode,2013-04-13,NA,7.37,84,45
revived,7,NA,235,9,Hide,episode,2013-04-20,NA,6.61,85,45
revived,7,NA,236,10,Journey to the Centre of the TARDIS,episode,2013-04-27,NA,6.5,85,45
revived,7,NA,237,11,The Crimson Horror,episode,2013-05-04,NA,6.47,85,45
revived,7,NA,238,12,Nightmare in Silver,episode,2013-05-11,NA,6.64,84,45
revived,7,NA,239,13,The Name of the Doctor,episode,2013-05-18,NA,7.45,88,45
revived,NA,NA,240,1,The Day of the Doctor,special,2013-11-23,NA,12.8,88,77
revived,NA,NA,241,2,The Time of the Doctor,special,2013-12-25,NA,11.14,83,60
revived,8,NA,242,1,Deep Breath,episode,2014-08-23,NA,9.17,82,76
revived,8,NA,243,2,Into the Dalek,episode,2014-08-30,NA,7.29,84,45
revived,8,NA,244,3,Robot of Sherwood,episode,2014-09-06,NA,7.28,82,46
revived,8,NA,245,4,Listen,episode,2014-09-13,NA,7.01,82,48
revived,8,NA,246,5,Time Heist,episode,2014-09-20,NA,6.99,84,45
revived,8,NA,247,6,The Caretaker,episode,2014-09-27,NA,6.82,83,45
revived,8,NA,248,7,Kill the Moon,episode,2014-10-04,NA,6.91,82,45
revived,8,NA,249,8,Mummy on the Orient Express,episode,2014-10-11,NA,7.11,85,47
revived,8,NA,250,9,Flatline,episode,2014-10-18,NA,6.71,85,43
revived,8,NA,251,10,In the Forest of the Night,episode,2014-10-25,NA,6.92,83,45
revived,8,NA,252a,11,Dark Water,episode,2014-11-01,NA,7.34,85,46
revived,8,NA,252b,12,Death in Heaven,episode,2014-11-08,NA,7.6,83,57
revived,9,NA,253,NA,Last Christmas,special,2014-12-25,NA,8.28,82,60
revived,9,NA,254a,1,The Magician's Apprentice,episode,2015-09-19,NA,6.54,84,46
revived,9,NA,254b,2,The Witch's Familiar,episode,2015-09-26,NA,5.71,83,48
revived,9,NA,255a,3,Under the Lake,episode,2015-10-03,NA,5.63,84,43
revived,9,NA,255b,4,Before the Flood,episode,2015-10-10,NA,6.05,83,42
revived,9,NA,256,5,The Girl Who Died,episode,2015-10-17,NA,6.56,82,46
revived,9,NA,257,6,The Woman Who Lived,episode,2015-10-24,NA,6.11,81,46
revived,9,NA,258a,7,The Zygon Invasion,episode,2015-10-31,NA,5.76,82,46
revived,9,NA,258b,8,The Zygon Inversion,episode,2015-11-07,NA,6.03,84,46
revived,9,NA,259,9,Sleep No More,episode,2015-11-14,NA,5.61,78,45
revived,9,NA,260,10,Face the Raven,episode,2015-11-21,NA,6.05,84,47
revived,9,NA,261,11,Heaven Sent,episode,2015-11-28,NA,6.19,80,54
revived,9,NA,262,12,Hell Bent,episode,2015-12-05,NA,6.17,82,61
revived,9,NA,263,NA,The Husbands of River Song,special,2015-12-25,NA,7.69,82,56
revived,10,NA,264,NA,The Return of Doctor Mysterio,special,2016-12-25,NA,7.83,82,60
revived,10,NA,265,1,The Pilot,episode,2017-04-15,NA,6.68,83,50
revived,10,NA,266,2,Smile,episode,2017-04-22,NA,5.98,83,46
revived,10,NA,267,3,Thin Ice,episode,2017-04-29,NA,5.61,84,44
revived,10,NA,268,4,Knock Knock,episode,2017-05-06,NA,5.73,83,44
revived,10,NA,269,5,Oxygen,episode,2017-05-13,NA,5.27,83,45
revived,10,NA,270,6,Extremis,episode,2017-05-20,NA,5.53,82,49
revived,10,NA,271,7,The Pyramid at the End of the World,episode,2017-05-27,NA,5.79,82,46
revived,10,NA,272,8,The Lie of the Land,episode,2017-06-03,NA,4.82,82,45
revived,10,NA,273,9,Empress of Mars,episode,2017-06-10,NA,5.02,83,44
revived,10,NA,274,10,The Eaters of Light,episode,2017-06-17,NA,4.73,81,42
revived,10,NA,275a,11,World Enough and Time,episode,2017-06-24,NA,5,85,46
revived,10,NA,275b,12,The Doctor Falls,episode,2017-07-01,NA,5.3,83,60
revived,10,NA,276,NA,Twice Upon a Time,special,2017-12-25,NA,7.92,81,60
revived,11,NA,277,1,The Woman Who Fell to Earth,episode,2018-10-07,NA,10.96,83,64
revived,11,NA,278,2,The Ghost Monument,episode,2018-10-14,NA,9,82,49
revived,11,NA,279,3,Rosa,episode,2018-10-21,NA,8.41,83,50
revived,11,NA,280,4,Arachnids in the UK,episode,2018-10-28,NA,8.22,83,49
revived,11,NA,281,5,The Tsuranga Conundrum,episode,2018-11-04,NA,7.76,79,51
revived,11,NA,282,6,Demons of the Punjab,episode,2018-11-11,NA,7.48,80,50
revived,11,NA,283,7,Kerblam!,episode,2018-11-18,NA,7.46,81,49
revived,11,NA,284,8,The Witchfinders,episode,2018-11-25,NA,7.21,81,47
revived,11,NA,285,9,It Takes You Away,episode,2018-12-02,NA,6.42,80,49
revived,11,NA,286,10,The Battle of Ranskoor Av Kolos,episode,2018-12-09,NA,6.65,79,50
revived,11,NA,287,NA,Resolution,special,2019-01-01,NA,7.13,80,60
revived,12,NA,288a,1,"Spyfall, Part 1",episode,2020-01-01,NA,6.89,82,59
revived,12,NA,288b,2,"Spyfall, Part 2",episode,2020-01-05,NA,6.07,82,60
revived,12,NA,289,3,Orphan 55,episode,2020-01-12,NA,5.38,77,46
revived,12,NA,290,4,Nikola Tesla's Night of Terror,episode,2020-01-19,NA,5.2,79,50
revived,12,NA,291,5,Fugitive of the Judoon,episode,2020-01-26,NA,5.57,83,50
revived,12,NA,292,6,Praxeus,episode,2020-02-02,NA,5.22,78,49
revived,12,NA,293,7,Can You Hear Me?,episode,2020-02-09,NA,4.9,78,49
revived,12,NA,294,8,The Haunting of Villa Diodati,episode,2020-02-16,NA,5.07,80,49
revived,12,NA,295a,9,Ascension of the Cybermen,episode,2020-02-23,NA,4.99,81,49
revived,12,NA,295b,10,The Timeless Children,episode,2020-03-01,NA,4.69,82,65
revived,12,NA,296,NA,Revolution of the Daleks,special,2021-01-01,NA,6.35,79,71
revived,13,Flux,297a,1,The Halloween Apocalypse,episode,2021-10-31,NA,5.79,76,50
revived,13,Flux,297b,2,War of the Sontarans,episode,2021-11-07,NA,NA,77,59
revived,13,Flux,297c,3,"Once, Upon Time",episode,2021-11-14,NA,NA,NA,49
revived,13,Flux,297d,4,Village of the Angels,episode,2021-11-21,NA,NA,NA,NA
revived,13,Flux,297e,5,Survivors of the Flux,episode,2021-11-28,NA,NA,NA,NA
revived,13,Flux,297f,6,NA,episode,2021-12-05,NA,NA,NA,NA
