source,source_id,source_site_name,site_name,latitude,longitude,phase,phase_description,phase_code,age_start,age_end,taxon_source,n,prop,reference,taxon_detail,taxon,genus,family,category,founder_crop,edibility,grass_type,legume_type
ORIGINS,16433–16433,Ayn Abu Nukhayla,Ayn Abu Nakhayla,29.84,35.24,PPNB,NA,AANU PPNB,9578,9401,Gypsophila,1,0.5,HenryEtal03,Gypsophila sp.,"Gypsophila spp. (incl. elegans, obionica, pilosa)",Gypsophila,Caryophillaceae,Wild plants,NA,NA,NA,NA
ORIGINS,12007–12249,Abu Hureyra,Abu Hureyra,35.87,38.4,Abu Hureyra 1 (epipalaeolithic) phase 1,Dates approximated from Colledge & Conolly 2010,ABHU Epip1,13096,12984,Alyssum,6,0.00103986135181975,MooreEtal2000,Alyssum sp.,Alyssum spp. (incl. damascenus),Alyssum,Brassicaceae,Wild plants,NA,NA,NA,NA
ORIGINS,12013–12298,Abu Hureyra,Abu Hureyra,35.87,38.4,Abu Hureyra 1 (epipalaeolithic) phase 1,Dates approximated from Colledge & Conolly 2010,ABHU Epip1,13096,12984,Arenaria serpyllifolia,18,0.00311958405545927,MooreEtal2000,Arenaria serpyllifolia,Arenaria spp. (incl. serpyllifolia),Arenaria,Caryophyllaceae,Wild plants,NA,NA,NA,NA
ORIGINS,11956–12352,Abu Hureyra,Abu Hureyra,35.87,38.4,Abu Hureyra 1 (epipalaeolithic) phase 1,Dates approximated from Colledge & Conolly 2010,ABHU Epip1,13096,12984,Arnebia decumbens,184,0.03188908145580589,MooreEtal2000,Arnebia decumbens,"Arnebia spp. (incl. decumbens, linearifolia)",Arnebia,Boraginaceae,Wild plants,NA,NA,NA,NA
ORIGINS,12018–12353,Abu Hureyra,Abu Hureyra,35.87,38.4,Abu Hureyra 1 (epipalaeolithic) phase 1,Dates approximated from Colledge & Conolly 2010,ABHU Epip1,13096,12984,Arnebia linearifolia,21,0.00363951473136915,MooreEtal2000,Arnebia linearifolia,"Arnebia spp. (incl. decumbens, linearifolia)",Arnebia,Boraginaceae,Wild plants,NA,NA,NA,NA
ORIGINS,12021–12358,Abu Hureyra,Abu Hureyra,35.87,38.4,Abu Hureyra 1 (epipalaeolithic) phase 1,Dates approximated from Colledge & Conolly 2010,ABHU Epip1,13096,12984,Asparagus,15,0.00259965337954939,MooreEtal2000,Asparagus sp.,Asparagus sp.,Asparagus,Asparagaceae,Wild plants,NA,stems,NA,NA
ORIGINS,11943–12047,Abu Hureyra,Abu Hureyra,35.87,38.4,Abu Hureyra 1 (epipalaeolithic) phase 1,Dates approximated from Colledge & Conolly 2010,ABHU Epip1,13096,12984,Asphodelus aestivus,12,0.00207972270363951,MooreEtal2000,Asphodelus aestivus,"Asphodelus spp. (incl. aestivus, tenuifolius)",Asphodelus,Asphodelaceae,Wild plants,NA,"rhizomes, stems and leaves,",NA,NA
ORIGINS,11970–12363,Abu Hureyra,Abu Hureyra,35.87,38.4,Abu Hureyra 1 (epipalaeolithic) phase 1,Dates approximated from Colledge & Conolly 2010,ABHU Epip1,13096,12984,Atriplex,42,0.0072790294627383,MooreEtal2000,Atriplex sp.,"Atriplex spp. (incl. lasiantha, leucoclada, prostrata, rosea)",Atriplex,Chenopodiaceae,Wild plants,NA,NA,NA,NA
ORIGINS,12065–12065,Abu Hureyra,Abu Hureyra,35.87,38.4,Abu Hureyra 1 (epipalaeolithic) phase 1,Dates approximated from Colledge & Conolly 2010,ABHU Epip1,13096,12984,Avena sterilis,3,5.199306759098787e-4,MooreEtal2000,Avena sterilis,"Avena spp. (incl. barbata, clauda, fatua, sativa, sterilis, wiestii)",Avena,Poaceae,Grasses,NA,Edible seed/fruit,Large/medium-seeded,NA
ORIGINS,12266–12266,Abu Hureyra,Abu Hureyra,35.87,38.4,Abu Hureyra 1 (epipalaeolithic) phase 1,Dates approximated from Colledge & Conolly 2010,ABHU Epip1,13096,12984,Bassia arabica,3,5.199306759098787e-4,MooreEtal2000,Bassia arabica,"Bassia spp. (incl. muricata, protrata)",Bassia,Amaranthaceae,Wild plants,NA,Edible seed/fruit,NA,NA
