date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type
19450716,1945,45001,USA,ALAMOGORDO,DOE,32.54,-105.57,0,0,-0.1,21,21,WR,TRINITY,TOWER
19450805,1945,45002,USA,HIROSHIMA,DOE,34.23,132.27,0,0,-0.6,15,15,COMBAT,LITTLEBOY,AIRDROP
19450809,1945,45003,USA,NAGASAKI,DOE,32.45,129.52,0,0,-0.6,21,21,COMBAT,FATMAN,AIRDROP
19460630,1946,46001,USA,BIKINI,DOE,11.35,165.2,0,0,-0.2,21,21,WE,ABLE,AIRDROP
19460724,1946,46002,USA,BIKINI,DOE,11.35,165.2,0,0,0.03,21,21,WE,BAKER,UW
19480414,1948,48001,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.08,37,37,WR,X-RAY,TOWER
19480430,1948,48002,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.08,49,49,WR,YOKE,TOWER
19480514,1948,48003,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.08,18,18,WR,ZEBRA,TOWER
19490829,1949,49001,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,22,22,WR,NA,SURFACE
19510127,1951,51001,USA,NTS,DOE,37,-116,0,0,-0.35,1,1,WR,ABLE,AIRDROP
19510128,1951,51002,USA,NTS,DOE,37,-116,0,0,-0.35,8,8,WR,BAKER,AIRDROP
19510201,1951,51003,USA,NTS,DOE,37,-116,0,0,-0.35,1,1,WR,EASY,AIRDROP
19510202,1951,51004,USA,NTS,DOE,37,-116,0,0,-0.4,8,8,WR,BAKER2,AIRDROP
19510206,1951,51005,USA,NTS,DOE,37,-116,0,0,-0.5,22,22,WR,FOX,AIRDROP
19510407,1951,51006,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.1,81,81,WR,DOG,TOWER
19510420,1951,51007,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.1,47,47,WR,EASY,TOWER
19510508,1951,51008,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.07,225,225,WR,GEORGE,TOWER
19510524,1951,51009,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.07,45.5,45.5,WR,ITEM,TOWER
19510924,1951,51010,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,38,38,WR,NA,SURFACE
19511018,1951,51011,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,42,42,WR,NA,AIRDROP
19511022,1951,51012,USA,NTS,DOE,37,-116,0,0,-0.03,0,0.1,WR,ABLE,TOWER
19511028,1951,51013,USA,NTS,DOE,37,-116,0,0,-0.4,3.5,3.5,WR,BAKER,AIRDROP
19511030,1951,51014,USA,NTS,DOE,37,-116,0,0,-0.4,14,14,WR,CHARLIE,AIRDROP
19511101,1951,51015,USA,NTS,DOE,37,-116,0,0,-0.5,21,21,WR,DOG,AIRDROP
19511105,1951,51016,USA,NTS,DOE,37,-116,0,0,-0.45,31,31,WR,EASY,AIRDROP
19511119,1951,51017,USA,NTS,DOE,37,-116,0,0,-0.001,1.2,1.2,WE,SUGAR,SURFACE
19511129,1951,51018,USA,NTS,DOE,37,-116,0,0,0.01,1.2,1.2,WE,UNCLE,CRATER
19520401,1952,52001,USA,NTS,DOE,37,-116,0,0,-0.25,1,1,WE,ABLE,AIRDROP
19520415,1952,52002,USA,NTS,DOE,37,-116,0,0,-0.35,1,1,WE,BAKER,AIRDROP
19520422,1952,52003,USA,NTS,DOE,37,-116,0,0,-1.15,31,31,WR,CHARLIE,AIRDROP
19520501,1952,52004,USA,NTS,DOE,37,-116,0,0,-0.35,19,19,WR,DOG,AIRDROP
19520507,1952,52005,USA,NTS,DOE,37,-116,0,0,-0.1,12,12,WR,EASY,TOWER
19520525,1952,52006,USA,NTS,DOE,37,-116,0,0,-0.1,11,11,WR,FOX,TOWER
19520601,1952,52007,USA,NTS,DOE,37,-116,0,0,-0.1,15,15,WR,GEORGE,TOWER
19520605,1952,52008,USA,NTS,DOE,37,-116,0,0,-0.1,14,14,WR,HOW,TOWER
19521003,1952,52009,UK,MONTEB AUSTR,DOE,-20.4,115.57,0,0,-0.001,25,25,WE,HURRICANE,SHIP
19521031,1952,52010,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,10400,10400,WR,MIKE,SURFACE
19521115,1952,52011,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.5,500,500,WR,KING,AIRDROP
19530317,1953,53001,USA,NTS,DOE,37,-116,0,0,-0.1,16,16,WR,ANNIE,TOWER
19530324,1953,53002,USA,NTS,DOE,37,-116,0,0,-0.1,24,24,WR,NANCY,TOWER
19530331,1953,53003,USA,NTS,DOE,37,-116,0,0,-0.1,0.2,0.2,WR,RUTH,TOWER
19530406,1953,53004,USA,NTS,DOE,37,-116,0,0,-2,11,11,WR,DIXIE,AIRDROP
19530411,1953,53005,USA,NTS,DOE,37,-116,0,0,-0.03,0.2,0.2,WR,RAY,TOWER
19530418,1953,53006,USA,NTS,DOE,37,-116,0,0,-0.1,23,23,WR,BADGER,TOWER
19530425,1953,53007,USA,NTS,DOE,37,-116,0,0,-0.1,43,43,WR,SIMON,TOWER
19530508,1953,53008,USA,NTS,DOE,37,-116,0,0,-0.8,27,27,WE,ENCORE,AIRDROP
19530519,1953,53009,USA,NTS,DOE,37,-116,0,0,-0.1,32,32,WR,HARRY,TOWER
19530525,1953,53010,USA,NTS,DOE,37,-116,0,0,-0.2,15,15,WR,GRABLE,ATMOSPH
19530604,1953,53011,USA,NTS,DOE,37,-116,0,0,-0.4,61,61,WR,CLIMAX,AIRDROP
19530812,1953,53012,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,400,400,WR,NA,SURFACE
19530823,1953,53013,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,28,28,WR,NA,ATMOSPH
19530903,1953,53014,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,5.8,5.8,WR,NA,ATMOSPH
19530908,1953,53015,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.6,1.6,WR,NA,ATMOSPH
19530910,1953,53016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,4.9,4.9,WR,NA,ATMOSPH
19531014,1953,53017,UK,EMU AUSTR,DOE,-28.7,132.35,0,0,0,10,10,WR,TOTEM:1,TOWER
19531026,1953,53018,UK,EMU AUSTR,DOE,-28.7,132.35,0,0,0,8,8,WR,TOTEM:2,TOWER
19540228,1954,54001,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,15000,15000,WR,BRAVO,SURFACE
19540326,1954,54002,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,11000,11000,WR,ROMEO,BARGE
19540406,1954,54003,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,110,110,WR,KOON,SURFACE
19540425,1954,54004,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,6900,6900,WR,UNION,BARGE
19540504,1954,54005,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,13500,13500,WR,YANKEE,BARGE
19540513,1954,54006,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,1690,1690,WR,NECTAR,BARGE
19540914,1954,54007,USSR,ORENBG RUSS,DOE,52,55,0,0,0,40,40,ME,NA,ATMOSPH
19540929,1954,54008,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.2,0.2,WR,NA,ATMOSPH
19541001,1954,54009,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.03,0.03,WR,NA,ATMOSPH
19541003,1954,54010,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,2,2,WR,NA,ATMOSPH
19541005,1954,54011,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,4,4,WR,NA,SURFACE
19541008,1954,54012,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.8,0.8,WR,NA,ATMOSPH
19541019,1954,54013,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0,0.001,WR,NA,SURFACE
19541023,1954,54014,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,62,62,WR,NA,ATMOSPH
19541026,1954,54015,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,2.8,2.8,WR,NA,ATMOSPH
19541030,1954,54016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,10,10,WR,NA,SURFACE
19550218,1955,55001,USA,NTS,DOE,37,-116,0,0,-0.25,1,1,WE,WASP,AIRDROP
19550222,1955,55002,USA,NTS,DOE,37,-116,0,0,-0.1,2,2,WR,MOTH,TOWER
19550301,1955,55003,USA,NTS,DOE,37,-116,0,0,-0.1,7,7,WR,TESLA,TOWER
19550307,1955,55004,USA,NTS,DOE,37,-116,0,0,-0.2,43,43,WR,TURK,TOWER
19550312,1955,55005,USA,NTS,DOE,37,-116,0,0,-0.1,4,4,WR,HORNET,TOWER
19550322,1955,55006,USA,NTS,DOE,37,-116,0,0,-0.2,8,8,WR,BEE,TOWER
19550323,1955,55007,USA,NTS,DOE,37,-116,0,0,0.02,1,1,WE,ESS,CRATER
19550329,1955,55008,USA,NTS,DOE,37,-116,0,0,-0.2,14,14,WR,APPLE :1,TOWER
19550329,1955,55009,USA,NTS,DOE,37,-116,0,0,-0.25,3,3,WR,WASP PRIME,AIRDROP
19550406,1955,55010,USA,NTS,DOE,37,-116,0,0,-12,3,3,WE,HA,AIRDROP
19550409,1955,55011,USA,NTS,DOE,37,-116,0,0,-0.1,2,2,WR,POST,TOWER
19550415,1955,55012,USA,NTS,DOE,37,-116,0,0,-0.001,22,22,WE,MET,TOWER
19550505,1955,55013,USA,NTS,DOE,37,-116,0,0,-0.2,29,29,WR,APPLE:2,TOWER
19550514,1955,55014,USA,OFFUSWCOAST,DOE,29,-126,0,0,0,30,30,WE,WIGWAM,UW
19550515,1955,55015,USA,NTS,DOE,37,-116,0,0,-0.2,28,28,WR,ZUCCHINI,TOWER
19550729,1955,55016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.3,1.3,WR,NA,SURFACE
19550802,1955,55017,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,12,12,WR,NA,SURFACE
19550805,1955,55018,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.2,1.2,WR,NA,SURFACE
19550921,1955,55019,USSR,NZ RUSS,DOE,73,55,0,0,0,3.5,3.5,WE,NA,UW
19551101,1955,55022,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,PROJECT 56:1,SURFACE
19551103,1955,55023,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,PROJECT 56:2,SURFACE
19551105,1955,55024,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,PROJECT 56:3,SURFACE
19551106,1955,55020,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,250,250,WR,NA,ATMOSPH
19551122,1955,55021,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,1600,1600,WR,NA,ATMOSPH
19560118,1956,56001,USA,NTS,DOE,37,-116,0,0,-0.001,0,20,SE,PROJECT 56:4,SURFACE
19560202,1956,56002,USSR,KAZAKH,MTM,46,61,0,0,0,0.3,0.3,WE,NA,SURFACE
19560316,1956,56003,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,14,14,WR,NA,SURFACE
19560325,1956,56004,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,5.5,5.5,WR,NA,SURFACE
19560504,1956,56005,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,40,40,WR,LACROSSE,SURFACE
19560516,1956,56006,UK,MONTEB AUSTR,DOE,-20.23,115.55,0,0,0,15,15,WR,MOSAIC:Gl,TOWER
