year,rank,city,med_park_size_data,med_park_size_points,park_pct_city_data,park_pct_city_points,pct_near_park_data,pct_near_park_points,spend_per_resident_data,spend_per_resident_points,basketball_data,basketball_points,dogpark_data,dogpark_points,playground_data,playground_points,rec_sr_data,rec_sr_points,restroom_data,restroom_points,splashground_data,splashground_points,amenities_points,total_points,total_pct,city_dup,park_benches
2020,1,Minneapolis,5.7,26,15%,38,98%,98,$319,100,3.5,47,1.7,65,4.1,73,2.3,100,2.9,91,4,100,79.3,341,85.3,Minneapolis,NA
2020,2,"Washington, D.C.",1.4,5,24%,50,98%,98,$307,100,6.3,100,2,81,1.9,21,2.2,100,2.6,80,4.1,100,80.3,333,83.3,"Washington, D.C.",NA
2020,3,St. Paul,3.2,14,15%,39,99%,99,$219,100,7.7,100,1.3,49,4,72,1.7,100,3.2,100,1.3,47,78,330,82.5,St. Paul,NA
2020,4,"Arlington, Virginia",2.4,10,11%,28,99%,99,$301,100,7.9,100,3.5,100,4.4,80,1.1,76,3.1,97,2.2,81,89,326,81.5,"Arlington, Virginia",NA
2020,5,Cincinnati,4.4,20,14%,36,82%,74,$190,100,8.7,100,1.6,63,4.9,94,1.5,100,3.2,98,4.5,100,92.5,323,80.6,Cincinnati,NA
2020,6,Portland,4.9,22,18%,47,90%,85,$250,100,3.4,45,5.8,100,2.1,28,0.6,38,6.1,100,2.1,79,65,319,79.8,Portland,NA
2020,7,Irvine,6.1,28,27%,50,82%,73,$215,100,17.4,100,0.4,4,4.3,77,1.7,100,3.2,98,0.7,25,67.3,318,79.6,Irvine,NA
2020,8,San Francisco,1.3,4,21%,50,100%,100,$399,100,4.2,61,4.1,100,2.9,46,0.8,52,2.4,75,1,36,61.7,316,78.9,San Francisco,NA
2020,9,Boston,1.4,4,17%,45,100%,100,$162,92,3.8,53,1.9,76,4,70,0.9,63,1,29,10.3,100,65.2,306,76.5,Boston,NA
2020,10,Chicago,2.2,9,10%,24,98%,98,$179,100,4.7,70,1,35,3.6,61,1.8,100,2.4,73,8.8,100,73.2,304,76,Chicago,NA
