year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error
2013,tt1711425,21 &amp; Over,notalk,notalk,FAIL,13000000,25682380,42195766,2013FAIL,13000000,25682380,42195766,1,1,1711425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,tt1343727,Dredd 3D,ok-disagree,ok,PASS,45000000,13414714,40868994,2012PASS,45658735,13611086,41467257,1,1,1343727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,tt2024544,12 Years a Slave,notalk-disagree,notalk,FAIL,20000000,53107035,158607035,2013FAIL,20000000,53107035,158607035,1,1,2024544,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",R,True,English,"USA, UK","John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)",97,8.3,Steve McQueen,08 Nov 2013,"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","Biography, Drama, History",Won 3 Oscars. Another 131 wins & 137 nominations.,134 min,movie,http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,"143,446",NA
2013,tt1272878,2 Guns,notalk,notalk,FAIL,61000000,75612460,132493015,2013FAIL,61000000,75612460,132493015,1,1,1272878,"A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.",R,True,"English, Spanish",USA,"Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)",55,6.8,Baltasar Kormákur,02 Aug 2013,"Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos","Action, Comedy, Crime",1 win.,109 min,movie,http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg,"87,301",NA
2013,tt0453562,42,men,men,FAIL,40000000,95020213,95020213,2013FAIL,40000000,95020213,95020213,1,1,0453562,The life story of Jackie Robinson and his history-making signing with the Brooklyn Dodgers under the guidance of team executive Branch Rickey.,PG-13,True,English,USA,Brian Helgeland,62,7.6,Brian Helgeland,12 Apr 2013,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni","Biography, Drama, Sport",3 wins & 13 nominations.,128 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_SX300.jpg,"43,608",NA
2013,tt1335975,47 Ronin,men,men,FAIL,225000000,38362475,145803842,2013FAIL,225000000,38362475,145803842,1,1,1335975,A band of samurai set out to avenge the death and dishonor of their master at the hands of a ruthless shogun.,PG-13,True,"English, Japanese",USA,"Chris Morgan (screenplay), Hossein Amini (screenplay), Chris Morgan (screen story by), Walter Hamada (screen story by)",29,6.6,Carl Rinsch,25 Dec 2013,"Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki, Tadanobu Asano","Action, Adventure, Fantasy",1 nomination.,118 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc0MjE2NzE0OV5BMl5BanBnXkFtZTgwNTU5MjE1MDE@._V1_SX300.jpg,"25,735",NA
2013,tt1606378,A Good Day to Die Hard,notalk,notalk,FAIL,92000000,67349198,304249198,2013FAIL,92000000,67349198,304249198,1,1,1606378,"John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces.",R,True,"English, Russian, Hindi",USA,"Skip Woods, Roderick Thorp (certain original characters by)",28,5.4,John Moore,14 Feb 2013,"Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead","Action, Crime, Thriller",2 wins & 3 nominations.,98 min,movie,http://ia.media-imdb.com/images/M/MV5BMTcwNzgyNzUzOV5BMl5BanBnXkFtZTcwMzAwOTA5OA@@._V1_SX300.jpg,"123,837",NA
2013,tt2194499,About Time,ok-disagree,ok,PASS,12000000,15323921,87324746,2013PASS,12000000,15323921,87324746,1,1,2194499,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",R,True,English,UK,Richard Curtis,55,7.8,Richard Curtis,08 Nov 2013,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson","Drama, Fantasy, Romance",1 win & 6 nominations.,123 min,movie,http://ia.media-imdb.com/images/M/MV5BMTA1ODUzMDA3NzFeQTJeQWpwZ15BbWU3MDgxMTYxNTk@._V1_SX300.jpg,"85,871",NA
2013,tt1814621,Admission,ok,ok,PASS,13000000,18007317,18007317,2013PASS,13000000,18007317,18007317,1,1,1814621,A Princeton admissions officer who is up for a major promotion takes a professional risk after she meets a college-bound alternative school kid who just might be the son she gave up years ago in a secret adoption.,PG-13,True,English,USA,"Karen Croner (screenplay), Jean Hanff Korelitz (based on the novel by)",48,5.7,Paul Weitz,22 Mar 2013,"Tina Fey, Ann Harada, Ben Levin, Dan Levy","Comedy, Drama, Romance",N/A,107 min,movie,http://ia.media-imdb.com/images/M/MV5BOTE2OTkwNzg5Ml5BMl5BanBnXkFtZTcwOTY0NzQ3OA@@._V1_SX300.jpg,"18,973",NA
2013,tt1815862,After Earth,notalk,notalk,FAIL,130000000,60522097,244373198,2013FAIL,130000000,60522097,244373198,1,1,1815862,"A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help.",PG-13,True,English,USA,"Gary Whitta (screenplay), M. Night Shyamalan (screenplay), Will Smith (story)",33,5,M. Night Shyamalan,31 May 2013,"Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz","Action, Adventure, Sci-Fi",3 wins & 5 nominations.,100 min,movie,http://ia.media-imdb.com/images/M/MV5BMTY3MzQyMjkwMl5BMl5BanBnXkFtZTcwMDk2OTE0OQ@@._V1_SX300.jpg,"108,264",NA
