id,session,date,time,room,title,content,video_recording,keywords,speakers,co_authors
170,Virtual,2025-08-01,TBD,Online,A Robust and Informative Application for viewing the dataframes in R,"In R programming, the View() function from the Utils package provides a basic interface for viewing the dataframe. The current R dataframe interface does not have features such as column selection, complex filtering, data-type of the variables, variable meta-data information, code reproducibility and download options. This presentation ([please click on this link to view my draft presentation][1]) will demonstrate a newly created feature-rich application that includes all above features. The Application was created using shiny modules for viewing and examining the dataframes from various statistical softwares such as SAS, Python. [1]: https://docs.google.com/presentation/d/1Mygbx-15iYyd8CVh7sgxtuhtteQ6hFZM/edit?usp=drivesdk&ouid=103296676447663833578&rtpof=true&sd=true",✅,"statistical programming, clinical trials data, dataset interface, workflow",Madhan Kumar Nagaraji,NA
79,Virtual,2025-08-01,TBD,Online,A first look at Positron,"Positron is a next generation data science IDE built by the creators of RStudio. It has been available for beta testing for a number of months, and R users may have wondered if they should try it or if it will be a good fit for them. This new IDE is an extensible tool built to facilitate exploratory data analysis, reproducible authoring, and publishing data artifacts, and it is an IDE that supports but is not built only for R. How should an R user think about Positron, compared to the other options out there? In this talk, learn about how and why Positron is designed the way it is, what will feel familiar or new coming from other IDEs such as RStudio, and when (or if) people who use R should consider giving it a try. You’ll hear about different choices when it comes to defaults and ways of working, such as how to think about your projects or folders and how to manage multiple versions of R. You will also learn about new functionality for R users and package developers that we have never had before, like new approaches for managing R package tests and the ability to customize an IDE using extensions. If you are curious about Positron and how it fits into the R ecosystem, you’ll come away from this talk with more details about its capabilities and more clarity about whether it may be a good choice for you.",✅,"ide, workflow, tooling",Julia Silge (Posit PBC),NA
30,Virtual,2025-08-01,TBD,Online,Analyzing Census Data in R: Techniques and Applications,"This talk provides an introduction to working with IPUMS Census American Community Survey (ACS) data in R, focusing on key techniques for data preparation, weighting, and sampling. Participants will gain a foundational understanding of how Census data is structured and learn how to apply statistical weights to create representative analyses. The talk also explores the role of Census data in artificial intelligence (AI) and machine learning (ML), highlighting its applications in model training, fairness assessments, and demographic insights. Finally, the course addresses the critical use of Census data in anti-discrimination frameworks, demonstrating how demographic techniques can help evaluate bias and promote equitable AI/ML outcomes. Through practical exercises and case studies, participants will develop essential skills for integrating Census data into AI-driven analyses with an emphasis on equity.",✅,"demography, frameworks, census data, equity ml/ai, anti-discrimination in ml/ai",Joanne Rodrigues,NA
31,Virtual,2025-08-01,TBD,Online,Automating workflows with webhooks and plumber in R,"Webhooks have brought to us new possibilities for automating workflows. With such, we can eliminate the need for manual interventions. In this talk, I will demonstrate how you can use plumber, an R package for building APIs, to create a webhook listener that triggers your workflows such as updating dashboards, triggering machine learning retraining, and other potential use cases. In the presentation, I will cover how to process payloads - using GitHub webhooks as an example, verifying authenticity using HMAC signatures, and implementing logging for tracking script execution, debugging, and monitoring. This talk will benefit researchers, data scientists, and developers who want to make their R workflows responsive to certain triggers.",✅,"automation, event-driven workflows, plumber api, github webhooks",CLINTON DAVID,NA
39,Virtual,2025-08-01,TBD,Online,Beyond Guesswork: How Econometric Models (MMMs) Guide Genius Marketing Decisions,"In a world where marketing budgets are scrutinised, customer journeys are more fragmented than ever, and every digital channel feels as though it’s taking over the world - how do you really know where to invest? Traditional measurement methods often fall short, leaving marketers with more questions than answers: Is TV a dead channel? Is last-click attribution selling your brand-building efforts short? Are you overinvesting in one channel while under-utilising another? In this talk, we will take you beyond surface-level metrics and into the world of econometrics in R: the gold standard for understanding marketing effectiveness. By applying time-series regression techniques, we can move past vanity metrics and gut feelings to uncover the real impact of marketing spend. Attribution is one of the biggest debates in marketing measurement, therefore, this talk will also explore whether first-click, last-click, or equal weightings really make sense - or whether a more nuanced approach is needed to reflect consumer behaviour. Next, we’ll explore how to quantify return on investment with rigor, determine the optimal allocation of budget across channels, visualise the relationship between channels, and understand diminishing returns to avoid wasted spend. All while breaking down key marketing acronyms, campaign types, and measurement approaches to ensure you leave with a clear understanding of how to apply these concepts in the real world. Finally, we will demonstrate our award-winning (IPA, 2024) example case study built in R with December19 Media Agency, for Xero Accounting UK, to bring our time-series regression analyses to life. If you’re looking for a session that moves beyond generic reporting and 6-figure marketing agency prices – this talk is made for you!",✅,"marketing, statistical modelling, econometrics, measurement, regression",Abbie Brookes (Data Scientist @ Datacove); Jeremy Horne (Director @ Datacove),Abbie Brookes (Data Scientist @ Datacove)
169,Virtual,2025-08-01,TBD,Online,CSV to Parquet: Managing data for multi-language analytics teams,"CSV is arguably the default data storage format for analytics teams. CSV format is advantageous for its simplicity. When the data size is small, it is easy to inspect the CSV data using a spreadsheet program. However, CSV files tend to become very slow for read and write operations at larger data sizes. Enter Apache Parquet > Apache Parquet is an open source, column-oriented data file format designed for efficient data storage and retrieval. It provides high performance compression and encoding schemes to handle complex data in bulk and is supported in many programming language and analytics tools. From Apache Parquet Documentation The talk would focus on an overview of the Apache Parquet format and advantages compared to the CSV format. I would also demonstrate reading and writing data in this format in R and show the interoperability with Apache Arrow. Further, I would demonstrate how this format would make life easier for polyglot teams that use R and Python. Finally, the session would end by mentioning key points to consider to decide their storage format. The participants would get introduced to Apache Parquet and Arrow and be able to better decide storage format for their workflows. Broad Agenda 1. Overview of the Apache Parquet format 2. Benchmarking with CSV 3. Reading and writing data in R and Python 4. Interoperability with Arrow and Pyarrow 5. Conclusion and Takeaways",✅,"data processing, parquet, analytics, big data, storage",Viswadutt Poduri,NA
94,Virtual,2025-08-01,TBD,Online,Data Visualization for Exploratory Factor Analysis,"Exploratory factor analysis (EFA) is routinely used by researchers to reduce dimensionality of data, and to form meaningful factors. While there are good guidelines on how to report the results, data visualization tools are rarely used in understanding the results of EFA. Good data visualization, especially in a multivariate framework with ordinal data, makes it easier for people interpret the results of the analysis better. This presentation introduces and demonstrates different data visualization techniques that can be used to illustrate the results of EFA and improve its interpretation. Advantages and disadvantages of each of these techniques are discussed. As EFA is oftentimes used on categorical data from survey research, apart from visualizations for the factor results, exploratory data visualization for categorical variables are also presented. Moreover, these graphical tools can be used for purposes other than EFA. Data visualization and analysis is performed in R using publicly available survey research data.",✅,"factor analysis, exploratory data analysis, dimension reduction, ordinal data, survey research",Nivedita Bhaktha (Indian Institute of Technology Kanpur),NA
163,Virtual,2025-08-01,TBD,Online,Don’t Write Code Your Users Haven’t Asked For,"The fact that your code works doesn't mean it's useful to your users. Ensuring that code works correctly with unit-testing is well-established in R, but validating that we write the correct code—aligned with user needs—remains a challenge. In this talk, we’ll explore how Behavior-Driven Development helps collaborating with stakeholders by translating their needs into automated tests that check if our software satisfies them. You’ll walk away with an understanding of how to start practicing BDD in R with {cucumber}: a method of producing tests that describe what your software does, and makes tests easier to maintain as your software evolves.",✅,"testing, behavior-driven development, test-driven development, efficient programming, gherkin",Jakub Sobolewski,NA
13,Virtual,2025-08-01,TBD,Online,Experimenting with LLM Applications in R,"Large language models (LLMs) are surprisingly easy to use and at their core, they're just an API call away. But how do you go from calling a model to actually building something useful? In this talk, I'll share my experiences creating and deploying LLM-powered applications in R. I'll walk through different approaches I've tried, from incorporating LLMs into Shiny apps, improving my R code, and experimenting with different models and deployment options. Along the way, I'll highlight what worked, what didn't, and what I learned in the process. Whether you're curious about integrating LLMs into your own projects or just want to see what's possible, this session will offer a practical look at building with LLMs in R without the hype.",✅,"automation, llms, ai",Nic Crane,NA
51,Virtual,2025-08-01,TBD,Online,From Data to Narrative: Interactive Storytelling with Shiny,"Data Storytelling transforms complex datasets into clear, engaging narratives, combining analysis, visualization, and storytelling to inspire action and facilitate decision-making. This session focuses on using Shiny to craft compelling stories through dynamic, interactive applications that turn raw data into impactful insights. Through live demonstrations, attendees will discover how Shiny (via Shiny-live in Quarto) bridges the gap between data and storytelling, empowering developers to create interactive dashboards that communicate complex ideas with clarity and impact. The session will highlight practical examples and best practices for building stories that resonate with diverse audiences. By the end of the session, participants will not only understand how to use Shiny to build interactive dashboards but also how to leverage these tools to create meaningful, audience-focused narratives. Shiny-live will be demonstrated as a key enabler of engaging, visually appealing, and interactive data storytelling.",✅,"quarto, shiny, data storytelling, interactive dashboards, visualization",Francisco Alfaro (USM),NA
