season,episode,title,directed_by,written_by,original_release_date
1,1,Chapter One: The Vanishing of Will Byers,The Duffer Brothers,The Duffer Brothers,2016-07-15
1,2,Chapter Two: The Weirdo on Maple Street,The Duffer Brothers,The Duffer Brothers,2016-07-15
1,3,"Chapter Three: Holly, Jolly",Shawn Levy,Jessica Mecklenburg,2016-07-15
1,4,Chapter Four: The Body,Shawn Levy,Justin Doble,2016-07-15
1,5,Chapter Five: The Flea and the Acrobat,The Duffer Brothers,Alison Tatlock,2016-07-15
1,6,Chapter Six: The Monster,The Duffer Brothers,Jessie Nickson-Lopez,2016-07-15
1,7,Chapter Seven: The Bathtub,The Duffer Brothers,Justin Doble,2016-07-15
1,8,Chapter Eight: The Upside Down,The Duffer Brothers,Paul Dichter (story) & The Duffer Brothers (teleplay),2016-07-15
2,1,Chapter One: MADMAX,The Duffer Brothers,The Duffer Brothers,2017-10-27
2,2,"Chapter Two: Trick or Treat, Freak",The Duffer Brothers,The Duffer Brothers,2017-10-27
2,3,Chapter Three: The Pollywog,Shawn Levy,Justin Doble,2017-10-27
2,4,Chapter Four: Will the Wise,Shawn Levy,Paul Dichter,2017-10-27
2,5,Chapter Five: Dig Dug,Andrew Stanton,Jessie Nickson-Lopez,2017-10-27
2,6,Chapter Six: The Spy,Andrew Stanton,Kate Trefry,2017-10-27
2,7,Chapter Seven: The Lost Sister,Rebecca Thomas,Justin Doble,2017-10-27
2,8,Chapter Eight: The Mind Flayer,The Duffer Brothers,The Duffer Brothers,2017-10-27
2,9,Chapter Nine: The Gate,The Duffer Brothers,The Duffer Brothers,2017-10-27
3,1,"Chapter One: Suzie, Do You Copy?",The Duffer Brothers,The Duffer Brothers,2019-07-04
3,2,Chapter Two: The Mall Rats,The Duffer Brothers,The Duffer Brothers,2019-07-04
3,3,Chapter Three: The Case of the Missing Lifeguard,Shawn Levy,William Bridges,2019-07-04
3,4,Chapter Four: The Sauna Test,Shawn Levy,Kate Trefry,2019-07-04
3,5,Chapter Five: The Flayed,Uta Briesewitz,Paul Dichter,2019-07-04
3,6,Chapter Six: E Pluribus Unum,Uta Briesewitz,Curtis Gwinn,2019-07-04
3,7,Chapter Seven: The Bite,The Duffer Brothers,The Duffer Brothers,2019-07-04
3,8,Chapter Eight: The Battle of Starcourt,The Duffer Brothers,The Duffer Brothers,2019-07-04
4,1,Chapter One: The Hellfire Club,The Duffer Brothers,The Duffer Brothers,2022-05-27
4,2,Chapter Two: Vecna's Curse,The Duffer Brothers,The Duffer Brothers,2022-05-27
4,3,Chapter Three: The Monster and the Superhero,Shawn Levy,Caitlin Schneiderhan,2022-05-27
4,4,Chapter Four: Dear Billy,Shawn Levy,Paul Dichter,2022-05-27
4,5,Chapter Five: The Nina Project,Nimród Antal,Kate Trefry,2022-05-27
4,6,Chapter Six: The Dive,Nimród Antal,Curtis Gwinn,2022-05-27
4,7,Chapter Seven: The Massacre at Hawkins Lab,The Duffer Brothers,The Duffer Brothers,2022-05-27
4,8,Chapter Eight: Papa,The Duffer Brothers,The Duffer Brothers,2022-07-01
4,9,Chapter Nine: The Piggyback,The Duffer Brothers,The Duffer Brothers,2022-07-01
