Date,BGT North of NE 70th Total,Ped South,Ped North,Bike North,Bike South
02/28/2019 11:00:00 PM,1,0,0,0,1
02/28/2019 10:00:00 PM,2,0,0,0,2
02/28/2019 09:00:00 PM,4,0,1,2,1
02/28/2019 08:00:00 PM,9,1,1,2,5
02/28/2019 07:00:00 PM,19,0,1,6,12
02/28/2019 06:00:00 PM,57,5,5,13,34
02/28/2019 05:00:00 PM,96,15,12,19,50
02/28/2019 04:00:00 PM,110,23,14,26,47
02/28/2019 03:00:00 PM,78,15,11,25,27
02/28/2019 02:00:00 PM,67,16,14,22,15
02/28/2019 01:00:00 PM,67,12,15,22,18
02/28/2019 12:00:00 PM,49,14,15,9,11
02/28/2019 11:00:00 AM,35,9,10,9,7
02/28/2019 10:00:00 AM,47,12,11,13,11
02/28/2019 09:00:00 AM,45,8,13,12,12
02/28/2019 08:00:00 AM,78,10,12,44,12
02/28/2019 07:00:00 AM,46,2,4,31,9
02/28/2019 06:00:00 AM,26,5,4,13,4
02/28/2019 05:00:00 AM,7,2,2,3,0
02/28/2019 04:00:00 AM,1,0,0,0,1
02/28/2019 03:00:00 AM,1,0,0,1,0
02/28/2019 02:00:00 AM,0,0,0,0,0
02/28/2019 01:00:00 AM,0,0,0,0,0
02/28/2019 12:00:00 AM,1,0,0,0,1
02/27/2019 11:00:00 PM,1,0,0,0,1
02/27/2019 10:00:00 PM,0,0,0,0,0
02/27/2019 09:00:00 PM,4,0,1,2,1
02/27/2019 08:00:00 PM,10,1,2,2,5
02/27/2019 07:00:00 PM,17,0,1,2,14
02/27/2019 06:00:00 PM,33,3,1,7,22
02/27/2019 05:00:00 PM,90,8,14,14,54
02/27/2019 04:00:00 PM,69,12,12,8,37
02/27/2019 03:00:00 PM,43,11,8,10,14
02/27/2019 02:00:00 PM,32,6,5,4,17
02/27/2019 01:00:00 PM,30,8,10,4,8
02/27/2019 12:00:00 PM,25,5,11,5,4
02/27/2019 11:00:00 AM,38,7,7,16,8
02/27/2019 10:00:00 AM,55,12,11,19,13
02/27/2019 09:00:00 AM,46,9,12,16,9
02/27/2019 08:00:00 AM,79,4,10,57,8
02/27/2019 07:00:00 AM,39,8,8,17,6
02/27/2019 06:00:00 AM,23,2,3,15,3
02/27/2019 05:00:00 AM,1,0,0,1,0
02/27/2019 04:00:00 AM,0,0,0,0,0
02/27/2019 03:00:00 AM,0,0,0,0,0
02/27/2019 02:00:00 AM,0,0,0,0,0
02/27/2019 01:00:00 AM,0,0,0,0,0
02/27/2019 12:00:00 AM,0,0,0,0,0
02/26/2019 11:00:00 PM,2,0,0,0,2
02/26/2019 10:00:00 PM,1,0,1,0,0
02/26/2019 09:00:00 PM,6,2,1,1,2
02/26/2019 08:00:00 PM,5,0,0,0,5
02/26/2019 07:00:00 PM,19,1,1,6,11
02/26/2019 06:00:00 PM,54,7,4,8,35
02/26/2019 05:00:00 PM,83,11,14,12,46
02/26/2019 04:00:00 PM,87,15,18,22,32
02/26/2019 03:00:00 PM,68,12,12,14,30
02/26/2019 02:00:00 PM,49,13,14,10,12
02/26/2019 01:00:00 PM,55,12,10,20,13
02/26/2019 12:00:00 PM,32,6,6,10,10
02/26/2019 11:00:00 AM,44,10,8,12,14
02/26/2019 10:00:00 AM,41,10,9,12,10
02/26/2019 09:00:00 AM,57,12,14,24,7
02/26/2019 08:00:00 AM,78,6,9,44,19
02/26/2019 07:00:00 AM,54,6,8,34,6
02/26/2019 06:00:00 AM,30,5,6,13,6
02/26/2019 05:00:00 AM,5,1,0,4,0
02/26/2019 04:00:00 AM,0,0,0,0,0
02/26/2019 03:00:00 AM,2,0,0,1,1
02/26/2019 02:00:00 AM,1,0,0,1,0
02/26/2019 01:00:00 AM,0,0,0,0,0
02/26/2019 12:00:00 AM,0,0,0,0,0
02/25/2019 11:00:00 PM,0,0,0,0,0
02/25/2019 10:00:00 PM,2,0,0,0,2
02/25/2019 09:00:00 PM,4,1,0,3,0
02/25/2019 08:00:00 PM,9,2,2,3,2
02/25/2019 07:00:00 PM,18,3,4,0,11
02/25/2019 06:00:00 PM,56,5,6,7,38
02/25/2019 05:00:00 PM,91,14,13,17,47
02/25/2019 04:00:00 PM,70,14,10,19,27
02/25/2019 03:00:00 PM,61,6,9,20,26
02/25/2019 02:00:00 PM,50,11,8,12,19
02/25/2019 01:00:00 PM,52,9,14,11,18
02/25/2019 12:00:00 PM,44,9,13,11,11
02/25/2019 11:00:00 AM,47,12,11,12,12
02/25/2019 10:00:00 AM,49,10,16,10,13
02/25/2019 09:00:00 AM,59,10,16,23,10
02/25/2019 08:00:00 AM,54,6,8,36,4
02/25/2019 07:00:00 AM,52,5,8,29,10
02/25/2019 06:00:00 AM,17,2,3,9,3
02/25/2019 05:00:00 AM,6,1,0,4,1
02/25/2019 04:00:00 AM,1,0,0,1,0
02/25/2019 03:00:00 AM,1,0,0,1,0
02/25/2019 02:00:00 AM,0,0,0,0,0
02/25/2019 01:00:00 AM,0,0,0,0,0
02/25/2019 12:00:00 AM,0,0,0,0,0
02/24/2019 11:00:00 PM,1,0,0,0,1
02/24/2019 10:00:00 PM,3,2,1,0,0
02/24/2019 09:00:00 PM,0,0,0,0,0
02/24/2019 08:00:00 PM,0,0,0,0,0
02/24/2019 07:00:00 PM,1,0,0,1,0
02/24/2019 06:00:00 PM,13,4,6,2,1
02/24/2019 05:00:00 PM,30,6,10,11,3
02/24/2019 04:00:00 PM,59,9,11,18,21
02/24/2019 03:00:00 PM,91,17,24,29,21
02/24/2019 02:00:00 PM,130,23,31,35,41
02/24/2019 01:00:00 PM,123,28,29,33,33
02/24/2019 12:00:00 PM,129,26,21,31,51
02/24/2019 11:00:00 AM,86,24,30,13,19
02/24/2019 10:00:00 AM,89,26,33,12,18
02/24/2019 09:00:00 AM,70,29,18,7,16
02/24/2019 08:00:00 AM,38,14,12,2,10
02/24/2019 07:00:00 AM,14,3,2,6,3
02/24/2019 06:00:00 AM,2,0,0,2,0
02/24/2019 05:00:00 AM,2,1,1,0,0
02/24/2019 04:00:00 AM,0,0,0,0,0
02/24/2019 03:00:00 AM,0,0,0,0,0
02/24/2019 02:00:00 AM,0,0,0,0,0
02/24/2019 01:00:00 AM,0,0,0,0,0
02/24/2019 12:00:00 AM,0,0,0,0,0
02/23/2019 11:00:00 PM,0,0,0,0,0
02/23/2019 10:00:00 PM,1,0,0,0,1
02/23/2019 09:00:00 PM,0,0,0,0,0
02/23/2019 08:00:00 PM,0,0,0,0,0
02/23/2019 07:00:00 PM,5,0,1,2,2
02/23/2019 06:00:00 PM,9,4,3,1,1
02/23/2019 05:00:00 PM,37,3,12,17,5
02/23/2019 04:00:00 PM,59,17,17,18,7
02/23/2019 03:00:00 PM,57,17,17,11,12
02/23/2019 02:00:00 PM,84,18,14,25,27
02/23/2019 01:00:00 PM,76,13,20,22,21
02/23/2019 12:00:00 PM,111,19,27,40,25
02/23/2019 11:00:00 AM,110,34,27,20,29
02/23/2019 10:00:00 AM,109,30,27,15,37
02/23/2019 09:00:00 AM,90,40,28,6,16
02/23/2019 08:00:00 AM,57,16,29,6,6
02/23/2019 07:00:00 AM,18,9,4,0,5
02/23/2019 06:00:00 AM,6,2,2,2,0
02/23/2019 05:00:00 AM,0,0,0,0,0
02/23/2019 04:00:00 AM,0,0,0,0,0
02/23/2019 03:00:00 AM,0,0,0,0,0
02/23/2019 02:00:00 AM,0,0,0,0,0
02/23/2019 01:00:00 AM,0,0,0,0,0
02/23/2019 12:00:00 AM,0,0,0,0,0
02/22/2019 11:00:00 PM,0,0,0,0,0
02/22/2019 10:00:00 PM,2,0,0,0,2
02/22/2019 09:00:00 PM,1,0,0,0,1
02/22/2019 08:00:00 PM,1,0,0,0,1
02/22/2019 07:00:00 PM,11,0,3,0,8
02/22/2019 06:00:00 PM,26,4,3,8,11
02/22/2019 05:00:00 PM,32,7,4,3,18
02/22/2019 04:00:00 PM,63,16,17,9,21
02/22/2019 03:00:00 PM,23,6,4,5,8
02/22/2019 02:00:00 PM,13,2,1,3,7
02/22/2019 01:00:00 PM,17,6,8,0,3
02/22/2019 12:00:00 PM,10,4,4,1,1
02/22/2019 11:00:00 AM,40,15,19,4,2
02/22/2019 10:00:00 AM,34,13,9,6,6
02/22/2019 09:00:00 AM,41,11,10,11,9
02/22/2019 08:00:00 AM,46,6,7,26,7
02/22/2019 07:00:00 AM,28,6,4,15,3
02/22/2019 06:00:00 AM,16,1,1,10,4
02/22/2019 05:00:00 AM,3,0,0,3,0
02/22/2019 04:00:00 AM,1,0,0,1,0
02/22/2019 03:00:00 AM,2,0,0,1,1
02/22/2019 02:00:00 AM,0,0,0,0,0
02/22/2019 01:00:00 AM,0,0,0,0,0
02/22/2019 12:00:00 AM,0,0,0,0,0
02/21/2019 11:00:00 PM,3,3,0,0,0
02/21/2019 10:00:00 PM,2,0,0,2,0
02/21/2019 09:00:00 PM,3,0,0,1,2
02/21/2019 08:00:00 PM,8,0,0,3,5
02/21/2019 07:00:00 PM,8,0,2,2,4
02/21/2019 06:00:00 PM,60,7,5,18,30
02/21/2019 05:00:00 PM,86,11,12,24,39
02/21/2019 04:00:00 PM,85,6,11,25,43
02/21/2019 03:00:00 PM,100,25,22,19,34
02/21/2019 02:00:00 PM,75,8,18,25,24
02/21/2019 01:00:00 PM,76,12,16,22,26
02/21/2019 12:00:00 PM,63,21,18,10,14
02/21/2019 11:00:00 AM,55,12,16,11,16
02/21/2019 10:00:00 AM,34,8,13,6,7
02/21/2019 09:00:00 AM,50,11,9,18,12
02/21/2019 08:00:00 AM,62,8,8,31,15
02/21/2019 07:00:00 AM,37,3,7,23,4
02/21/2019 06:00:00 AM,15,2,2,7,4
02/21/2019 05:00:00 AM,3,1,0,2,0
02/21/2019 04:00:00 AM,0,0,0,0,0
02/21/2019 03:00:00 AM,2,0,0,1,1
02/21/2019 02:00:00 AM,0,0,0,0,0
02/21/2019 01:00:00 AM,0,0,0,0,0
02/21/2019 12:00:00 AM,0,0,0,0,0
02/20/2019 11:00:00 PM,0,0,0,0,0
02/20/2019 10:00:00 PM,1,0,0,1,0
02/20/2019 09:00:00 PM,6,1,1,1,3
02/20/2019 08:00:00 PM,5,1,1,0,3
02/20/2019 07:00:00 PM,14,1,3,5,5
02/20/2019 06:00:00 PM,41,4,3,7,27
02/20/2019 05:00:00 PM,72,11,14,12,35
02/20/2019 04:00:00 PM,56,12,13,11,20
02/20/2019 03:00:00 PM,45,14,7,8,16
02/20/2019 02:00:00 PM,38,13,8,9,8
02/20/2019 01:00:00 PM,25,6,6,8,5
02/20/2019 12:00:00 PM,27,7,5,5,10
02/20/2019 11:00:00 AM,32,8,11,6,7
02/20/2019 10:00:00 AM,31,6,11,11,3
02/20/2019 09:00:00 AM,44,9,9,19,7
02/20/2019 08:00:00 AM,56,11,8,29,8
