Date,Elliott Bay Trail in Myrtle Edwards Park Total,Ped North,Ped South,Bike North,Bike South
02/28/2019 11:00:00 PM,14,0,3,3,8
02/28/2019 10:00:00 PM,8,2,2,1,3
02/28/2019 09:00:00 PM,17,1,3,8,5
02/28/2019 08:00:00 PM,30,8,9,9,4
02/28/2019 07:00:00 PM,111,24,30,41,16
02/28/2019 06:00:00 PM,195,58,69,49,19
02/28/2019 05:00:00 PM,409,119,112,119,59
02/28/2019 04:00:00 PM,586,397,102,57,30
02/28/2019 03:00:00 PM,507,385,72,23,27
02/28/2019 02:00:00 PM,606,470,82,20,34
02/28/2019 01:00:00 PM,321,207,89,10,15
02/28/2019 12:00:00 PM,322,144,142,23,13
02/28/2019 11:00:00 AM,175,72,69,17,17
02/28/2019 10:00:00 AM,102,35,36,11,20
02/28/2019 09:00:00 AM,119,25,31,12,51
02/28/2019 08:00:00 AM,201,38,55,30,78
02/28/2019 07:00:00 AM,174,46,54,30,44
02/28/2019 06:00:00 AM,112,45,27,17,23
02/28/2019 05:00:00 AM,28,7,4,5,12
02/28/2019 04:00:00 AM,1,0,1,0,0
02/28/2019 03:00:00 AM,1,0,0,0,1
02/28/2019 02:00:00 AM,1,0,0,1,0
02/28/2019 01:00:00 AM,1,0,0,0,1
02/28/2019 12:00:00 AM,1,0,0,0,1
02/27/2019 11:00:00 PM,5,1,1,2,1
02/27/2019 10:00:00 PM,9,3,3,3,0
02/27/2019 09:00:00 PM,7,2,1,3,1
02/27/2019 08:00:00 PM,25,7,5,10,3
02/27/2019 07:00:00 PM,57,16,17,19,5
02/27/2019 06:00:00 PM,131,27,37,52,15
02/27/2019 05:00:00 PM,283,73,65,112,33
02/27/2019 04:00:00 PM,178,45,54,53,26
02/27/2019 03:00:00 PM,95,39,30,14,12
02/27/2019 02:00:00 PM,106,36,49,9,12
02/27/2019 01:00:00 PM,109,45,45,11,8
02/27/2019 12:00:00 PM,169,78,75,11,5
02/27/2019 11:00:00 AM,79,33,33,7,6
02/27/2019 10:00:00 AM,56,24,20,3,9
02/27/2019 09:00:00 AM,109,23,28,10,48
02/27/2019 08:00:00 AM,173,25,37,22,89
02/27/2019 07:00:00 AM,200,45,62,26,67
02/27/2019 06:00:00 AM,92,37,24,15,16
02/27/2019 05:00:00 AM,21,6,4,3,8
02/27/2019 04:00:00 AM,2,1,1,0,0
02/27/2019 03:00:00 AM,3,1,1,0,1
02/27/2019 02:00:00 AM,1,0,0,1,0
02/27/2019 01:00:00 AM,3,0,1,1,1
02/27/2019 12:00:00 AM,1,0,1,0,0
02/26/2019 11:00:00 PM,3,2,1,0,0
02/26/2019 10:00:00 PM,13,4,3,2,4
02/26/2019 09:00:00 PM,7,4,1,1,1
02/26/2019 08:00:00 PM,19,6,3,7,3
02/26/2019 07:00:00 PM,46,12,17,14,3
02/26/2019 06:00:00 PM,180,53,60,51,16
02/26/2019 05:00:00 PM,413,158,99,117,39
02/26/2019 04:00:00 PM,866,684,80,61,41
02/26/2019 03:00:00 PM,392,283,54,36,19
02/26/2019 02:00:00 PM,249,126,78,25,20
02/26/2019 01:00:00 PM,326,203,105,9,9
02/26/2019 12:00:00 PM,271,124,125,11,11
02/26/2019 11:00:00 AM,137,59,49,13,16
02/26/2019 10:00:00 AM,92,34,39,10,9
02/26/2019 09:00:00 AM,145,33,34,22,56
02/26/2019 08:00:00 AM,215,46,52,29,88
02/26/2019 07:00:00 AM,212,53,62,35,62
