Date,Broadway Cycle Track North Of E Union St Total,NB,SB
01/01/2014 12:00:00 AM,2,0,2
01/01/2014 01:00:00 AM,13,3,10
01/01/2014 02:00:00 AM,2,0,2
01/01/2014 03:00:00 AM,0,0,0
01/01/2014 04:00:00 AM,0,0,0
01/01/2014 05:00:00 AM,0,0,0
01/01/2014 06:00:00 AM,2,0,2
01/01/2014 07:00:00 AM,1,0,1
01/01/2014 08:00:00 AM,2,2,0
01/01/2014 09:00:00 AM,0,0,0
01/01/2014 10:00:00 AM,7,5,2
01/01/2014 11:00:00 AM,4,0,4
01/01/2014 12:00:00 PM,8,7,1
01/01/2014 01:00:00 PM,9,4,5
01/01/2014 02:00:00 PM,17,6,11
01/01/2014 03:00:00 PM,12,6,6
01/01/2014 04:00:00 PM,3,1,2
01/01/2014 05:00:00 PM,8,4,4
01/01/2014 06:00:00 PM,5,3,2
01/01/2014 07:00:00 PM,2,0,2
01/01/2014 08:00:00 PM,6,2,4
01/01/2014 09:00:00 PM,4,2,2
01/01/2014 10:00:00 PM,8,4,4
01/01/2014 11:00:00 PM,5,3,2
01/02/2014 12:00:00 AM,0,0,0
01/02/2014 01:00:00 AM,0,0,0
01/02/2014 02:00:00 AM,0,0,0
01/02/2014 03:00:00 AM,0,0,0
01/02/2014 04:00:00 AM,0,0,0
01/02/2014 05:00:00 AM,8,0,8
01/02/2014 06:00:00 AM,10,4,6
01/02/2014 07:00:00 AM,9,5,4
01/02/2014 08:00:00 AM,9,7,2
01/02/2014 09:00:00 AM,13,9,4
01/02/2014 10:00:00 AM,11,9,2
01/02/2014 11:00:00 AM,7,2,5
01/02/2014 12:00:00 PM,16,8,8
01/02/2014 01:00:00 PM,10,5,5
01/02/2014 02:00:00 PM,4,0,4
01/02/2014 03:00:00 PM,8,2,6
01/02/2014 04:00:00 PM,5,3,2
01/02/2014 05:00:00 PM,16,12,4
01/02/2014 06:00:00 PM,24,14,10
01/02/2014 07:00:00 PM,14,10,4
01/02/2014 08:00:00 PM,12,8,4
01/02/2014 09:00:00 PM,7,4,3
01/02/2014 10:00:00 PM,4,2,2
01/02/2014 11:00:00 PM,2,2,0
01/03/2014 12:00:00 AM,4,4,0
01/03/2014 01:00:00 AM,4,4,0
01/03/2014 02:00:00 AM,0,0,0
01/03/2014 03:00:00 AM,0,0,0
01/03/2014 04:00:00 AM,0,0,0
01/03/2014 05:00:00 AM,6,0,6
01/03/2014 06:00:00 AM,8,7,1
01/03/2014 07:00:00 AM,5,3,2
01/03/2014 08:00:00 AM,13,5,8
01/03/2014 09:00:00 AM,13,9,4
01/03/2014 10:00:00 AM,11,7,4
01/03/2014 11:00:00 AM,4,2,2
01/03/2014 12:00:00 PM,7,5,2
01/03/2014 01:00:00 PM,11,3,8
01/03/2014 02:00:00 PM,11,10,1
01/03/2014 03:00:00 PM,11,9,2
01/03/2014 04:00:00 PM,26,14,12
01/03/2014 05:00:00 PM,17,15,2
01/03/2014 06:00:00 PM,25,13,12
01/03/2014 07:00:00 PM,9,7,2
01/03/2014 08:00:00 PM,2,2,0
01/03/2014 09:00:00 PM,2,0,2
01/03/2014 10:00:00 PM,3,3,0
01/03/2014 11:00:00 PM,5,5,0
01/04/2014 12:00:00 AM,3,3,0
01/04/2014 01:00:00 AM,7,7,0
01/04/2014 02:00:00 AM,3,1,2
01/04/2014 03:00:00 AM,0,0,0
01/04/2014 04:00:00 AM,0,0,0
01/04/2014 05:00:00 AM,2,0,2
01/04/2014 06:00:00 AM,10,6,4
01/04/2014 07:00:00 AM,3,3,0
01/04/2014 08:00:00 AM,3,0,3
01/04/2014 09:00:00 AM,9,7,2
01/04/2014 10:00:00 AM,2,0,2
01/04/2014 11:00:00 AM,7,5,2
01/04/2014 12:00:00 PM,8,4,4
01/04/2014 01:00:00 PM,7,4,3
01/04/2014 02:00:00 PM,16,8,8
01/04/2014 03:00:00 PM,17,13,4
01/04/2014 04:00:00 PM,16,10,6
01/04/2014 05:00:00 PM,10,6,4
01/04/2014 06:00:00 PM,9,5,4
01/04/2014 07:00:00 PM,6,0,6
01/04/2014 08:00:00 PM,6,4,2
01/04/2014 09:00:00 PM,7,5,2
01/04/2014 10:00:00 PM,2,2,0
01/04/2014 11:00:00 PM,8,2,6
01/05/2014 12:00:00 AM,4,2,2
01/05/2014 01:00:00 AM,4,0,4
01/05/2014 02:00:00 AM,2,2,0
01/05/2014 03:00:00 AM,0,0,0
01/05/2014 04:00:00 AM,0,0,0
01/05/2014 05:00:00 AM,0,0,0
01/05/2014 06:00:00 AM,4,2,2
01/05/2014 07:00:00 AM,4,4,0
01/05/2014 08:00:00 AM,1,1,0
01/05/2014 09:00:00 AM,2,2,0
01/05/2014 10:00:00 AM,6,6,0
01/05/2014 11:00:00 AM,13,8,5
01/05/2014 12:00:00 PM,10,6,4
01/05/2014 01:00:00 PM,19,8,11
01/05/2014 02:00:00 PM,27,16,11
01/05/2014 03:00:00 PM,19,16,3
01/05/2014 04:00:00 PM,20,12,8
01/05/2014 05:00:00 PM,8,4,4
01/05/2014 06:00:00 PM,11,5,6
01/05/2014 07:00:00 PM,8,4,4
01/05/2014 08:00:00 PM,7,4,3
01/05/2014 09:00:00 PM,8,5,3
01/05/2014 10:00:00 PM,7,1,6
01/05/2014 11:00:00 PM,4,2,2
01/06/2014 12:00:00 AM,2,2,0
01/06/2014 01:00:00 AM,2,0,2
01/06/2014 02:00:00 AM,0,0,0
01/06/2014 03:00:00 AM,0,0,0
01/06/2014 04:00:00 AM,0,0,0
01/06/2014 05:00:00 AM,7,0,7
01/06/2014 06:00:00 AM,5,1,4
01/06/2014 07:00:00 AM,20,9,11
01/06/2014 08:00:00 AM,10,5,5
01/06/2014 09:00:00 AM,18,9,9
01/06/2014 10:00:00 AM,37,12,25
01/06/2014 11:00:00 AM,8,4,4
01/06/2014 12:00:00 PM,17,2,15
01/06/2014 01:00:00 PM,21,15,6
01/06/2014 02:00:00 PM,14,5,9
