tconst,title_type,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes,christmas,hanukkah,kwanzaa,holiday
tt0020356,movie,Sailor's Holiday,Sailor's Holiday,1929,58,Comedy,sailors holiday,5.4,55,FALSE,FALSE,FALSE,TRUE
tt0020823,movie,The Devil's Holiday,The Devil's Holiday,1930,80,"Drama,Romance",the devils holiday,6,242,FALSE,FALSE,FALSE,TRUE
tt0020985,movie,Holiday,Holiday,1930,91,"Comedy,Drama",holiday,6.3,638,FALSE,FALSE,FALSE,TRUE
tt0021268,movie,Holiday of St. Jorgen,Prazdnik svyatogo Yorgena,1930,83,Comedy,holiday of st jorgen,7.4,256,FALSE,FALSE,FALSE,TRUE
tt0021377,movie,Sin Takes a Holiday,Sin Takes a Holiday,1930,81,"Comedy,Romance",sin takes a holiday,6.1,740,FALSE,FALSE,FALSE,TRUE
tt0021381,movie,Sinners' Holiday,Sinners' Holiday,1930,60,"Adventure,Crime,Romance",sinners holiday,6.3,688,FALSE,FALSE,FALSE,TRUE
tt0023039,movie,Husband's Holiday,Husband's Holiday,1931,70,Drama,husbands holiday,6.4,27,FALSE,FALSE,FALSE,TRUE
tt0024869,movie,Beggar's Holiday,Beggar's Holiday,1934,60,"Crime,Drama,Romance",beggars holiday,5.6,15,FALSE,FALSE,FALSE,TRUE
tt0025006,movie,Cowboy Holiday,Cowboy Holiday,1934,56,Western,cowboy holiday,4.8,74,FALSE,FALSE,FALSE,TRUE
tt0025037,movie,Death Takes a Holiday,Death Takes a Holiday,1934,79,"Drama,Fantasy,Romance",death takes a holiday,6.9,2361,FALSE,FALSE,FALSE,TRUE
tt0027456,movie,College Holiday,College Holiday,1936,86,"Comedy,Musical,Romance",college holiday,5.7,190,FALSE,FALSE,FALSE,TRUE
tt0027923,movie,Mad Holiday,Mad Holiday,1936,71,"Comedy,Mystery,Romance",mad holiday,6,212,FALSE,FALSE,FALSE,TRUE
tt0028310,movie,Stolen Holiday,Stolen Holiday,1937,80,"Drama,Romance",stolen holiday,6.3,615,FALSE,FALSE,FALSE,TRUE
tt0028576,movie,Angel's Holiday,Angel's Holiday,1937,76,"Comedy,Crime,Mystery",angels holiday,6.4,32,FALSE,FALSE,FALSE,TRUE
tt0028763,movie,Dangerous Holiday,Dangerous Holiday,1937,58,Drama,dangerous holiday,5.8,57,FALSE,FALSE,FALSE,TRUE
tt0028843,movie,Every Day's a Holiday,Every Day's a Holiday,1937,79,"Comedy,Musical",every days a holiday,6.2,466,FALSE,FALSE,FALSE,TRUE
tt0029894,movie,Bank Holiday,Bank Holiday,1938,86,"Comedy,Drama",bank holiday,6.4,530,FALSE,FALSE,FALSE,TRUE
tt0029992,movie,A Christmas Carol,A Christmas Carol,1938,69,"Drama,Family,Fantasy",a christmas carol,7.5,8312,TRUE,FALSE,FALSE,FALSE
tt0030027,movie,Crime Takes a Holiday,Crime Takes a Holiday,1938,59,"Action,Crime,Drama",crime takes a holiday,6.5,25,FALSE,FALSE,FALSE,TRUE
tt0030241,movie,Holiday,Holiday,1938,95,"Comedy,Romance",holiday,7.7,17619,FALSE,FALSE,FALSE,TRUE
tt0030897,movie,Tropic Holiday,Tropic Holiday,1938,78,"Comedy,Music,Romance",tropic holiday,5.5,106,FALSE,FALSE,FALSE,TRUE
tt0031490,movie,Inspector Hornleigh on Holiday,Inspector Hornleigh on Holiday,1939,90,"Comedy,Crime,Drama",inspector hornleigh on holiday,6.8,232,FALSE,FALSE,FALSE,TRUE
tt0032338,movie,Christmas in July,Christmas in July,1940,67,"Comedy,Drama,Romance",christmas in july,7.4,4172,TRUE,FALSE,FALSE,FALSE
tt0034862,movie,Holiday Inn,Holiday Inn,1942,100,"Comedy,Drama,Music",holiday inn,7.3,16722,FALSE,FALSE,FALSE,TRUE
tt0036014,movie,Hoosier Holiday,Hoosier Holiday,1943,65,"Comedy,Music,Romance",hoosier holiday,6.7,19,FALSE,FALSE,FALSE,TRUE
tt0036711,movie,Christmas Holiday,Christmas Holiday,1944,93,"Crime,Drama,Film-Noir",christmas holiday,6.5,1583,TRUE,FALSE,FALSE,TRUE
tt0036988,movie,Knickerbocker Holiday,Knickerbocker Holiday,1944,85,"Comedy,History,Musical",knickerbocker holiday,5.3,196,FALSE,FALSE,FALSE,TRUE
tt0037242,movie,Sailor's Holiday,Sailor's Holiday,1944,60,"Comedy,Romance,War",sailors holiday,6,21,FALSE,FALSE,FALSE,TRUE
tt0037595,movie,Christmas in Connecticut,Christmas in Connecticut,1945,101,"Comedy,Romance",christmas in connecticut,7.3,11196,TRUE,FALSE,FALSE,FALSE
tt0038125,movie,Strange Holiday,Strange Holiday,1945,61,"Drama,Thriller",strange holiday,5.4,239,FALSE,FALSE,FALSE,TRUE
tt0038606,movie,Holiday in Mexico,Holiday in Mexico,1946,128,"Comedy,Musical,Romance",holiday in mexico,6.1,490,FALSE,FALSE,FALSE,TRUE
tt0038833,movie,Perilous Holiday,Perilous Holiday,1946,89,"Crime,Drama",perilous holiday,6,33,FALSE,FALSE,FALSE,TRUE
tt0039203,movie,Blondie's Holiday,Blondie's Holiday,1947,67,"Comedy,Family",blondies holiday,6.5,195,FALSE,FALSE,FALSE,TRUE
tt0039231,movie,Bush Christmas,Bush Christmas,1947,80,"Action,Adventure,Comedy",bush christmas,6.2,515,TRUE,FALSE,FALSE,FALSE
tt0039266,movie,Christmas Eve,Christmas Eve,1947,90,"Comedy,Drama",christmas eve,5.7,805,TRUE,FALSE,FALSE,FALSE
tt0039473,movie,Hoppy's Holiday,Hoppy's Holiday,1947,60,Western,hoppys holiday,6.5,148,FALSE,FALSE,FALSE,TRUE
tt0039562,movie,A Christmas Carol,Leyenda de Navidad,1947,80,"Drama,Fantasy",a christmas carol,5.4,32,TRUE,FALSE,FALSE,FALSE
tt0040443,movie,Holiday Camp,Holiday Camp,1947,93,"Adventure,Comedy,Crime",holiday camp,6.6,537,FALSE,FALSE,FALSE,TRUE
tt0040848,movie,Summer Holiday,Summer Holiday,1948,93,Musical,summer holiday,5.8,638,FALSE,FALSE,FALSE,TRUE
tt0041099,movie,Holidays in Hell,Agaza fel gahannam,1949,NA,NA,holidays in hell,5.9,19,FALSE,FALSE,FALSE,TRUE
tt0041473,movie,Holiday Affair,Holiday Affair,1949,87,"Comedy,Drama,Family",holiday affair,7.1,6591,FALSE,FALSE,FALSE,TRUE
tt0041475,movie,Holiday in Havana,Holiday in Havana,1949,73,"Comedy,Musical",holiday in havana,5.9,125,FALSE,FALSE,FALSE,TRUE
tt0041528,movie,Johnny Holiday,Johnny Holiday,1949,92,"Crime,Drama,Film-Noir",johnny holiday,7.3,104,FALSE,FALSE,FALSE,TRUE
tt0042568,movie,Holiday Rhythm,Holiday Rhythm,1950,60,Musical,holiday rhythm,6.6,34,FALSE,FALSE,FALSE,TRUE
tt0042665,movie,Last Holiday,Last Holiday,1950,88,"Drama,Romance",last holiday,7.3,2067,FALSE,FALSE,FALSE,TRUE
tt0044008,movie,A Christmas Carol,Scrooge,1951,86,"Drama,Family,Fantasy",a christmas carol,8.1,24671,TRUE,FALSE,FALSE,FALSE
tt0044708,movie,Holiday Week,Hindle Wakes,1952,82,"Drama,Romance",holiday week,6.1,206,FALSE,FALSE,FALSE,TRUE
tt0044715,movie,Holiday for Sinners,Holiday for Sinners,1952,72,Drama,holiday for sinners,5.9,184,FALSE,FALSE,FALSE,TRUE
tt0046250,movie,Roman Holiday,Roman Holiday,1953,118,"Comedy,Romance",roman holiday,8,145289,FALSE,FALSE,FALSE,TRUE
tt0046487,movie,Monsieur Hulot's Holiday,Les vacances de Monsieur Hulot,1953,114,Comedy,monsieur hulots holiday,7.3,19875,FALSE,FALSE,FALSE,TRUE
tt0047673,movie,White Christmas,White Christmas,1954,120,"Comedy,Musical,Romance",white christmas,7.6,47688,TRUE,FALSE,FALSE,FALSE
tt0047939,movie,Cinerama Holiday,Cinerama Holiday,1955,119,Documentary,cinerama holiday,7.3,142,FALSE,FALSE,FALSE,TRUE
tt0048104,movie,Holiday for Henrietta,La fête à Henriette,1952,118,Comedy,holiday for henrietta,7.4,391,FALSE,FALSE,FALSE,TRUE
tt0051147,movie,Holiday Island,Vacanze a Ischia,1957,105,"Comedy,Romance",holiday island,6.1,70,FALSE,FALSE,FALSE,TRUE
tt0051493,movie,Country Music Holiday,Country Music Holiday,1958,81,"Music,Romance",country music holiday,5.9,82,FALSE,FALSE,FALSE,TRUE
tt0052047,movie,Paris Holiday,Paris Holiday,1958,103,"Action,Comedy,Romance",paris holiday,5.7,513,FALSE,FALSE,FALSE,TRUE
tt0052284,movie,"At That Time, at Christmas...",Tenkrát o vánocích,1958,85,"Drama,War",at that time at christmas,6.5,20,TRUE,FALSE,FALSE,FALSE
tt0052897,movie,Holiday for Lovers,Holiday for Lovers,1959,103,Comedy,holiday for lovers,5.6,426,FALSE,FALSE,FALSE,TRUE
tt0054271,movie,Holiday in Spain,Scent of Mystery,1960,125,"Adventure,Crime,Mystery",holiday in spain,5.5,399,FALSE,FALSE,FALSE,TRUE
tt0056334,movie,Passion Holiday,Passion Holiday,1963,75,"Comedy,Drama",passion holiday,6.1,12,FALSE,FALSE,FALSE,TRUE
tt0057541,movie,Summer Holiday,Summer Holiday,1963,107,"Comedy,Musical,Romance",summer holiday,6.1,1816,FALSE,FALSE,FALSE,TRUE
tt0057637,movie,The Night Before Christmas,Vechera na khutore bliz Dikanki,1961,68,"Comedy,Fantasy,Romance",the night before christmas,7.5,1934,TRUE,FALSE,FALSE,FALSE
tt0057916,tvMovie,Carol for Another Christmas,Carol for Another Christmas,1964,84,"Drama,Fantasy",carol for another christmas,6.5,1246,TRUE,FALSE,FALSE,FALSE
tt0058197,movie,Holiday in St. Tropez,Holiday in St. Tropez,1964,96,Comedy,holiday in st tropez,5.7,37,FALSE,FALSE,FALSE,TRUE
tt0059004,movie,Every Day Is a Holiday,Cabriola,1965,90,"Comedy,Drama,Musical",every day is a holiday,5.4,70,FALSE,FALSE,FALSE,TRUE
tt0059026,tvMovie,A Charlie Brown Christmas,A Charlie Brown Christmas,1965,25,"Animation,Comedy,Drama",a charlie brown christmas,8.3,42101,TRUE,FALSE,FALSE,FALSE
tt0059032,movie,The Christmas That Almost Wasn't,Il Natale che quasi non fu,1966,94,"Family,Fantasy",the christmas that almost wasnt,3.5,917,TRUE,FALSE,FALSE,FALSE
tt0060236,movie,The Christmas Tree,The Christmas Tree,1966,59,Family,the christmas tree,6.4,168,TRUE,FALSE,FALSE,FALSE
tt0060345,tvMovie,How the Grinch Stole Christmas!,How the Grinch Stole Christmas!,1966,26,"Animation,Comedy,Family",how the grinch stole christmas,8.3,56692,TRUE,FALSE,FALSE,FALSE
tt0061844,movie,The Christmas Kid,The Christmas Kid,1967,85,"Drama,Western",the christmas kid,5.4,66,TRUE,FALSE,FALSE,FALSE
tt0064037,movie,The Christmas Tree,L'arbre de Noël,1969,110,Drama,the christmas tree,6.3,719,TRUE,FALSE,FALSE,FALSE
tt0065040,movie,Strange Holiday,Strange Holiday,1970,75,"Adventure,Family",strange holiday,4.4,85,FALSE,FALSE,FALSE,TRUE
tt0066975,tvMovie,Death Takes a Holiday,Death Takes a Holiday,1971,73,"Drama,Fantasy,Romance",death takes a holiday,7.2,291,FALSE,FALSE,FALSE,TRUE
tt0067209,tvMovie,The Homecoming: A Christmas Story,The Homecoming: A Christmas Story,1971,100,"Drama,Family",the homecoming a christmas story,8.3,2039,TRUE,FALSE,FALSE,FALSE
tt0067400,movie,The Christmas Martian,Le martien de Noël,1971,65,"Family,Sci-Fi",the christmas martian,4.8,186,TRUE,FALSE,FALSE,FALSE
tt0068683,movie,Main Thing Holidays,Hauptsache Ferien,1972,103,Comedy,main thing holidays,4.8,90,FALSE,FALSE,FALSE,TRUE
