language_iso_code,tweet,label,intended_use
amh,አማራ ክልል ፈልቶበታል ልኩን ማስገባት ነው!!! ሙስሊሞችን ጠልቶ 85% ሙስሊሞች በሚኖርባት ኦሮምያ ጋር ግንኙነትን አትሰበው !!!,negative,dev
amh,ሰውን አንገት በሚያስደፋ መልኩ ዝም ብሎ ሙድ መያዝ....ስልህ ያ ሰው ምንም ሳያጠፋ.....ተቀባብሎ መሣለቅ,negative,dev
amh,የቤት ውስጥ ጥቃት – ያለሰሚ – ያለተመልካች,negative,dev
amh,Ethiopia ወያኔን ለመጣል ምን ድርሻ ነበራችሁ ? ከወደቀ በኋላ ጉራ ከመንዛት በቀር,negative,dev
amh,ኦሮሞ ምንም ቢማር ከብት ነዉ አያስተዉልም ጥንብ ዘረኛ ናቸዉ,negative,dev
amh,ቲሽ ጨለምተኛ ዱቄት 97 ላይ ቆመሃል እንዴ ጊዜው ነጉዷል 2012 ነው አሉባልታህን ቀቅለህ ብላው ልደቱ እየመጣ ነው,negative,dev
amh,በምዕራብ ኦሮሚያ በሚገኙ በሁለቱ የወለጋ ዞኖች (ምስራቅ ወለጋና ሆሮ ጉዱሩ ወለጋ ዞኖች) የኢንተርኔት እና የስልክ አገልግሎት መቋረጡን የአካባቢው ነዋሪዎች ተናገሩ።…,negative,dev
amh,ያየሰው ሺመልስ ላይ የደረሰው ነገር ያሳዝናል። በቃል ኣላምረውም ላይም በኮ/ን ሃላፊው ንጉሱ ጥላሁ በኩል የግድያ ማስ…,negative,dev
amh,ያልተረጋጋች ሀገር ምርጫ አያስፈልጋትም,negative,dev
amh,ደደቡ እና አረፋው የኢትዮጵያው ጠ/ሚ አብዪ ከኤርትራው ኣያቶላህ ኢሰያስ የወሰደው ምክር consulation እየተጋለጠ ነው  ጀዝባና አረፋ አብዪ የአለም ማ/ሰብን ያታለለ መስሎታል????,negative,dev
amh,????????  እንደዚ ዓይነት ተረት ተረት እስከ ኣሁን ኣለ እንዴ በኢትዮጵያ! ያሳፍራል በጣም::,negative,dev
amh,በአንድ አገር ውስጥ የሚነሳ “የብሄር ጥያቄ” በብሄር ድርጅት ብቻ ሳይሆን በህብረ ብሄር ድርጅት መልስ ሊያገኝ ይችላል። አብዛኛው የብሄር ድርጅቶች ግን ጥያቄውን ከመመለስ ይልቅ በጥያቄው መነገድ ይቀናቸዋል።,negative,dev
amh,የኛ ሰው ከእውቀት ነፃ ነው ሀገራችንን ከሚመራው ሰው ጀምሮ ማጂን በግል ከelemanitary እሰከ Uinversity ድረስ አንደሚያውቃት ሰው መናገር…,negative,dev
amh,Justice በጣም ልክ ነህ ያው ክልሌ  ዞኔ ምናምን እያሉ አድገውኮ ነው ዩኒቨርሲቲ ሲሄዱ ችግር የሚፈጥሩት…,negative,dev
amh,18 ዓመት የሞላኝ ሰዉ ነኝ ዲሞክራሲያዊ መብቴን ተጠቅሜ እምቡር እምቡር ማለት መብቴ ነዉ ????,negative,dev
amh,ፍላጎታችንኮ ገደብ አጣ  ለእግዜርም አልተመቸን,negative,dev
amh,ኧረ! አምላኬ ምንድ ነው ነገሩ ልጆችህ አለቁ ዛሬስ ሳይማሩ።  በመኪና አደጋና በነውጠኞች ህይወትቅቸውን ላጡ ተማሪዎች,negative,dev
amh,: እስርቤት እያለን አንድ ምሁር ስለ ሲሳይ የተናገሩትን መጥቀስ እወዳለሁ  ሲሳይን ተገደህ የምታደንቀው ሰው ነው አንዷለም አራጌ ዲሲ ላይ በተደረገለት የእራት ግብ…,negative,dev
amh,የመኪና አደጋ ነፍጠኛ ሰራሽ አገራዊ አፍራሽነትን መደበቅ አይችልም፤ ይህን ማህበረሰብ ሄደህ ስለመኪና አደጋ ብታወራለት ጆሮ ዳባል…,negative,dev
amh,ግብር ለመክፈል 2 ቀናት ???♀️ ለምን። ይህ አግባብ አይደለም! ለሚመለከተው ሁሉ ???? .... ለማን እንደሚናገር,negative,dev
amh,እንደነዚህ አይነት ደነዞችን በዓለም ላይ ይኖራሉ ብየ በፍፁም አላምንም ነበር። ሆኖም ግን እኛን ኢትዮጵያውያንን አይወክልም፣ እንዴውም እንደ እኔ ከሆነ ለውጣችን አደናቃፊ ግለሰብ…,negative,dev
amh,የኔም ጥያቄ ነው እኮ ?? ወይስ አንድላይ እየኖርን ተለያይተናል ...ሁሉም አፈር ድሜ ሲበላበት በኖርነው ሃገር ላይ ስለ አንድ ብሄር ብቻ እያነሳ የሚያስቡ ከሆነ ....? እስኪ ይሁን,negative,dev
amh,አንተ ነገረኛ ??,negative,dev
amh,ቀሽም ነው እረ ..ለነገሩ ሳይኖር ነው የሞተው,negative,dev
amh,እንዴ ይገርማል እንዴ ይበላት በራሳ የላከችውን ምን ያንጫጫቹሃል ደግ ኣረገ ባደገ ዘመን እንዴህ በወሬ ሰላጣ የምትሆን ካለች ዳኳ ጨምሮ በደንብ መብላት ነው,negative,dev
amh,ማንም የማንንም ሃሳብ ያዢ ያለሽ የለም?????♀️  ሲቀጥል እስክንድርን በትንሽ በትልቁ የምታብጠለጥሉት እናንተ ቀልዳቹሁ እንጨት እንጨት ይላ…,negative,dev
amh,ወላሂ አንተን ቅር ከሚልህ ባለ መቶ ካርድ ቃል እገባለሁ። እባክዎትን ቁጥሩዎን በ DM ይላኩልን?,negative,dev
amh,ዓመቱን ሙሉ ከናንተ የተለየውን መግደል እና ማሳደድ ትታችሁ በየቀኑ አብራችሁ መጨፈር ስትችሉ ለምን በዓመት አንዴ ብቻ,negative,dev
amh,የኦሮሞ ሕዝብ ከሌሎች ብሔር ብሔረሰቦችና ሕዝቦች  ጋር ተከባብሮ እራሱን በራሱ ከማስተዳደርና የመልካም አስተዳደር ችግር ተፈቶለት ከመልማት ውጭ ኦዲፒ ብቻውን የሚመልስለት ምን ጥያቄ ነበረው?,negative,dev
amh,አለበለዚያ ሌላ አዲስ ወያኔ ተሰርቶ ከዘጠኙ ክልል ዘጠና ክልል ይሰራል ያኔ የባህር ?? ሲንድሮም ይለቃል ????,negative,dev
amh,Dave! መውረድ ጥሩ አይደለም!!! ወርቅ የሚያዘንብ መንግስት የለም::,negative,dev
amh,ALARMING NEWS ታዋቂው ፊዚከር ፕሮፌሰር ክራውስ  ደቡብ አፍሪካዊ ቡሽሪም ይሁን ካሜሮናዊው ሃበሻ ሚስት ያለው  ነብይ  ባይ ነኝ  ሁለቱም ሌባ ናቸው ይላሉ…,negative,dev
amh,ልብ እንዳለው ሰው,negative,dev
amh,የአበበ ተካ ዘፈን ሲዘፍን ደስ ብሎኝ ላዳምጠው የምችለው ሰው ዳዊት ጽጌ (ባላገሩ አይዶል) ነው።  ለምንድን ነው አጨመላልቀው መዝፈናቸው ሳያንስ እንደ ደህና ነገር በየመንገዱ በሞንታ…,negative,dev
amh,የዝርፊያ፣የወረራ፣የምንጠራ፣ የግፍ፣ የጭፍጨፋ እና የስደት መንግስት። የድህነት፣ ኋላቀርነት እና ዘረኝነት ፓርቲ።  አዲስአቤው  ሉባ እና ገበሮነትን እንደገና ለ…,negative,dev
amh,እባክህ አፍክን ዝጋ የአማራን አንገት ካስደፋችሁ በኋላ ስለየትኛው አማራ ነው የምታወራው።,negative,dev
