medal,beer_name,brewery,city,state,category,year
Gold,Volksbier Vienna,Wibby Brewing,Longmont,CO,American Amber Lager,2020
Silver,Oktoberfest,Founders Brewing Co.,Grand Rapids,MI,American Amber Lager,2020
Bronze,Amber Lager,Skipping Rock Beer Co.,Staunton,VA,American Amber Lager,2020
Gold,Lager at World's End,Epidemic Ales,Concord,CA,American Lager,2020
Silver,Seismic Tremor,Seismic Brewing Co.,Santa Rosa,CA,American Lager,2020
Bronze,Lite Thinking,Pollyanna Brewing Co.,Lemont,IL,American Lager,2020
Gold,Beachscape,Ventura Coast Brewing Co.,Ventura,CA,American Pilsener,2020
Silver,Imagine a World with Beer Cellars Instead of 401ks,Freetail Brewing Co.,San Antonio,TX,American Pilsener,2020
Bronze,Pilsner,Old Town Brewing,Portland,OR,American Pilsener,2020
Gold,Tank 7,Boulevard Brewing Co.,Kansas City,MO,American-Belgo-Style Ale,2020
Silver,Dear You,Ratio Beerworks,Denver,CO,American-Belgo-Style Ale,2020
Gold,Avalon Amber Ale,Bowigens Beer Co.,Casselberry,FL,American-Style Amber/Red Ale,2020
Silver,Justin's Easy Going Amber,Zuni Street Brewing Co.,Denver,CO,American-Style Amber/Red Ale,2020
Bronze,Paulie's Not Irish,Old Town Brewing,Portland,OR,American-Style Amber/Red Ale,2020
Gold,Wookey Jack,Firestone Walker Brewing Co. - The Propagator,Marina del Rey,CA,American-Style Black Ale or American-Style Stout,2020
Gold,Brown Ale,Second Street Brewery,Santa Fe,NM,American-Style Brown Ale,2020
Silver,Wallops Island,Rocket Frog Brewing Co.,Sterling,VA,American-Style Brown Ale,2020
Bronze,All-American Brown,Auburn Alehouse,Auburn,CA,American-Style Brown Ale,2020
Gold,Moonlite,Moontown Brewing Co.,Whitestown,IN,American-Style Cream Ale,2020
Bronze,Let's Talk About Mex,Cannonball Creek Brewing Co.,Golden,CO,American-Style Cream Ale,2020
Gold,Strawberry Zwickelbier,Twin Sisters Brewing Co.,Bellingham,WA,American-Style Fruit Beer,2020
Silver,Everything But The Seeds,1623 Brewing Co.,Eldersburg,MD,American-Style Fruit Beer,2020
Bronze,"Berry, Berry, Quite Contrary",Territorial Brewing Co.,Springfield,MI,American-Style Fruit Beer,2020
Gold,IPA,Perry Street Brewing,Spokane,WA,American-Style India Pale Ale,2020
Silver,Updrift India Pale Ale,Pelican Brewing Co. - Tillamook,Tillamook,OR,American-Style India Pale Ale,2020
Gold,Featherweight Pale Ale,Cannonball Creek Brewing Co.,Golden,CO,American-Style Pale Ale,2020
Silver,Somewhere Golden,Institution Ale Co.,Camarillo,CA,American-Style Pale Ale,2020
Bronze,Pantsless,Alarmist Brewing,Chicago,IL,American-Style Pale Ale,2020
Gold,Vice Sans Fruit,Wild Barrel Brewing Co.,San Marcos,CA,American-Style Sour Ale,2020
Silver,Mirage,New Terrain Brewing Co.,Golden,CO,American-Style Sour Ale,2020
Gold,Built For Speed,Grains of Wrath Brewing,Camas,WA,American-Style Strong Pale Ale,2020
Silver,Superpower IPA,Comrade Brewing Co.,Denver,CO,American-Style Strong Pale Ale,2020
Bronze,Mai Tai P.A.,Alvarado Street Brewery & Tasting Room,Salinas,CA,American-Style Strong Pale Ale,2020
Gold,Whoopty Whoop Wheat,Wild Ride Brewing,Redmond,OR,American-Style Wheat Beer,2020
Bronze,10 Barrel TWheat,10 Barrel Brewing Co. - Bend Pub,Bend,OR,American-Style Wheat Beer,2020
Gold,Dubbel or Nothing,Monkless Belgian Ales,Bend,OR,Belgian-Style Abbey Ale,2020
Bronze,Lux Mundi,Save The World Brewing Co.,Marble Falls,TX,Belgian-Style Abbey Ale,2020
Silver,Crazy Train,Fretboard Brewing Co.,Blue Ash,OH,Belgian-Style Ale or French-Style Ale,2020
Gold,Funk Yeah,Beachwood Blendery,Long Beach,CA,Belgian-Style Lambic or Sour Ale,2020
Silver,Peche,Block 15 Brewing Co.,Corvallis,OR,Belgian-Style Lambic or Sour Ale,2020
Bronze,Cerise Morte,Wicked Weed - Funk House,Arden,NC,Belgian-Style Lambic or Sour Ale,2020
Gold,Tangible Passion,Riip Beer Co.,Huntington Beach,CA,Belgian-Style Specialty Ale,2020
Silver,Goin' Stag,Cabin Boys Brewery,Tulsa,OK,Belgian-Style Specialty Ale,2020
Bronze,Orange Diva,StillFire Brewing,Suwanee,GA,Belgian-Style Specialty Ale,2020
Gold,Cosmic Sloth,Pinthouse Pizza - South Lamar,Austin,TX,Belgian-Style Strong Specialty Ale,2020
Bronze,Hell Camino Belgian Quad,Dos Desperados Brewery,San Diego,CA,Belgian-Style Strong Specialty Ale,2020
Gold,White,Allagash Brewing Co.,Portland,ME,Belgian-Style Witbier,2020
Silver,Boeman Belgian White,Ogopogo Brewing,San Gabriel,CA,Belgian-Style Witbier,2020
Bronze,Wolk,Lock 27 Brewing,Centerville,OH,Belgian-Style Witbier,2020
Gold,Chuckanut Maibock,Chuckanut Brewery - North Nut,Bellingham,WA,Bock,2020
Silver,Maibock,NoDa Brewing Co. - NE,Charlotte,NC,Bock,2020
Bronze,Skool House Bock,Moontown Brewing Co.,Whitestown,IN,Bock,2020
Gold,Perle Haggard,Ex Novo Brewing Co.,Portland,OR,Bohemian-Style Pilsener,2020
Silver,Fortune &amp; Glory,Precarious Beer Project - Precarious Beer Hall,Williamsburg,VA,Bohemian-Style Pilsener,2020
Bronze,Tres Tres,Ocean Beach Brewery,San Diego,CA,Bohemian-Style Pilsener,2020
Gold,Bottle Conditioned Day Drinker,Lost Forty Brewing,Little Rock,AR,Brett Beer,2020
Bronze,Saison de Walt,Flix Brewhouse,Carmel,IN,Brett Beer,2020
Gold,Brown Claw,Kern River Brewing Co.,Kernville,CA,Brown Porter,2020
Bronze,Old Normal,Bend Brewing Co.,Bend,OR,Brown Porter,2020
Silver,Poblano Pils,CervecerC3=ADa Colorado,Denver,CO,Chili Beer,2020
Bronze,Hatch Chile Gatos,Fate Brewing Co.,Scottsdale,AZ,Chili Beer,2020
Gold,Weapon of Mash Destruction,Main & Six Brewing Co.,Jacksonville,FL,Chocolate Beer,2020
Bronze,Von Schrag,Mother's Brewing Co.,Springfield,MO,Chocolate Beer,2020
Gold,Beyond the Gnome World,Silver Branch Brewing Co.,Silver Spring,MD,Classic Saison,2020
Silver,Tomorrow's Verse,Urban Roots Brewing &amp; Smokehouse,Sacramento,CA,Classic Saison,2020
Bronze,Meadowlark,Metazoa Brewing Co. - Taproom,Indianapolis,IN,Classic Saison,2020
Gold,Daybreak,Wolf's Ridge Brewing - Production Operations,Columbus,OH,Coffee Beer,2020
Silver,Golden Stout,Karl Strauss Brewing Co. - Anaheim,Anaheim,CA,Coffee Beer,2020
Bronze,BJ's Coffee Blonde,BJ's Restaurant & Brewery - Reno,Reno,NV,Coffee Beer,2020
Gold,Super Tonic,Docent Brewing,San Juan Capistrano,CA,Coffee Stout or Porter,2020
Silver,The Riizzo,Riip Beer Co.,Huntington Beach,CA,Coffee Stout or Porter,2020
Bronze,Venti is Large,Hop Dogma Brewing Co.,Half Moon Bay,CA,Coffee Stout or Porter,2020
Gold,Cruise to Nowhere,Town Brewing Co.,Charlotte,NC,Contemporary Gose,2020
Silver,Haole Punch,Alvarado Street Brewery & Grill,Monterey,CA,Contemporary Gose,2020
Bronze,Steady As She Gose - P.O.G.,Big Ugly Brewing,Chesapeake,VA,Contemporary Gose,2020
Silver,The Prince of DORTness,Quarter Celtic Brewpub,Albuquerque,NM,Dortmunder or German-Style Oktoberfest,2020
Bronze,Funfest,Bootlegger's Brewery,Fullerton,CA,Dortmunder or German-Style Oktoberfest,2020
Gold,Proper Beer,Proper Brewing Co.,Salt Lake City,UT,English Ale,2020
Silver,Summer Lovin',Blue Mountain Brewery,Afton,VA,English Ale,2020
Bronze,Uncle Dave's,Discretion Brewing,Soquel,CA,English Ale,2020
Gold,Deep Roots,Three Weavers Brewing Co.,Inglewood,CA,English Mild or Bitter,2020
