talk_title,speaker_name,track,description,yt_url
A future of data science,Allen Downey,Keynote,"In the hype cycle of data science, I suggest that the ""peak of inflated expectations"" was in 2012, the ""trough of disillusionment"" was in 2016, and since then, we have climbed the ""slope of enlightenment"". Now, as we approach the ""plateau of productivity"", it's a good time to figure out how we got here and what future we want. Can we use data to answer questions, resolve debates, and make better decisions? What tools and processes make data science work? What can we learn when it does, and what goes wrong when it doesn't? In this talk, I will present my answers, and then I would like to hear yours.",https://youtu.be/YKMZIzYBgTk
"Beyond Dashboards: Dynamic Data Storytelling with Python, R, and Quarto Emails",Sean Nguyen,Automated Reporting With Quarto: Beyond Copy And Paste,"In this talk, I’ll confront the traditional dependence on dashboards for business intelligence, pointing out their shortcomings in delivering prompt insights to business professionals. I will propose a shift in strategy that employs Python and R to generate dynamic, customized emails, utilizing Quarto and Posit Connect for seamless automation. This technique guarantees direct and effective delivery of actionable insights to users' inboxes, enhancing informed decision-making and boosting engagement. This recommendation not only redefines the method of data delivery for optimal impact but also prompts a fundamental change in mindset among data practitioners, urging them towards a more engaged and individualized form of data narration.",https://youtu.be/fzykFa6c3LI
"Quarto, AI, and the Art of Getting Your Life Back",Tyler Morgan-Wall,Automated Reporting With Quarto: Beyond Copy And Paste,"Tired of endless server issues and maintenance headaches? Want to reclaim your time for coding, writing, and creating? Join me as I share my journey of switching from the server-based headaches of WordPress to Quarto with a little help from AI. In this talk, I’ll describe the simple trick I used to convert an existing WordPress blog—complete with custom scripts, styles, and beautiful 3D data viz content—into a slick Quarto site. I'll then demonstrate some lesser-known features of Quarto to automate deploying a website entirely from a Quarto project file. Finally, I’ll show you how I used AI to customize and style my new Quarto site and provide several useful strategies to employ if you decide to get some help from AI on your own Quarto journey.",https://youtu.be/U8_Dc_ru8fg
Creating reproducible static reports,Orla Doyle,Automated Reporting With Quarto: Beyond Copy And Paste,"This talk has also be presented under the title ""Automated Reporting With Quarto: Beyond Copy And Paste"". In clinical trials, we work in interdisciplinary teams where the discussion of outputs is often facilitated using static documents. We wanted to bring the advantages of modern tools (R, markdown, git) and software development practices to the production of company documents. We used an object-oriented approach to create classes for report items with a suite of tests. Finally, the report is rendered programmatically in docx format using a company template. This enables our statisticians to work in a truly end-to-end fashion within a GxP environment with the end product in a format suitable for interdisciplinary collaboration. We are currently piloting this package internally before we release it in the open-source community.",https://youtu.be/HoTl0oYUX3c
Quarto: A Multifaceted Publishing Powerhouse for Medical Researchers,Joshua Cook,Automated Reporting With Quarto: Beyond Copy And Paste,"Traditional medical research dissemination is slow and cumbersome, often culminating in a diverse array of outputs: reports for our sponsors and regulators, manuscripts for peer-reviewed journals, summaries for online platforms, and presentations for conferences. However, it takes a great deal of time and effort to organize all these outputs so that our findings can enter the patient setting. Quarto can change that. It's a tool that lets us efficiently create various polished formats from a single source while meeting diverse submission requirements. This talk will showcase how Quarto can revolutionize our communication, making research more impactful and speeding up the delivery of treatments to our patients.",https://youtu.be/PITfti4JRiU
"Adequate Tables? No, We Want Great Tables.",Richard Iannone,Beautiful And Effective Tables,"Tables are great, and we’ve been doing a lot on both the R and Python sides to make it possible to generate aesthetically pleasing tables. The gt package for R has been under continuous development for six years, and there are still so many things we can do to make it better. Great Tables, our new Python package, brings beautiful tables to Python users and provides an API that’s in tune with that ecosystem. 

 While we have made great strides and unlocked new table-making possibilities for our users, our ambitions are huge! So, we’d like to show you the state of things on this front and also where we intend to go with our collective table efforts.",https://youtu.be/JRW2jm8aNiI
Context is King,Shannon Pileggi,Beautiful And Effective Tables,"The quality of data science insights is predicated on the practitioner’s understanding of the data. Data documentation is the key to unlocking this understanding; with minimal effort, this documentation can be natively embedded in R data frames via variable labels. Variable labels seamlessly provide valuable data context that reduces human error, fosters collaboration, and ultimately elevates the overall data analysis experience. As an avid, daily user of variable labels, I am excited to help you discover new workflows to create and leverage variable labels in R!",https://youtu.be/eoI9QZdHBMw
gtsummary: Streamlining Summary Tables for Research and Regulatory Submissions,Daniel Sjoberg,Beautiful And Effective Tables,"The gtsummary R package empowers researchers and analysts to create publication-ready summary tables efficiently. Developed at Memorial Sloan Kettering Cancer Center, it quickly gained traction and has become the most downloaded package for summary tables on CRAN. 2024 marked a significant expansion for gtsummary. A comprehensive codebase update enhanced performance and introduced new features. Further, the adoption of CDISC’s Analysis Results Data standard enables compliance with emerging FDA submissions standards, maintaining relevance for various research and regulatory needs. gtsummary offers a robust solution for generating clear, informative tables, saving time, and ensuring quality for researchers and analysts across diverse fields.",https://youtu.be/oYA_DXzN40A
Stitch by Stitch: The Art of Engaging New Users,Becca Krouse,Beautiful And Effective Tables,"In the world of crochet, the Woobles kit simplifies yarn, hooks, and stitches for beginners, alleviating decision fatigue and fostering early success. This model unexpectedly extends to the domain of R. Newcomers, especially in industries less familiar with open-source, may find mastering new tools daunting. We grappled with this while developing {tfrmt}, a table-making package for pharma. This talk will draw parallels with crochet to explore strategies for engaging and retaining new users. Attendees will grasp the role of a starter kit for easing the learning curve and the value of nurturing experts with transferable skills. They'll glean insights to support their own audiences, whether in creating an R package or crafting a cuddly unicorn.",https://youtu.be/R3VMij_1aSE
Open Source Software in Action: Expanding the Spatial Equity Data Tool,Gabriel Morrison,Data Science Case Studies,"The Urban Institute’s Spatial Equity Data Tool enables users to upload their own data and quickly assess whether place-based programs and resources—such as libraries or Wi-Fi hotspots—are equitably distributed across neighborhoods and demographic groups. Our (forthcoming) API and R package also enable users to seamlessly incorporate equity analytics into existing workflows and exciting new tools. 

 In this talk, I will share how we've expanded access to the tool using multi-language software. I'll discuss our updates to Python-based tool and API; R package wrapping the API; and Quarto-based documentation. I will also share how our partners in the City of Los Angeles have used the API and RShiny to build a custom budget equity tool.",https://youtu.be/uVAlqB3QT_M
"Making Waves with R, Python, and Quarto",Regina Lionheart,Data Science Case Studies,"Wave models are powerful tools for understanding coastal erosion, but analyzing their outputs poses challenges. Proprietary formats produce inaccessible data that require manual extraction. Final results must also be approachable to a diverse audience of engineers, governments, and coastal communities. In 2022, a project was proposed to investigate how a restored beach could respond to waves while mitigating erosion and protecting a cultural resource. Using R and Python wrapped in Quarto, wave model outputs were fully scripted to create a single reproducible document flexible enough to answer multiple modeling questions. As coasts change, rapid modeling and analysis may help preserve coastal access for years to come.",https://youtu.be/UOMcGBMvVdo
"Why You Should Think Like an End-to-end Data Scientist, and How",Adam Wang,Data Science Case Studies,"Machine learning (ML) solutions are becoming ubiquitous when tackling challenging problems, enabling end-users to access reliable, insightful information. However, many components of these solutions rely on domains outside traditional data science — e.g., data, DevOps, and software engineering. 

 In this talk, I'll walk through an end-to-end ML solution we built for transplant centers to identify likely stem cell donors. We'll then focus on how interacting with domains outside traditional data science can immensely help a project succeed and increase your impact. 

 You will take away specific examples of why thinking end-to-end can enhance your ML solutions and how to start applying these principles in your own organization.",https://youtu.be/Rxq4O3AhXjM
"earthaccess: Accelerating NASA Earthdata science through open, collaborative development",Luis Lopez,Data Science Case Studies,"earthaccess is a python library to search, download or stream NASA Earth science data with just a few lines of code. 

 Open science is a collaborative effort; it involves people from different technical backgrounds, and the data analysis to solve the pressing problems we face cannot be limited by the complexity of the underlying systems. Therefore, providing easy access to NASA Earthdata and reducing the complexity and ""time to science"" is the main motivation behind this Python library.",https://youtu.be/Pye4gYKhjwM
Data Wrangling [for Python or R] Like a Boss With DuckDB,Hannes Mühleisen,Keynote,"Data wrangling is the thorny hedge that higher powers have placed in front of the enjoyable task of actually analyzing or visualizing data. Common struggles come from importing data from ill-mannered CSV files, the tedious task of orchestrating efficient data transformation, or the inevitable management of changes to tables. Data wrangling is rife with questionable ad-hoc solutions, which can sometimes even make things worse. The design rationale of DuckDB is to support the task of data wrangling by bringing the best of decades of data management research and best practices to the world of interactive data analysis in R or Python. For example, DuckDB has one of the world's most advanced CSV readers, native support for Parquet files and Arrow structures, an efficient parallel vectorized query processing engine, and support for efficient atomic updates to tables. All of this is wrapped up in a zero-dependency package available in a programming language near you for free. In my talk, I will discuss the above as well as the design rationale of DuckDB, which was designed and built in collaboration with the Data Science community in the first place.",https://youtu.be/GELhdezYmP0
Data Contracts: Keep Your Weekend Work-Free!,Nick Pelikan,Data Engineering,This talk will discuss data contracts – agreements between data producers and data consumers that ensure data is always available in the expected form. We'll delve into processes and techniques I've developed that can help teams easily create data contracts. This talk will also introduce a literate programming framework that can enable data producers and data consumers who work on different teams in completely different programming languages (or no programming language at all!) to collaborate on creating data contracts and allow them to be enforced automatically.,https://youtu.be/_Us40MndOOU
Demystifying Data Modeling,Kshitij Aranke,Data Engineering,"Data Modeling – what is it, why is it useful, and how dbt makes it easy. 

 As a previous R user, I was very skeptical of the value of data modeling when I first came across it. But over time, I realized that it helped organizations scale up analytics practices by standardizing consistent definitions for metrics, improving debuggability for data pipelines, and even enabling rapid experimentation. I want to share this magic with the posit::conf community, and especially how dbt is a tool that's oriented around this practice.",https://youtu.be/II8qzoFrkLg
"{mirai} and {crew}: next-generation async to supercharge {promises}, Plumber, Shiny, and {targets}",Charlie Gao and Will Landau,Data Engineering,"{mirai} is a minimalist, futuristic, and reliable way to parallelise computations – either on the local machine, or across the network. It combines the latest scheduling technologies with fast, secure connection types. With built-in integration to {promises}, {mirai} provides a simple and efficient asynchronous back-end for Shiny and Plumber apps. The {crew} package extends {mirai} to batch computing environments for massively parallel statistical pipelines, e.g. Bayesian modeling, simulations, and machine learning. It consolidates tasks in a central {R6} controller, auto-scales workers, and helps users create plug-ins for platforms like SLURM and AWS Batch. It is the new workhorse powering high-performance computing in {targets}.",https://youtu.be/s_cBi155ZIQ
Deploying data applications and documents to the cloud,Alex Chisholm,Data Engineering,"Creating engaging data content has never been easier, yet easily sharing remains a challenge. And that's the point, right? You cleaned the data, wrangled it, and summarized everything for others to benefit. But where do you put that final result? If you're still using R Markdown, perhaps it's rpubs.com. If you've adopted Quarto, it could be quartopub.com. Have a Jupyter notebook? Well, that's a different service. And this is just for docs. Want to deploy a streamlit app? Head to streamlit.io. Shiny? Log into shinyapps.io. Dash? You could use ploomber.io, if you have a docker file - and know what that is. This session summarizes the landscape for online data sharing and describes a new tool that Posit is working on to simplify your process.",https://youtu.be/Zxw5UyzHCCc
Data Wrangling for Advocacy: Tidy Data to Support the Affordable Connectivity Program,Christine Parker,Not All Data Superheroes Wear Capes,"We sought to create a dashboard to highlight some frequently asked statistics about the Affordable Connectivity Program. Although the program data were ""available"" to the public, they were not accessible. Wrangling messy datasets is not new to data scientists, and our work included pretty straightforward summary statistics, yet this work became a leading resource for advocacy groups, academics, and policymakers, and ultimately led us to a meeting where we shared guidance about the program funding needs with the White House. While I give a shout-out to a few of my favorite R packages, in this talk, I focus on the strategies you can employ to make your data tool have an impact.",https://youtu.be/HwA-yVESg_Q
Leveraging Data in a Volunteer Fire Department,Joseph Richey,Not All Data Superheroes Wear Capes,"The majority of fire departments in the United States are volunteer-based organizations. As an emerging professional in the field of data science, I was able to help my local fire department track, manage, and analyze data using R Shiny, Python, and AWS. This has allowed for increased efficiency within the department, and better transparency for fire department and local government officials.",https://youtu.be/kYnqxQvIFNQ
Novice to data scientist: how a pediatric anesthesiologist used R Studio to help disadvantaged kids access surgical care,Nick Pratap,Not All Data Superheroes Wear Capes,"When a surgical procedure gets canceled, a child gains no health benefit, families' time off work and pre-op anxiety is in vain, and our not-for-profit children's hospital loses ~$1 per second. To understand cancellation, I needed to analyze thousands of patient records. Despite zero formal training, I learned to tidy and then visualize data – and even do geocoding and machine learning. Once we identified children at high risk, we could target additional support to their families. Furthermore, we showed that surgery cancellation contributes to health inequality. The R Studio/tidyverse ecosystem allows novices to do sophisticated analytics, and is helping us improve access to health care for the most disadvantaged children in our communities.",https://youtu.be/sMbg-d_b6GI
A Machine Learning Approach to Protect Patients from Blood Tube Mix-Ups,Brendan Graham,Not All Data Superheroes Wear Capes,"A wrong blood-in-the-tube (WBIT) error occurs when blood collected from one patient is labeled as though it was collected from a different patient. While rare, these errors can cause serious, potentially life-threatening patient safety events. This talk is about how a team of pathology informaticists and data scientists developed and deployed a multi-analyte WBIT detection model at the Children's Hospital of Philadelphia. We describe how machine learning models can potentially identify previously undetectable WBIT errors and improve upon the current detection methodology. Furthermore, we demonstrate how using R markdown, tidymodels, vetiver, and Posit Connect allowed for rapid model iteration, reproducibility, deployment, and monitoring.",https://youtu.be/wF3Oxm2Flkc
Breaking Barriers: Adopting R in Biotech with Posit,Nicole Jones,Drugs Not Bugs: Effective Use Of R & Python In Pharma,"In recent years, there has been a notable surge in R adoption in the pharmaceutical and biotech sectors, demanding regulated environments for R-based workflows. Posit offers a comprehensive ecosystem of tools designed to meet these needs. While these tools offer advantages, there is an additional burden placed on companies to maintain the environment. One notable challenge is integrating the Posit tools with a regulated Statistical Computing Environment(SCE) while ensuring standardized environments across the development and regulated systems. In this talk, we will share the benefits, challenges and lessons learned leveraging the Posit ecosystem in a mid-sized biotech company.",https://youtu.be/SN3xmEP3R8M
Mastering the Art of Adopting R and Python: Innovative Strategies for Effective Change Management,Mark Bynens,Drugs Not Bugs: Effective Use Of R & Python In Pharma,"Mastering the Art of Adopting R and Python: Innovative Strategies for Effective Change Management' is more than just a presentation; it's a roadmap to navigate the complexities to integrate R and Python into our daily operations in a world that never slows down. Through an in-depth look at some real-world examples from Janssen R&D moving towards R and Python, we will show you how it's done. This isn't just theory; it's practical, actionable advice. 

 As we embark on a journey to weave R and Python into the fabric of our organization, let's keep these insights and strategies at the forefront. Together, we can redefine what it means to be adaptable and resilient in an ever-changing world.",https://youtu.be/tadnmRVyVwM
A New Era for Shiny-based Clinical Submissions using WebAssembly,Eric Nantz,Drugs Not Bugs: Effective Use Of R & Python In Pharma,"In life sciences, Shiny has enabled tremendous innovations to produce web interfaces as front-ends to sophisticated analyses, interactive visualizations, and clinical reporting. While industry sponsors have widely adopted Shiny, a relatively unexplored frontier has been the inclusion of a Shiny application inside a submission package to the FDA. The R Consortium R-Submissions Working Group has continued the momentum of previous submission pilots, such as the successful Shiny app submission to the FDA in 2023. In this talk, I will share the journey of how we used containers and WebAssembly for a new and innovative approach to sharing a Shiny application directly with the FDA, paving the way for new innovation in the clinical submission process.",https://youtu.be/iC78WbnwnIs
Open-Source Initiatives in Pharma - What's Out There and Why You Should Join,Nicholas Masel,Drugs Not Bugs: Effective Use Of R & Python In Pharma,"The pharmaceutical industry has come a long way when it comes to using open-source and collaborating on initiatives to solve complex industry issues. The number of initiatives and working groups that are now available have grown so much over the last 5 to 10 years that understanding what to join, or even just what to keep track of, can feel like selecting an R package, you’ve got a lot of options! This is a good problem to have, but it can also feel like a barrier to entry for companies or individuals in the industry who are looking to learn and/or contribute. In this talk, I will present guidance to the pharmaceutical industry to help them navigate the open-source collaboration landscape to help companies and individuals get involved.",https://youtu.be/vdwBTbaRYOg
Modernizing the Data Science Toolkit of a 40-year-old Market Research Company,Keaton Wilson,End-To-End Data Science With Real-World Impact,"This presentation outlines the efforts undertaken by the Decision Sciences and Innovation (DSI; which focuses on statistical consulting and end-to-end quantitative analysis) team at KS&R to modernize their data science toolkit over the past year. The main goals were to foster collaboration, improve our legacy codebase, and deliver high-quality data products. Key topics covered include teamwide adoption of version control and GitHub, building and deploying internal R packages, Quarto-based documentation, and strategies for gaining buy-in across teams and leadership. Attendees can expect practical insights and tools for instigating change in their own organizations.",https://youtu.be/cgN3qj5Amhg
Building scalable data pipelines through R and global health information systems' API,Karishma Srikanth,End-To-End Data Science With Real-World Impact,"Efficient and scalable analytics workflows are critical for an adaptive and data-driven organization. How can we scale systems to support an office charged with implementing USAID's $6 billion HIV/AIDS program? Our team leveraged R and global health APIs to build more efficient workflows through automation by developing custom R packages to access health program data. Our investment in creating an automated data infrastructure with flexible, open-source tools like R enabled us to build reproducible workflows for analysts in over 50 partner countries. We would like to share our experience in a federal agency integrating APIs with R to develop scalable data pipelines, as inspiration for organizations facing similar resource & data challenges.",https://youtu.be/AAtauBhZvHg
Shiny in Action: Transforming Film Production with TARS,Marcin Dubel,End-To-End Data Science With Real-World Impact,"Behind every 'Lights! Camera! Action!' is a complex choreography of 20+ departments, complicated by the manual creation of 50+ weekly or monthly reports over each production's 2-3 year span. Our R/Shiny app (""TARS"") streamlines communication and coordination of this process via data integrations, interactive UIs, customizable notifications, and reports. This presentation will unpack the layers of our app's functionality, spotlighting Shiny and R's pivotal roles in modernizing the business of film production, data confidentiality, and inter-departmental synergy. Developers will learn about methodologies for enhancing data flow, security measures, and custom notifications, offering inspiration for navigating similar challenges.",https://youtu.be/G2GNZZ8GQPY
Computing and recommending company-wide employee training pair decisions at scale via an AI matching and administrative workflow platform developed completely in-house,Regis A. James,End-To-End Data Science With Real-World Impact,"Regis A. James developed MAGNETRON AI, an innovative, patent-pending tool that automates at-scale generation of high-quality mentor/mentee matches at Regeneron to enable rapid, yet accurate, company-wide pairings between employees seeking skill training/growth in any domain and others specifically capable of facilitating it. Built using R, Python, LLMs, shiny, MySQL, Neo4j, JavaScript, CSS, HTML, and bash, it transforms months of manual collaborative work into days. The reticulate, bs4dash, DT, plumber API, dbplyr, and neo4r packages were particularly helpful in enabling its full-stack data science. The expert recommendation engine of the AI tool has been successfully used for training a 400-member data science community of practice, and also for larger career development mentoring cohorts for thousands of employees across the company, demonstrating its practical value and potential for wider application.",https://youtu.be/yTp15vJezF8
"Wait, that’s Shiny? Building feature-full, user-friendly interactive data explorers with Shiny and friends",Kiegan Rice,Innovating with Shiny,"In my work I am often asked to develop interactive data explorers for public-use data sets, with an emphasis on making the tools engaging, easy to use, and understandable for a general audience. I’d like to talk about the work my team does to develop user-friendly Shiny applications that look and feel like full websites and share some of the tools we use. This includes things like designing landing pages, creating detailed “About” pages, letting users share links to specific charts or download static versions, adding social media sharing links, site meta tags, sub-URLs, and so much more. After attending this talk, I hope others are excited about leveraging tools to make their users say “Wait, that’s Shiny?”",https://youtu.be/SAbV6d7Pn0U
We CAN have nice Shiny apps: What's new in Shiny's UI & UX,Greg Swinehart,Innovating with Shiny,"The Shiny team has made big steps to help apps' UI and UX scale more thoughtfully and elegantly. We've built a cohesive theme that refreshes all of our colors and components. Our layouts will better serve your apps as they grow. And we've created Shiny Templates, which are opinionated boilerplate code to help users create small, simple apps or large, complicated, multi-page dashboards that just look right.",https://youtu.be/FPc5PJRWHsk
Making an App a System,Andrew Bates (replacing Mike Stackhouse),Innovating with Shiny,"What data processing in your Shiny app is redundant or must happen within the app at all? What makes Shiny beautiful is how it blends data visualization into a compact bundle of code. That said, there are challenges to overcome to get from a developer’s console to users’ screens. Tools like Posit Connect help with this process, but as an app matures, developers and their users may encounter different performance issues. To address this, sometimes this means evolving and introducing separate data pipelines. In this presentation, we will overview some different types of scaling issues for a Shiny app. Additionally, we will introduce the new package {matte}, which provides support for adding data pipelines to your app that live outside Shiny.",https://youtu.be/zgcyGs9q06g
