name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
Gauguin,Cocktail Classics,2 oz, Light Rum,1 oz, Passion Fruit Syrup,1 oz, Lemon Juice,1 oz, Lime Juice,,,,,Combine ingredients with a cup of crushed ice in blender and blend at low speed. Serve in old-fashioned glass. Top with a cherry.,Old-Fashioned Glass,6 to 8 ounces
Fort Lauderdale,Cocktail Classics,1 1/2 oz, Light Rum,1/2 oz, Sweet Vermouth,1/4 oz, Juice of Orange,1/4 oz, Juice of a Lime,,,,,Shake with ice and strain into old-fashioned glass over ice cubes. Add a slice of orange.,Old-Fashioned Glass,6 to 8 ounces
Apple Pie,Cordials and Liqueurs,3 oz, Apple schnapps,1 oz, Cinnamon schnapps,, Apple slice,,,,,,,Pour into ice-filled old-fashioned glass. Garnish with apple and top with cinnamon.,Old-Fashioned Glass,6 to 8 ounces
Cuban Cocktail No. 1,Cocktail Classics,1/2 oz, Juice of a Lime,1/2 oz, Powdered Sugar,2 oz, Light Rum,,,,,,,Shake with ice and  strain into cocktail glass.,Cocktail Glass,6 or more ounces
Cool Carlos,Cocktail Classics,1 1/2 oz, Dark rum,2 oz, Cranberry Juice,2 oz, Pineapple Juice,1 oz, Orange curacao,1 oz, Sour Mix,,,"Mix all ingredients except curacao with ice, shake well. Pour into collins glass and float curacao on top. Garnish with pineapple and orange slices, and a cherry.",Collins Glass,14 to 16 ounces
John Collins,Whiskies,2 oz, Bourbon whiskey,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1 oz, Soda water,1 oz," Orange and lemon wheels, maraschino cherry",,,"Shake first three ingredients with ice and strain into Collins glass. Add ice, fill with soda water, and stir. Garnish with orange, lemon, and cherry. Serve with straws.",Collins Glass,14 to 16 ounces
Cherry Rum,Cocktail Classics,1 1/4 oz, Light Rum,1 1/2 oz, cherry-flavored brandy,1 oz, Light cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Casa Blanca,Cocktail Classics,2 oz, Light Rum,1 1/2 oz, Lime Juice,1 1/2 oz, Triple Sec,1 1/2 oz, Maraschino,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Caribbean Champagne,Cocktail Classics,1/2 oz, Light Rum,1/2 oz, Creme de banana, ,Chilled Champagne,,,,,,,Pour rum and banana liqueur into champagne flute. Fill with champagne and stir lightly. Add a slice of banana.,Champagne Flute,6 to 8 ounces
Amber Amour,Cordials and Liqueurs,1 1/2 oz, Amaretto,1/4 oz, Fresh lemon juice,1/4 oz, Simple Syrup,, Soda water, Maraschino cherry,,,,"Pour amaretto, lemon juice, and syrup into ice-filled Collins glass. Top with soda water and stir. Garnish with cherry.",Collins Glass,14 to 16 ounces
The Joe Lewis,Whiskies,1 1/2 oz, Scotch Whiskey,1 oz, Fresh carrot juice,3/4 oz, Tawny port,1/2 oz, Fresh lemon juice,1 oz, Agave nectar,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Bacardi Cocktail,Cocktail Classics,1 1/2 oz, Bacardi Rum,1/2 oz, Juice of a Lime,1/2 oz, Grenadine,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Apple Pie No. 1,Cocktail Classics,3/4 oz, Light Rum,3/4 oz, Sweet Vermouth,1 oz, Apple Brandy,1/2 oz, Grenadine,1 oz, Lemon Juice,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Yolanda,Cocktail Classics,1/2 oz, Brandy,1/2 oz, Gin,1/2 oz, Anisette,1 oz, Sweet Vermouth,1 oz, Grenadine,,,Shake with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,6 or more ounces
Yellow Rattler,Cocktail Classics,1 oz, Gin,1 oz, Orange Juice,1/2 oz, Dry Vermouth,1/2 oz, Sweet Vermouth,,,,,Shake with ice and strain into cocktail glass. Add a cocktail onion.,Cocktail Glass,6 or more ounces
Why Not?,Cocktail Classics,1 oz, Gin,1 oz, Apricot Flavored Brandy,1/2 oz, Dry Vermouth,1 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Amaretto Stinger,Cordials and Liqueurs,1 1/2 oz, Amaretto,3/4 oz, White creme de menthe,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
What The Hell,Cocktail Classics,1 oz, Gin,1 oz, Dry Vermouth,1 oz, Apricot Flavored Brandy,1 oz, Lemon Juice,,,,,Stir in old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces
Webster Cocktail,Cocktail Classics,1/2 oz, Juice of a Lime,1 1/2 oz, Apricot Flavored Brandy,1/2 oz, Dry Vermouth,1 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Union Jack Cocktail,Cocktail Classics,3/4 oz, Sloe gin,1 1/2 oz, Gin,1/2 oz, Grenadine,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Jocose Julep,Whiskies,2 1/2 oz, Bourbon whiskey,1/2 oz, Green creme de menthe,1 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,5 oz, Fresh mint leaves,, Soda water,Combine first five ingredients in blender without ice until smooth. Pour into ice-filled Collins glass. Fill with soda water and stir. Garnish with mint sprig.,Collins Glass,14 to 16 ounces
Trinity Cocktail,Cocktail Classics,3/4 oz, Sweet Vermouth,3/4 oz, Dry Vermouth,3/4 oz, Gin,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Three Stripes Cocktail,Cocktail Classics,1 oz, Gin,1/2 oz, Dry Vermouth,1 oz, Orange Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Tanq-A-Rita,Cocktail Classics,1 1/2 oz, Tanqueray gin,3 oz, Margarita Mix,1 oz, Triple Sec,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Amaretto Sour,Cordials and Liqueurs,1 1/2 oz, Amaretto,3/4 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1, Orange half-wheel,,,,,Shake with ice and strain into chilled sour glass. Garnish with orange.,Cordial or Pony Glass,2 to 3 ounces
Tailspin Cocktail,Cocktail Classics,3/4 oz, Gin,3/4 oz, Sweet Vermouth,3/4 oz, Green Chartreuse,1 oz, Orange Bitters,,,,,Stir with ice and strain into cocktail glass. Add a twist of lemon peel and a cherry or olive.,Cocktail Glass,6 or more ounces
Sweet Patootie Cocktail,Cocktail Classics,1 oz, Gin,1/2 oz, Triple Sec,1 oz, Orange Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Sunshine Cocktail,Cocktail Classics,3/4 oz, Sweet Vermouth,1 1/2 oz, Gin,1 oz, Bitters,,,,,,,Stir with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,6 or more ounces
Spring Feeling Cocktail,Cocktail Classics,1 oz, Lemon Juice,1/2 oz, Green Chartreuse,1 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Sphinx Cocktail,Cocktail Classics,1 1/2 oz, Gin,1 1/2 oz, Sweet Vermouth,1 1/2 oz, Dry Vermouth,,,,,,,Stir with ice and strain into cocktail glass. Serve with a slice of lemon.,Cocktail Glass,6 or more ounces
Jitterbug Sour,Whiskies,2 oz, Straight rye whiskey,1/2 oz, Benedictine,3/4 oz, Fresh lemon juice,1/2 oz, Honey Syrup,1 oz, Egg White,1 dash, Angostura Bitters,Shake first five ingredients with ice and strain into chilled cocktail glass. Add bitters and lemon twist.,Cocktail Glass,6 or more ounces
Southern Gin Cocktail,Cocktail Classics,2 oz, Gin,2 oz, Orange Bitters,1/2 oz, Triple Sec,,,,,,,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces
Society Cocktail,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Dry Vermouth,1/4 oz, Grenadine,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Snyder,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Dry Vermouth,1/2 oz, Triple Sec,,,,,,,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces
Smiler Cocktail,Cocktail Classics,1/2 oz, Sweet Vermouth,1/2 oz, Dry Vermouth,1 oz, Gin,1 oz, Bitters,1/4 oz, Orange Juice,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Smile Cocktail,Cocktail Classics,1 oz, Grenadine,1 oz, Gin,1/2 oz, Lemon Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Amaretto Rose,Cordials and Liqueurs,1 1/2 oz, Amaretto,1/2 oz, Fresh lemon juice,1/2 oz, Simple Syrup,, Soda water,,,,,Pour first three ingredients into ice-filled Collins glass and fill with soda water. Stir.,Collins Glass,14 to 16 ounces
Sand-Martin Cocktail,Cocktail Classics,1 oz, Green Chartreuse,1 1/2 oz, Sweet Vermouth,1 1/2 oz, Gin,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Irish Whiskey Highball,Whiskies,2 oz, Irish Whiskey,1 oz, Ginger ale or soda water,1 oz, Lemon twist (optional),,,,,,,"Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water. Add lemon twist, if desired, and stir.",Highball Glass,7 to 10 ounces
Japanese,Brandy,2 oz, Brandy,1/2 oz, orgeat or almond syrup,2 oz, Angostura Bitters,, Lemon twist,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Roselyn Cocktail,Cocktail Classics,3/4 oz, Dry Vermouth,1 1/2 oz, Gin,1/2 oz, Grenadine,,,,,,,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces
Resolute Cocktail,Cocktail Classics,1/4 oz, Juice of a Lemon,1/2 oz, Apricot Flavored Brandy,1 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Racquet Club Cocktail,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Dry Vermouth,1 oz, Orange Bitters,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Amaretto And Cream,Cordials and Liqueurs,1 1/2 oz, Amaretto,1 1/2 oz, half-and-half,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Pollyanna Cocktai,Cocktail Classics,3 oz, Orange,3 oz, Pineapple ,2 oz, Gin,1/2 oz, Sweet Vermouth,1/2 oz, Grenadine,,,Muddle ingredients. Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Plaza Cocktail,Cocktail Classics,3/4 oz, Sweet Vermouth,3/4 oz, Dry Vermouth,3/4 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass. Add a strip of pineapple.,Cocktail Glass,6 or more ounces
Irish Whiskey Cocktail,Whiskies,2 oz, Irish Whiskey,1/2 oz, Triple Sec,1/2 oz, Anisette,1/4 oz, Maraschino liqueur,1 oz, Angostura Bitters,1, Green olive,Stir with ice and strain into chilled cocktail glass. Garnish with olive.,Cocktail Glass,6 or more ounces
Absinthe Special Cocktail,Cordials and Liqueurs,1 1/2 oz, Absinthe,1/4 oz, Simple Syrup,1 oz, Orange Bitters,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Nineteenth Hole,Cocktail Classics,1 1/2 oz, Gin,1 oz, Dry Vermouth,1 oz, Sweet Vermouth,1 oz, Bitters,,,,,Stir with ice in mixing glass and strain into cocktail glass and strain into cocktail glass. Garnish with an olive.,Cocktail Glass,6 or more ounces
