name,category,row_id,ingredient_number,ingredient,measure
Gauguin,Cocktail Classics,1,1,Light Rum,2 oz
Gauguin,Cocktail Classics,1,2,Passion Fruit Syrup,1 oz
Gauguin,Cocktail Classics,1,3,Lemon Juice,1 oz
Gauguin,Cocktail Classics,1,4,Lime Juice,1 oz
Fort Lauderdale,Cocktail Classics,2,1,Light Rum,1 1/2 oz
Fort Lauderdale,Cocktail Classics,2,2,Sweet Vermouth,1/2 oz
Fort Lauderdale,Cocktail Classics,2,3,Juice of Orange,1/4 oz
Fort Lauderdale,Cocktail Classics,2,4,Juice of a Lime,1/4 oz
Apple Pie,Cordials and Liqueurs,3,1,Apple schnapps,3 oz
Apple Pie,Cordials and Liqueurs,3,2,Cinnamon schnapps,1 oz
Cuban Cocktail No. 1,Cocktail Classics,4,1,Juice of a Lime,1/2 oz
Cuban Cocktail No. 1,Cocktail Classics,4,2,Powdered Sugar,1/2 oz
Cuban Cocktail No. 1,Cocktail Classics,4,3,Light Rum,2 oz
Cool Carlos,Cocktail Classics,5,1,Dark rum,1 1/2 oz
Cool Carlos,Cocktail Classics,5,2,Cranberry Juice,2 oz
Cool Carlos,Cocktail Classics,5,3,Pineapple Juice,2 oz
Cool Carlos,Cocktail Classics,5,4,Orange curacao,1 oz
Cool Carlos,Cocktail Classics,5,5,Sour Mix,1 oz
John Collins,Whiskies,6,1,Bourbon whiskey,2 oz
John Collins,Whiskies,6,2,Fresh lemon juice,1 oz
John Collins,Whiskies,6,3,Simple Syrup,1/2 oz
John Collins,Whiskies,6,4,Soda water,1 oz
John Collins,Whiskies,6,5,"Orange and lemon wheels, maraschino cherry",1 oz
Cherry Rum,Cocktail Classics,7,1,Light Rum,1 1/4 oz
Cherry Rum,Cocktail Classics,7,2,cherry-flavored brandy,1 1/2 oz
Cherry Rum,Cocktail Classics,7,3,Light cream,1 oz
Casa Blanca,Cocktail Classics,8,1,Light Rum,2 oz
Casa Blanca,Cocktail Classics,8,2,Lime Juice,1 1/2 oz
Casa Blanca,Cocktail Classics,8,3,Triple Sec,1 1/2 oz
Casa Blanca,Cocktail Classics,8,4,Maraschino,1 1/2 oz
Caribbean Champagne,Cocktail Classics,9,1,Light Rum,1/2 oz
Caribbean Champagne,Cocktail Classics,9,2,Creme de banana,1/2 oz
Amber Amour,Cordials and Liqueurs,10,1,Amaretto,1 1/2 oz
Amber Amour,Cordials and Liqueurs,10,2,Fresh lemon juice,1/4 oz
Amber Amour,Cordials and Liqueurs,10,3,Simple Syrup,1/4 oz
The Joe Lewis,Whiskies,11,1,Scotch Whiskey,1 1/2 oz
The Joe Lewis,Whiskies,11,2,Fresh carrot juice,1 oz
The Joe Lewis,Whiskies,11,3,Tawny port,3/4 oz
The Joe Lewis,Whiskies,11,4,Fresh lemon juice,1/2 oz
The Joe Lewis,Whiskies,11,5,Agave nectar,1 oz
Bacardi Cocktail,Cocktail Classics,12,1,Bacardi Rum,1 1/2 oz
Bacardi Cocktail,Cocktail Classics,12,2,Juice of a Lime,1/2 oz
Bacardi Cocktail,Cocktail Classics,12,3,Grenadine,1/2 oz
Apple Pie No. 1,Cocktail Classics,13,1,Light Rum,3/4 oz
Apple Pie No. 1,Cocktail Classics,13,2,Sweet Vermouth,3/4 oz
Apple Pie No. 1,Cocktail Classics,13,3,Apple Brandy,1 oz
Apple Pie No. 1,Cocktail Classics,13,4,Grenadine,1/2 oz
Apple Pie No. 1,Cocktail Classics,13,5,Lemon Juice,1 oz
Yolanda,Cocktail Classics,14,1,Brandy,1/2 oz
Yolanda,Cocktail Classics,14,2,Gin,1/2 oz
Yolanda,Cocktail Classics,14,3,Anisette,1/2 oz
Yolanda,Cocktail Classics,14,4,Sweet Vermouth,1 oz
Yolanda,Cocktail Classics,14,5,Grenadine,1 oz
Yellow Rattler,Cocktail Classics,15,1,Gin,1 oz
Yellow Rattler,Cocktail Classics,15,2,Orange Juice,1 oz
Yellow Rattler,Cocktail Classics,15,3,Dry Vermouth,1/2 oz
Yellow Rattler,Cocktail Classics,15,4,Sweet Vermouth,1/2 oz
Why Not?,Cocktail Classics,16,1,Gin,1 oz
