season_name,season,castaway,finalist,vote
Survivor: Winners at War,40,Sarah,Michele,0
Survivor: Winners at War,40,Sarah,Natalie,0
Survivor: Winners at War,40,Sarah,Tony,1
Survivor: Winners at War,40,Ben,Michele,0
Survivor: Winners at War,40,Ben,Natalie,0
Survivor: Winners at War,40,Ben,Tony,1
Survivor: Winners at War,40,Denise,Michele,0
Survivor: Winners at War,40,Denise,Natalie,0
Survivor: Winners at War,40,Denise,Tony,1
Survivor: Winners at War,40,Nick,Michele,0
Survivor: Winners at War,40,Nick,Natalie,0
Survivor: Winners at War,40,Nick,Tony,1
Survivor: Winners at War,40,Jeremy,Michele,0
Survivor: Winners at War,40,Jeremy,Natalie,1
Survivor: Winners at War,40,Jeremy,Tony,0
Survivor: Winners at War,40,Kim,Michele,0
Survivor: Winners at War,40,Kim,Natalie,0
Survivor: Winners at War,40,Kim,Tony,1
Survivor: Winners at War,40,Sophie,Michele,0
Survivor: Winners at War,40,Sophie,Natalie,0
Survivor: Winners at War,40,Sophie,Tony,1
Survivor: Winners at War,40,Tyson,Michele,0
Survivor: Winners at War,40,Tyson,Natalie,1
Survivor: Winners at War,40,Tyson,Tony,0
Survivor: Winners at War,40,Adam,Michele,0
Survivor: Winners at War,40,Adam,Natalie,0
Survivor: Winners at War,40,Adam,Tony,1
Survivor: Winners at War,40,Wendell,Michele,0
Survivor: Winners at War,40,Wendell,Natalie,0
Survivor: Winners at War,40,Wendell,Tony,1
Survivor: Winners at War,40,Yul,Michele,0
Survivor: Winners at War,40,Yul,Natalie,0
Survivor: Winners at War,40,Yul,Tony,1
Survivor: Winners at War,40,Parvati,Michele,0
Survivor: Winners at War,40,Parvati,Natalie,1
Survivor: Winners at War,40,Parvati,Tony,0
Survivor: Winners at War,40,Rob,Michele,0
Survivor: Winners at War,40,Rob,Natalie,0
Survivor: Winners at War,40,Rob,Tony,1
Survivor: Winners at War,40,Ethan,Michele,0
Survivor: Winners at War,40,Ethan,Natalie,1
Survivor: Winners at War,40,Ethan,Tony,0
Survivor: Winners at War,40,Danni,Michele,0
Survivor: Winners at War,40,Danni,Natalie,0
Survivor: Winners at War,40,Danni,Tony,1
Survivor: Winners at War,40,Amber,Michele,0
Survivor: Winners at War,40,Amber,Natalie,0
Survivor: Winners at War,40,Amber,Tony,1
Survivor: Island of the Idols,39,Lauren,Noura,0
Survivor: Island of the Idols,39,Lauren,Dean,0
Survivor: Island of the Idols,39,Lauren,Tommy,1
Survivor: Island of the Idols,39,Janet,Noura,0
Survivor: Island of the Idols,39,Janet,Dean,0
Survivor: Island of the Idols,39,Janet,Tommy,1
Survivor: Island of the Idols,39,Elaine,Noura,0
Survivor: Island of the Idols,39,Elaine,Dean,0
Survivor: Island of the Idols,39,Elaine,Tommy,1
Survivor: Island of the Idols,39,Karishma,Noura,0
Survivor: Island of the Idols,39,Karishma,Dean,0
Survivor: Island of the Idols,39,Karishma,Tommy,1
Survivor: Island of the Idols,39,Elizabeth,Noura,0
Survivor: Island of the Idols,39,Elizabeth,Dean,1
Survivor: Island of the Idols,39,Elizabeth,Tommy,0
Survivor: Island of the Idols,39,Missy,Noura,0
Survivor: Island of the Idols,39,Missy,Dean,0
Survivor: Island of the Idols,39,Missy,Tommy,1
Survivor: Island of the Idols,39,Aaron,Noura,0
Survivor: Island of the Idols,39,Aaron,Dean,1
Survivor: Island of the Idols,39,Aaron,Tommy,0
Survivor: Island of the Idols,39,Jamal,Noura,0
Survivor: Island of the Idols,39,Jamal,Dean,0
Survivor: Island of the Idols,39,Jamal,Tommy,1
Survivor: Island of the Idols,39,Kellee,Noura,0
Survivor: Island of the Idols,39,Kellee,Dean,0
Survivor: Island of the Idols,39,Kellee,Tommy,1
Survivor: Island of the Idols,39,Jack,Noura,0
Survivor: Island of the Idols,39,Jack,Dean,0
Survivor: Island of the Idols,39,Jack,Tommy,1
Survivor: Edge of Extinction,38,Rick,Julie,0
Survivor: Edge of Extinction,38,Rick,Gavin,1
Survivor: Edge of Extinction,38,Rick,Chris,0
Survivor: Edge of Extinction,38,Lauren,Julie,0
Survivor: Edge of Extinction,38,Lauren,Gavin,1
Survivor: Edge of Extinction,38,Lauren,Chris,0
Survivor: Edge of Extinction,38,Victoria,Julie,0
Survivor: Edge of Extinction,38,Victoria,Gavin,0
Survivor: Edge of Extinction,38,Victoria,Chris,1
Survivor: Edge of Extinction,38,Aurora,Julie,0
Survivor: Edge of Extinction,38,Aurora,Gavin,1
Survivor: Edge of Extinction,38,Aurora,Chris,0
Survivor: Edge of Extinction,38,Ron,Julie,0
