season_name,season,full_name,castaway,age,city,state,personality_type,day,order,result,jury_status,original_tribe,swapped_tribe,swapped_tribe2,merged_tribe,total_votes_received,immunity_idols_won
Survivor: Winners at War,40,Natalie Anderson,Natalie,33,Edgewater,New Jersey,ESTP,2,1,1st voted out,NA,Sele,NA,NA,NA,11,1
Survivor: Winners at War,40,Amber Mariano,Amber,40,Pensacola,Florida,ISFP,3,2,2nd voted out,1st jury member,Dakal,NA,NA,NA,6,0
Survivor: Winners at War,40,Danni Boatwright,Danni,43,Shawnee,Kansas,ENFJ,6,3,3rd voted out,2nd jury member,Sele,NA,NA,NA,8,0
Survivor: Winners at War,40,Ethan Zohn,Ethan,45,Hillsborough,New Hampshire,ISFP,9,4,4th voted out,3rd jury member,Sele,NA,NA,NA,4,0
Survivor: Winners at War,40,Tyson Apostol,Tyson,39,Mesa,Arizona,ESTP,11,5,5th voted out,NA,Dakal,NA,NA,NA,12,0
Survivor: Winners at War,40,Rob Mariano,Rob,43,Pensacola,Florida,ESTJ,14,6,6th voted out,4th jury member,Sele,Yara,NA,NA,4,0
Survivor: Winners at War,40,Parvati Shallow,Parvati,36,Los Angeles,California,ENFJ,16,7,7th voted out,5th jury member,Sele,Sele,NA,NA,8,0
Survivor: Winners at War,40,Sandra Diaz-Twine,Sandra,44,Riverview,Florida,ESTP,16,8,8th voted out,NA,Dakal,Dakal,NA,NA,2,0
Survivor: Winners at War,40,Yul Kwon,Yul,44,Los Altos,California,INTJ,18,9,9th voted out,6th jury member,Dakal,Sele,NA,NA,3,0
Survivor: Winners at War,40,Wendell Holland,Wendell,35,Philadelphia,Pennsylvania,INFJ,21,10,10th voted out,7th jury member,Dakal,Sele,NA,Koru,14,0
Survivor: Winners at War,40,Adam Klein,Adam,28,Los Angeles,California,ENTP,23,11,11th voted out,8th jury member,Sele,Yara,NA,Koru,15,0
Survivor: Winners at War,40,Tyson Apostol,Tyson,39,Mesa,Arizona,ESTP,25,12,12th voted out,9th jury member,Dakal,NA,NA,Koru,12,0
Survivor: Winners at War,40,Sophie Clarke,Sophie,29,Santa Monica,California,INTJ,28,13,13th voted out,10th jury member,Dakal,Yara,NA,Koru,6,0
Survivor: Winners at War,40,Kim Spradlin-Wolfe,Kim,36,San Antonio,Texas,INFJ,29,14,14th voted out,11th jury member,Dakal,Dakal,NA,Koru,9,1
Survivor: Winners at War,40,Jeremy Collins,Jeremy,41,Foxboro,Massachusetts,ESTJ,31,15,15th voted out,12th jury member,Sele,Dakal,NA,Koru,9,1
Survivor: Winners at War,40,Nick Wilson,Nick,28,Williamsburg,Kentucky,ENTP,34,16,16th voted out,13th jury member,Dakal,Sele,NA,Koru,8,1
Survivor: Winners at War,40,Denise Stapley,Denise,48,Marion,Iowa,INFJ,36,17,17th voted out,14th jury member,Sele,Dakal,NA,Koru,18,2
Survivor: Winners at War,40,Ben Driebergen,Ben,36,Boise,Idaho,ESFP,37,18,18th voted out,15th jury member,Sele,Yara,NA,Koru,7,0
Survivor: Winners at War,40,Sarah Lacina,Sarah,34,Cedar Rapids,Iowa,ENTJ,38,19,Eliminated,16th jury member,Dakal,Yara,NA,Koru,2,0
Survivor: Winners at War,40,Michele Fitzgerald,Michele,29,Hoboken,New Jersey,ESFP,39,20,2nd runner-up,NA,Sele,Sele,NA,Koru,6,2
Survivor: Winners at War,40,Natalie Anderson,Natalie,33,Edgewater,New Jersey,ESTP,39,21,Runner-up,NA,Sele,NA,NA,Koru,11,1
Survivor: Winners at War,40,Tony Vlachos,Tony,45,Allendale,New Jersey,ESTP,39,22,Sole Survivor,NA,Dakal,Dakal,NA,Koru,0,4
Survivor: Island of the Idols,39,Ronnie Bardah,Ronnie,36,Henderson,Nevada,ISTP,3,1,1st voted out,NA,Lairo,NA,NA,NA,7,0
Survivor: Island of the Idols,39,Molly Byman,Molly,27,Durham,North Carolina,INTJ,6,2,2nd voted out,NA,Vokai,NA,NA,NA,7,0
Survivor: Island of the Idols,39,Vince Moua,Vince,27,Palo Alto,California,ENFP,8,3,3rd voted out,NA,Lairo,NA,NA,NA,7,0
Survivor: Island of the Idols,39,Chelsea Walker,Chelsea,27,Los Angeles,California,ENTP,11,4,4th voted out,NA,Lairo,NA,NA,NA,6,0
Survivor: Island of the Idols,39,Tom Laidlaw,Tom,60,Greenwich,Connecticut,ESFJ,14,5,5th voted out,NA,Lairo,Lairo,NA,NA,6,0
Survivor: Island of the Idols,39,Jason Linden,Jason,32,New York City,New York,ENTP,16,6,6th voted out,NA,Vokai,Vokai,NA,NA,6,0
Survivor: Island of the Idols,39,Jack Nichting,Jack,23,Harrisonburg,Virginia,ENFP,19,7,7th voted out,1st jury member,Vokai,Lairo,NA,NA,2,0
Survivor: Island of the Idols,39,Kellee Kim,Kellee,29,Philadelphia,Pennsylvania,INTP,22,8,8th voted out,2nd jury member,Vokai,Lairo,NA,Lumuwaku,8,0
Survivor: Island of the Idols,39,Jamal Shipman,Jamal,33,Providence,Rhode Island,ENFJ,24,9,9th voted out,3rd jury member,Vokai,Lairo,NA,Lumuwaku,6,0
Survivor: Island of the Idols,39,Aaron Meredith,Aaron,36,Warwick,Rhode Island,ESTJ,27,10,10th voted out,4th jury member,Lairo,Vokai,NA,Lumuwaku,10,2
Survivor: Island of the Idols,39,Missy Byrd,Missy,24,Tacoma,Washington,INTJ,27,11,11th voted out,5th jury member,Lairo,Vokai,NA,Lumuwaku,6,0
Survivor: Island of the Idols,39,Elizabeth Beisel,Elizabeth,26,Saunderstown,Rhode Island,ENFJ,30,12,12th voted out,6th jury member,Lairo,Vokai,NA,Lumuwaku,8,0
Survivor: Island of the Idols,39,Karishma Patel,Karishma,37,Houston,Texas,INFP,32,13,13th voted out,7th jury member,Lairo,Lairo,NA,Lumuwaku,22,0
Survivor: Island of the Idols,39,Elaine Stott,Elaine,41,Rockholds,Kentucky,ENFP,35,14,14th voted out,8th jury member,Lairo,Vokai,NA,Lumuwaku,8,1
Survivor: Island of the Idols,39,Dan Spilo,Dan,48,Los Angeles,California,ENTJ,36,15,Ejected,NA,Vokai,Vokai,NA,Lumuwaku,5,0
Survivor: Island of the Idols,39,Janet Carbin,Janet,59,Palm Bay,Florida,ENFJ,37,16,15th voted out,9th jury member,Vokai,Lairo,NA,Lumuwaku,9,0
Survivor: Island of the Idols,39,Lauren Beck,Lauren,28,Glendale,California,ENFP,38,17,Eliminated,10th jury member,Vokai,Vokai,NA,Lumuwaku,1,1
Survivor: Island of the Idols,39,Noura Salman,Noura,36,North Potomac,Maryland,ENFP,39,18,2nd runner-up,NA,Vokai,Lairo,NA,Lumuwaku,6,3
Survivor: Island of the Idols,39,Dean Kowalski,Dean,28,New York City,New York,ISTP,39,19,Runner-up,NA,Lairo,Lairo,NA,Lumuwaku,5,2
