season_name,season,location,country,tribe_setup,full_name,winner,runner_ups,final_vote,timeslot,premiered,ended,filming_started,filming_ended,viewers_premier,viewers_finale,viewers_reunion,viewers_mean,rank
Survivor: Borneo,1,"Pulau Tiga, Sabah, Malaysia",Malaysia,Two tribes of eight new players,Richard Hatch,Richard,Kelly Wiglesworth,4-3,Wednesday 8:00 pm,2000-05-31,2000-08-23,2000-03-13,2000-04-20,15.51,51.69,36.7,28.3,2
Survivor: The Australian Outback,2,"Herbert River at Goshen Station, Queensland, Australia",Australia,Two tribes of eight new players,Tina Wesson,Tina,Colby Donaldson,4-3,Thursday 8:00 pm,2001-01-28,2001-05-03,2000-10-23,2000-12-03,45.37,36.35,28.01,29.8,1
Survivor: Africa,3,"Shaba National Reserve, Kenya",Kenya,Two tribes of eight new players,Ethan Zohn,Ethan,Kim Johnson,5-2,Thursday 8:00 pm,2001-10-11,2002-01-10,2001-07-11,2001-08-18,23.84,27.26,19.05,20.69,8
Survivor: Marquesas,4,"Nuku Hiva, Marquesas Islands, French Polynesia",Polynesia,Two tribes of eight new players,Vecepia Towery,Vecepia,Neleh Dennis,4-3,Thursday 8:00 pm,2002-02-28,2002-05-19,2001-11-12,2001-12-20,23.19,25.87,19.05,20.77,6
Survivor: Thailand,5,"Ko Tarutao, Satun Province, Thailand",Thailand,Two tribes of eight new players; picked by the two oldest players,Brian Heidik,Brian,Clay Jordan,4-3,Thursday 8:00 pm,2002-09-19,2002-12-19,2002-06-10,2002-07-18,23.05,24.08,20.43,21.21,4
Survivor: The Amazon,6,"Rio Negro, Amazonas, Brazil",Brazil,Two tribes of eight new players divided by gender,Jenna Morasca,Jenna,Matthew Von Ertfelda,6-1,Thursday 8:00 pm,2003-02-13,2003-05-11,2002-11-07,2002-12-15,23.26,22.29,20.43,19.97,9
Survivor: Pearl Islands,7,"Pearl Islands, Panama",Panama,Two tribes of eight new players,Sandra Diaz-Twine,Sandra,Lillian Morris,6-1,Thursday 8:00 pm,2003-09-18,2003-12-14,2003-06-23,2003-07-31,21.5,25.23,21.87,20.72,7
Survivor: All-Stars,8,"Pearl Islands, Panama",Panama,Three tribes of six returning players,Amber Brkich,Amber,Rob Mariano,4-3,Thursday 8:00 pm,2004-02-01,2004-05-09,2003-11-03,2003-12-11,33.53,24.76,21.87,21.49,3
Survivor: Vanuatu,9,"Efate, Shefa, Vanuatu",Vanuatu,Two tribes of nine new players divided by gender,Chris Daugherty,Chris,Twila Tanner,5-2,Thursday 8:00 pm,2004-09-16,2004-12-12,2004-06-28,2004-08-05,20.06,19.72,15.23,19.64,10
Survivor: Palau,10,"Koror, Palau",Palau,A schoolyard pick of two tribes of nine new players each; two eliminated without a tribe,Tom Westman,Tom,Katie Gallagher,6-1,Thursday 8:00 pm,2005-02-17,2005-05-15,2004-10-27,2004-12-04,23.66,20.8,15.23,20.91,5
Survivor: Guatemala,11,"Laguna Yaxha, Yaxha-Nakum-Naranjo National Park, Peten, Guatemala",Guatemala,"Two tribes of nine, including two returning players",Danni Boatwright,Danni,Stephenie LaGrossa,6-1,Thursday 8:00 pm,2005-09-15,2005-12-11,2005-06-27,2005-08-04,18.41,21.18,15.21,18.3,8
Survivor: Panama,12,"Pearl Islands, Panama",Panama,Four tribes of four new players divided by age and gender,Aras Baskauskas,Aras,Danielle DiLorenzo,5-2,Thursday 8:00 pm,2006-02-02,2006-05-14,2005-10-31,2005-12-08,19.2,17.07,15.21,16.82,11
Survivor: Cook Islands,13,"Aitutaki, Cook Islands",Islands,"Four tribes of five new players divided by ethnicity: African Americans, Whites, Hispanics, and Asians",Yul Kwon,Yul,"Ozzy Lusth, Becky Lee",5-4-0,Thursday 8:00 pm,2006-09-14,2006-12-17,2006-06-26,2006-08-03,18,16.42,13.53,15.75,13
Survivor: Fiji,14,"Macuata, Vanua Levu, Fiji",Fiji,"Two tribes of nine new players divided by one selected castaway, who would replace the first person voted out",Earl Cole,Earl,"Cassandra Franklin, Andria Herd",9-0-0,Thursday 8:00 pm,2007-02-08,2007-05-13,2006-10-30,2006-12-07,16.68,13.63,13.53,14.83,15
Survivor: China,15,"Zhelin, Jiujiang, Jiangxi, China",China,Two tribes of eight new players,Todd Herzog,Todd,"Courtney Yates, Amanda Kimmel",4-2-1,Thursday 8:00 pm,2007-09-20,2007-12-16,2007-06-25,2007-08-02,15.35,15.1,12.22,15.18,8
Survivor: Micronesia,16,"Koror, Palau",Palau,Two tribes of ten: new players against past contestants,Parvati Shallow,Parvati,Amanda Kimmel,5-3,Thursday 8:00 pm,2008-02-07,2008-05-11,2007-10-29,2007-12-06,14.02,12.92,12.22,13.61,11
Survivor: Gabon,17,"Wonga-Wongue Presidential Reserve, Estuaire, Gabon",Gabon,"A schoolyard pick of two tribes of nine new players, starting with the oldest players",Robert Crowley,Bob,"Susie Smith, Jessica Kiper",4-3-0,Thursday 8:00 pm,2008-09-25,2008-12-14,2008-06-23,2008-07-31,13.05,13.77,11.74,13.81,15
Survivor: Tocantins,18,"Jalapao, Tocantins, Brazil",Brazil,Two tribes of eight new players,James Thomas,J.T.,Stephen Fishbach,7-0,Thursday 8:00 pm,2009-02-12,2009-05-17,2008-11-02,2008-12-10,13.63,12.94,11.74,12.86,19
Survivor: Samoa,19,"Upolu, Samoa",Samoa,Two tribes of ten new players,Natalie White,Natalie,"Russell Hantz, Mick Trimming",7-2-0,Thursday 8:00 pm,2009-09-17,2009-12-20,2009-06-11,2009-07-19,11.66,13.97,11.68,12.34,17
Survivor: Heroes vs. Villains,20,"Upolu, Samoa",Samoa,"Two tribes of ten returning players divided by reputation: ""heroes"" vs. ""villains""",Sandra Diaz-Twine,Sandra,"Parvati Shallow, Russell Hantz",6-3-0,Thursday 8:00 pm,2010-02-11,2010-05-16,2009-08-09,2009-09-16,14.15,13.46,11.68,12.6,14
Survivor: Nicaragua,21,"San Juan del Sur, Rivas, Nicaragua",Nicaragua,Two tribes of ten new players divided by age,Jud Birza,Fabio,"Chase Rice, Matthew Lenahan",5-4-0,Wednesday 8:00 pm,2010-09-15,2010-12-19,2010-06-14,2010-07-22,12.23,13.58,11.19,13.61,11
Survivor: Redemption Island,22,"San Juan del Sur, Rivas, Nicaragua",Nicaragua,"Two tribes of nine, including two returning players",Rob Mariano,Rob,"Phillip Sheppard, Natalie Tenerelli",8-1-0,Wednesday 8:00 pm,2011-02-16,2011-05-15,2010-08-16,2010-09-23,11.17,13.3,10.97,12.59,18
Survivor: South Pacific,23,"San Juan del Sur, Rivas, Nicaragua",Nicaragua,"Upolu, Samoa",Sophie Clarke,Sophie,"Benjamin Wade, Albert Destrade",6-3-0,Wednesday 8:00 pm,2011-09-14,2011-12-18,2011-05-30,2011-07-07,10.74,13.07,9.92,12.77,18
Survivor: One World,24,"San Juan del Sur, Rivas, Nicaragua",Nicaragua,Two tribes of nine new players divided by gender living on the same beach,Kim Spradlin,Kim,"Sabrina Thompson, Chelsea Meissner",7-2-0,Wednesday 8:00 pm,2012-02-15,2012-05-13,2011-08-01,2011-09-08,10.79,10.34,9.92,11.64,26
Survivor: Philippines,25,"Caramoan, Camarines Sur, Philippines",Philippines,"Three tribes of six, including three returning players who had been medically evacuated in a previous season",Denise Stapley,Denise,"Lisa Whelchel, Michael Skupin",6-1-1,Wednesday 8:00 pm,2012-09-19,2012-12-16,2012-03-18,2012-04-25,11.37,11.46,8.77,11.85,21
Survivor: Caramoan,26,"Caramoan, Camarines Sur, Philippines",Philippines,Two tribes of ten: new players against past contestants,John Cochran,Cochran,"Dawn Meehan, Sherri Biethman",8-0-0,Wednesday 8:00 pm,2013-02-13,2013-05-12,2012-05-21,2012-06-28,8.94,10.16,8.77,10.82,28
Survivor: Blood vs. Water,27,"Palaui Island, Santa Ana, Cagayan, Philippines",Philippines,Two tribes of ten: returning contestants against their loved ones,Tyson Apostol,Tyson,"Monica Culpepper, Gervase Peterson",7-1-0,Wednesday 8:00 pm,2013-09-18,2013-12-15,2013-05-20,2013-06-27,9.73,10.19,7.46,11.3,25
Survivor: Cagayan,28,"Palaui Island, Santa Ana, Cagayan, Philippines",Philippines,"Three tribes of six  new players divided by primary attribute: ""brawn"" vs. ""brains"" vs. ""beauty""",Tony Vlachos,Tony,Yung Hwang,8-1,Wednesday 8:00 pm,2014-02-26,2014-05-21,2013-07-11,2013-08-18,9.4,9.58,7.46,11.3,25
Survivor: San Juan del Sur,29,"San Juan del Sur, Rivas, Nicaragua",Nicaragua,"Nine pairs of new players, each with a pre-existing relationship, divided into two tribes of nine",Natalie Anderson,Natalie,"Jaclyn Schultz, Missy Payne",5-2-1,Wednesday 8:00 pm,2014-09-24,2014-12-17,2014-06-02,2014-07-10,9.75,9.79,7.31,11.35,31
Survivor: Worlds Apart,30,"San Juan del Sur, Rivas, Nicaragua",Nicaragua,"Three tribes of six new players divided by social class: ""white collar"" vs. ""blue collar"" vs. ""no collar""",Mike Holloway,Mike,"Carolyn Rivera, Will Sims II",6-1-1,Wednesday 8:00 pm,2015-02-25,2015-05-20,2014-08-04,2014-09-11,10.04,9.74,7.31,11.35,31
Survivor: Cambodia,31,"Koh Rong, Cambodia",Cambodia,"Two tribes of ten returning players who only played once before, have not won, and were selected by public vote",Jeremy Collins,Jeremy,"Spencer Bledsoe, Tasha Fox",10-0-0,Wednesday 8:00 pm,2015-09-23,2015-12-16,2015-05-31,2015-07-08,9.7,9.45,6.49,10.99,26
Survivor: Kaoh Rong,32,"Koh Rong, Cambodia",Cambodia,"Three tribes of six new players divided by primary attribute: ""brains"" vs. ""brawn"" vs. ""beauty""",Michele Fitzgerald,Michele,"Aubry Bracco, Tai Trang",5-2-0,Wednesday 8:00 pm,2016-02-17,2016-05-18,2015-03-30,2015-05-07,8.3,9.54,6.49,10.99,26
Survivor: Millennials vs. Gen X,33,"Mamanuca Islands, Fiji",Fiji,Two tribes of ten new players divided by generation: millennials vs. Generation X,Adam Klein,Adam,"Hannah Shapiro, Ken McNickle",10-0-0,Wednesday 8:00 pm,2016-09-21,2016-12-14,2016-04-04,2016-05-12,9.46,9.09,6.4,10.32,24
Survivor: Game Changers,34,"Mamanuca Islands, Fiji",Fiji,Two tribes of ten returning players,Sarah Lacina,Sarah,"Brad Culpepper, Troy Robertson",7-3-0,Wednesday 8:00 pm,2017-03-08,2017-05-24,2016-06-06,2016-07-14,7.64,8.48,6.4,10.32,24
Survivor: Heroes vs. Healers vs. Hustlers,35,"Mamanuca Islands, Fiji",Fiji,"Three tribes of six new players divided by dominant perceived trait: ""heroes"" vs. ""healers"" vs. ""hustlers""",Ben Driebergen,Ben,"Chrissy Hofbeck, Ryan Ulrich",5-2-1,Wednesday 8:00 pm,2017-09-27,2017-12-20,2017-04-03,2017-05-11,8.33,8.7,5.97,10.28,25
Survivor: Ghost Island,36,"Mamanuca Islands, Fiji",Fiji,Two tribes of ten new players,Wendell Holland,Wendell,"Domenick Abbate, Laurel Johnson",6-5-0,Wednesday 8:00 pm,2018-02-28,2018-05-23,2017-06-05,2017-07-13,8.19,7.31,5.97,10.28,25
Survivor: David vs. Goliath,37,"Mamanuca Islands, Fiji",Fiji,"Two tribes of ten new players divided by adversity: ""David"" (underdogs) vs. ""Goliath"" (overachievers)",Nick Wilson,Nick,"Mike White, Angelina Keeley",7-3-0,Wednesday 8:00 pm,2018-09-26,2018-12-19,2018-03-29,2018-05-06,7.83,7.72,5.17,9.43,32
Survivor: Edge of Extinction,38,"Mamanuca Islands, Fiji",Fiji,"Two tribes of nine, including four returning players",Chris Underwood,Chris,"Gavin Whitson, Julie Rosenberg",9-4-0,Wednesday 8:00 pm,2019-02-20,2019-05-15,2018-05-30,2018-07-07,7.75,7.21,5.17,9.43,32
Survivor: Island of the Idols,39,"Mamanuca Islands, Fiji",Fiji,Two tribes of ten new players. Past winners Rob Mariano and Sandra Diaz-Twine feature as non-playing mentors,Tommy Sheehan,Tommy,"Dean Kowalski, Noura Salman",8-2-0,Wednesday 8:00 pm,2019-09-25,2019-12-18,2019-03-21,2019-04-28,6.29,6.52,4.61,NA,NA
