titleId,seasonNumber,title,date,av_rating,share,genres
tt2879552,1,11.22.63,2016-03-10,8.489,0.51,"Drama,Mystery,Sci-Fi"
tt3148266,1,12 Monkeys,2015-02-27,8.3407,0.46,"Adventure,Drama,Mystery"
tt3148266,2,12 Monkeys,2016-05-30,8.8196,0.25,"Adventure,Drama,Mystery"
tt3148266,3,12 Monkeys,2017-05-19,9.0369,0.19,"Adventure,Drama,Mystery"
tt3148266,4,12 Monkeys,2018-06-26,9.1363,0.38,"Adventure,Drama,Mystery"
tt1837492,1,13 Reasons Why,2017-03-31,8.437,2.38,"Drama,Mystery"
tt1837492,2,13 Reasons Why,2018-05-18,7.5089,2.19,"Drama,Mystery"
tt0285331,1,24,2002-02-16,8.5641,6.67,"Action,Crime,Drama"
tt0285331,2,24,2003-02-09,8.7028,7.13,"Action,Crime,Drama"
tt0285331,3,24,2004-02-09,8.7173,5.88,"Action,Crime,Drama"
tt0285331,4,24,2005-03-08,8.561,3.48,"Action,Crime,Drama"
tt0285331,5,24,2006-03-10,8.7828,2.15,"Action,Crime,Drama"
tt0285331,6,24,2007-03-08,8.3522,2.23,"Action,Crime,Drama"
tt0285331,7,24,2009-03-10,8.4922,2.04,"Action,Crime,Drama"
tt0285331,8,24,2010-03-17,8.4744,1.55,"Action,Crime,Drama"
tt5345490,1,24: Legacy,2017-03-05,7.2044,0.22,"Action,Crime,Drama"
tt1598754,1,24: Live Another Day,2014-06-06,8.899,0.63,"Action,Crime,Drama"
tt2197797,1,666 Park Avenue,2013-01-13,7.4737,0.16,"Drama,Fantasy,Mystery"
tt0115083,1,7th Heaven,1996-08-26,7.7,0.1,"Drama,Family,Romance"
tt0115083,10,7th Heaven,2006-05-08,6.3,0.01,"Drama,Family,Romance"
tt0312081,1,8 Simple Rules,2002-09-17,7.5,0.03,"Comedy,Drama"
tt0312081,2,8 Simple Rules,2003-11-04,8.6,0.1,"Comedy,Drama"
tt0312081,3,8 Simple Rules,2004-11-12,8.4043,0.06,"Comedy,Drama"
tt7235466,1,9-1-1,2018-02-09,8.2746,0.38,"Action,Drama,Thriller"
tt1225901,1,90210,2009-01-03,7.1735,0.4,"Comedy,Drama,Romance"
tt1225901,2,90210,2009-11-10,7.4686,0.14,"Comedy,Drama,Romance"
tt1225901,3,90210,2010-12-04,7.6858,0.1,"Comedy,Drama,Romance"
